group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 return self,glam,,,,1093273.0,ns,132104
mat4 return self,glam,,,,2074364.0,ns,264208
mat4 return self,glam,,,,3047153.0,ns,396312
mat4 return self,glam,,,,4027557.0,ns,528416
mat4 return self,glam,,,,5001892.0,ns,660520
mat4 return self,glam,,,,5998468.0,ns,792624
mat4 return self,glam,,,,7031179.0,ns,924728
mat4 return self,glam,,,,7930217.0,ns,1056832
mat4 return self,glam,,,,8919790.0,ns,1188936
mat4 return self,glam,,,,9945353.0,ns,1321040
mat4 return self,glam,,,,10881413.0,ns,1453144
mat4 return self,glam,,,,11865403.0,ns,1585248
mat4 return self,glam,,,,12866615.0,ns,1717352
mat4 return self,glam,,,,13820066.0,ns,1849456
mat4 return self,glam,,,,14842909.0,ns,1981560
mat4 return self,glam,,,,15826609.0,ns,2113664
mat4 return self,glam,,,,16759873.0,ns,2245768
mat4 return self,glam,,,,17734898.0,ns,2377872
mat4 return self,glam,,,,18781843.0,ns,2509976
mat4 return self,glam,,,,19694084.0,ns,2642080
mat4 return self,glam,,,,20693571.0,ns,2774184
mat4 return self,glam,,,,21684515.0,ns,2906288
mat4 return self,glam,,,,22639584.0,ns,3038392
mat4 return self,glam,,,,23645464.0,ns,3170496
mat4 return self,glam,,,,24622304.0,ns,3302600
mat4 return self,glam,,,,25621246.0,ns,3434704
mat4 return self,glam,,,,26547981.0,ns,3566808
mat4 return self,glam,,,,27569789.0,ns,3698912
mat4 return self,glam,,,,28629131.0,ns,3831016
mat4 return self,glam,,,,29508147.0,ns,3963120
mat4 return self,glam,,,,30448000.0,ns,4095224
mat4 return self,glam,,,,31526023.0,ns,4227328
mat4 return self,glam,,,,32448106.0,ns,4359432
mat4 return self,glam,,,,33442162.0,ns,4491536
mat4 return self,glam,,,,34438263.0,ns,4623640
mat4 return self,glam,,,,35376010.0,ns,4755744
mat4 return self,glam,,,,36401805.0,ns,4887848
mat4 return self,glam,,,,37354873.0,ns,5019952
mat4 return self,glam,,,,38320680.0,ns,5152056
mat4 return self,glam,,,,39315530.0,ns,5284160
mat4 return self,glam,,,,40316302.0,ns,5416264
mat4 return self,glam,,,,41339244.0,ns,5548368
mat4 return self,glam,,,,42280226.0,ns,5680472
mat4 return self,glam,,,,43211486.0,ns,5812576
mat4 return self,glam,,,,44173038.0,ns,5944680
mat4 return self,glam,,,,45208573.0,ns,6076784
mat4 return self,glam,,,,46190410.0,ns,6208888
mat4 return self,glam,,,,47167855.0,ns,6340992
mat4 return self,glam,,,,48122531.0,ns,6473096
mat4 return self,glam,,,,49074752.0,ns,6605200
mat4 return self,glam,,,,50120867.0,ns,6737304
mat4 return self,glam,,,,51095156.0,ns,6869408
mat4 return self,glam,,,,52077040.0,ns,7001512
mat4 return self,glam,,,,53028199.0,ns,7133616
mat4 return self,glam,,,,54041138.0,ns,7265720
mat4 return self,glam,,,,55066706.0,ns,7397824
mat4 return self,glam,,,,55974994.0,ns,7529928
mat4 return self,glam,,,,57026524.0,ns,7662032
mat4 return self,glam,,,,57987246.0,ns,7794136
mat4 return self,glam,,,,59029360.0,ns,7926240
mat4 return self,glam,,,,59909893.0,ns,8058344
mat4 return self,glam,,,,60990219.0,ns,8190448
mat4 return self,glam,,,,61945231.0,ns,8322552
mat4 return self,glam,,,,62906014.0,ns,8454656
mat4 return self,glam,,,,63818336.0,ns,8586760
mat4 return self,glam,,,,64832031.0,ns,8718864
mat4 return self,glam,,,,65657616.0,ns,8850968
mat4 return self,glam,,,,68107215.0,ns,8983072
mat4 return self,glam,,,,67868684.0,ns,9115176
mat4 return self,glam,,,,68681668.0,ns,9247280
mat4 return self,glam,,,,69748209.0,ns,9379384
mat4 return self,glam,,,,70672170.0,ns,9511488
mat4 return self,glam,,,,71604332.0,ns,9643592
mat4 return self,glam,,,,72607449.0,ns,9775696
mat4 return self,glam,,,,73496308.0,ns,9907800
mat4 return self,glam,,,,74587714.0,ns,10039904
mat4 return self,glam,,,,75504463.0,ns,10172008
mat4 return self,glam,,,,76634409.0,ns,10304112
mat4 return self,glam,,,,77600357.0,ns,10436216
mat4 return self,glam,,,,78472930.0,ns,10568320
mat4 return self,glam,,,,79406945.0,ns,10700424
mat4 return self,glam,,,,80337966.0,ns,10832528
mat4 return self,glam,,,,81482820.0,ns,10964632
mat4 return self,glam,,,,83405464.0,ns,11096736
mat4 return self,glam,,,,83655808.0,ns,11228840
mat4 return self,glam,,,,84403837.0,ns,11360944
mat4 return self,glam,,,,85364075.0,ns,11493048
mat4 return self,glam,,,,86310231.0,ns,11625152
mat4 return self,glam,,,,87448812.0,ns,11757256
mat4 return self,glam,,,,88315776.0,ns,11889360
mat4 return self,glam,,,,89325879.0,ns,12021464
mat4 return self,glam,,,,90262264.0,ns,12153568
mat4 return self,glam,,,,91238317.0,ns,12285672
mat4 return self,glam,,,,92328888.0,ns,12417776
mat4 return self,glam,,,,93405073.0,ns,12549880
mat4 return self,glam,,,,94234009.0,ns,12681984
mat4 return self,glam,,,,95188282.0,ns,12814088
mat4 return self,glam,,,,96181674.0,ns,12946192
mat4 return self,glam,,,,97318363.0,ns,13078296
mat4 return self,glam,,,,98064014.0,ns,13210400
