group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 return self,vek,,,,1115995.0,ns,132716
mat4 return self,vek,,,,2101832.0,ns,265432
mat4 return self,vek,,,,3097018.0,ns,398148
mat4 return self,vek,,,,4061585.0,ns,530864
mat4 return self,vek,,,,5051668.0,ns,663580
mat4 return self,vek,,,,6046836.0,ns,796296
mat4 return self,vek,,,,7031009.0,ns,929012
mat4 return self,vek,,,,7994888.0,ns,1061728
mat4 return self,vek,,,,9019414.0,ns,1194444
mat4 return self,vek,,,,10063797.0,ns,1327160
mat4 return self,vek,,,,11007918.0,ns,1459876
mat4 return self,vek,,,,11939150.0,ns,1592592
mat4 return self,vek,,,,12910362.0,ns,1725308
mat4 return self,vek,,,,13898760.0,ns,1858024
mat4 return self,vek,,,,14882628.0,ns,1990740
mat4 return self,vek,,,,15866151.0,ns,2123456
mat4 return self,vek,,,,16928578.0,ns,2256172
mat4 return self,vek,,,,17849194.0,ns,2388888
mat4 return self,vek,,,,18816041.0,ns,2521604
mat4 return self,vek,,,,19806820.0,ns,2654320
mat4 return self,vek,,,,20801767.0,ns,2787036
mat4 return self,vek,,,,21849989.0,ns,2919752
mat4 return self,vek,,,,22794012.0,ns,3052468
mat4 return self,vek,,,,23739653.0,ns,3185184
mat4 return self,vek,,,,24806356.0,ns,3317900
mat4 return self,vek,,,,25802540.0,ns,3450616
mat4 return self,vek,,,,26709578.0,ns,3583332
mat4 return self,vek,,,,27674369.0,ns,3716048
mat4 return self,vek,,,,28775411.0,ns,3848764
mat4 return self,vek,,,,29659410.0,ns,3981480
mat4 return self,vek,,,,30661911.0,ns,4114196
mat4 return self,vek,,,,31703010.0,ns,4246912
mat4 return self,vek,,,,32677986.0,ns,4379628
mat4 return self,vek,,,,33583041.0,ns,4512344
mat4 return self,vek,,,,34639958.0,ns,4645060
mat4 return self,vek,,,,35585065.0,ns,4777776
mat4 return self,vek,,,,36585387.0,ns,4910492
mat4 return self,vek,,,,37589535.0,ns,5043208
mat4 return self,vek,,,,38511584.0,ns,5175924
mat4 return self,vek,,,,39543425.0,ns,5308640
mat4 return self,vek,,,,40586932.0,ns,5441356
mat4 return self,vek,,,,41439535.0,ns,5574072
mat4 return self,vek,,,,42504325.0,ns,5706788
mat4 return self,vek,,,,43532595.0,ns,5839504
mat4 return self,vek,,,,44498455.0,ns,5972220
mat4 return self,vek,,,,45423498.0,ns,6104936
mat4 return self,vek,,,,46445131.0,ns,6237652
mat4 return self,vek,,,,47368574.0,ns,6370368
mat4 return self,vek,,,,48408250.0,ns,6503084
mat4 return self,vek,,,,49796642.0,ns,6635800
mat4 return self,vek,,,,50383089.0,ns,6768516
mat4 return self,vek,,,,51327438.0,ns,6901232
mat4 return self,vek,,,,52420390.0,ns,7033948
mat4 return self,vek,,,,53339103.0,ns,7166664
mat4 return self,vek,,,,54340864.0,ns,7299380
mat4 return self,vek,,,,55223878.0,ns,7432096
mat4 return self,vek,,,,56294555.0,ns,7564812
mat4 return self,vek,,,,57250262.0,ns,7697528
mat4 return self,vek,,,,58272276.0,ns,7830244
mat4 return self,vek,,,,59276978.0,ns,7962960
mat4 return self,vek,,,,60181165.0,ns,8095676
mat4 return self,vek,,,,61202767.0,ns,8228392
mat4 return self,vek,,,,62147855.0,ns,8361108
mat4 return self,vek,,,,63162578.0,ns,8493824
mat4 return self,vek,,,,64170212.0,ns,8626540
mat4 return self,vek,,,,65078973.0,ns,8759256
mat4 return self,vek,,,,66156101.0,ns,8891972
mat4 return self,vek,,,,67118956.0,ns,9024688
mat4 return self,vek,,,,68041292.0,ns,9157404
mat4 return self,vek,,,,69178274.0,ns,9290120
mat4 return self,vek,,,,70113655.0,ns,9422836
mat4 return self,vek,,,,71120082.0,ns,9555552
mat4 return self,vek,,,,72064278.0,ns,9688268
mat4 return self,vek,,,,73013734.0,ns,9820984
mat4 return self,vek,,,,74046841.0,ns,9953700
mat4 return self,vek,,,,74989357.0,ns,10086416
mat4 return self,vek,,,,75933716.0,ns,10219132
mat4 return self,vek,,,,76956894.0,ns,10351848
mat4 return self,vek,,,,77944762.0,ns,10484564
mat4 return self,vek,,,,78922012.0,ns,10617280
mat4 return self,vek,,,,79913625.0,ns,10749996
mat4 return self,vek,,,,80858192.0,ns,10882712
mat4 return self,vek,,,,82128633.0,ns,11015428
mat4 return self,vek,,,,82890914.0,ns,11148144
mat4 return self,vek,,,,83863175.0,ns,11280860
mat4 return self,vek,,,,84886585.0,ns,11413576
mat4 return self,vek,,,,85848736.0,ns,11546292
mat4 return self,vek,,,,86841782.0,ns,11679008
mat4 return self,vek,,,,87830295.0,ns,11811724
mat4 return self,vek,,,,88908934.0,ns,11944440
mat4 return self,vek,,,,89737128.0,ns,12077156
mat4 return self,vek,,,,90818511.0,ns,12209872
mat4 return self,vek,,,,91725980.0,ns,12342588
mat4 return self,vek,,,,93297071.0,ns,12475304
mat4 return self,vek,,,,93954240.0,ns,12608020
mat4 return self,vek,,,,94673020.0,ns,12740736
mat4 return self,vek,,,,95730636.0,ns,12873452
mat4 return self,vek,,,,96669771.0,ns,13006168
mat4 return self,vek,,,,97707393.0,ns,13138884
mat4 return self,vek,,,,98622990.0,ns,13271600
