group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform point3,euclid,,,,1104174.0,ns,161250
mat4 transform point3,euclid,,,,2085227.0,ns,322500
mat4 transform point3,euclid,,,,3060648.0,ns,483750
mat4 transform point3,euclid,,,,4081961.0,ns,645000
mat4 transform point3,euclid,,,,5015329.0,ns,806250
mat4 transform point3,euclid,,,,6015894.0,ns,967500
mat4 transform point3,euclid,,,,7000870.0,ns,1128750
mat4 transform point3,euclid,,,,7953139.0,ns,1290000
mat4 transform point3,euclid,,,,8926087.0,ns,1451250
mat4 transform point3,euclid,,,,9907584.0,ns,1612500
mat4 transform point3,euclid,,,,10881224.0,ns,1773750
mat4 transform point3,euclid,,,,11860250.0,ns,1935000
mat4 transform point3,euclid,,,,12861018.0,ns,2096250
mat4 transform point3,euclid,,,,13843135.0,ns,2257500
mat4 transform point3,euclid,,,,14797190.0,ns,2418750
mat4 transform point3,euclid,,,,15812150.0,ns,2580000
mat4 transform point3,euclid,,,,16756437.0,ns,2741250
mat4 transform point3,euclid,,,,17746509.0,ns,2902500
mat4 transform point3,euclid,,,,18746034.0,ns,3063750
mat4 transform point3,euclid,,,,19690135.0,ns,3225000
mat4 transform point3,euclid,,,,20685784.0,ns,3386250
mat4 transform point3,euclid,,,,21640016.0,ns,3547500
mat4 transform point3,euclid,,,,22669595.0,ns,3708750
mat4 transform point3,euclid,,,,23618909.0,ns,3870000
mat4 transform point3,euclid,,,,24595684.0,ns,4031250
mat4 transform point3,euclid,,,,25554011.0,ns,4192500
mat4 transform point3,euclid,,,,26594321.0,ns,4353750
mat4 transform point3,euclid,,,,27543941.0,ns,4515000
mat4 transform point3,euclid,,,,28506126.0,ns,4676250
mat4 transform point3,euclid,,,,29471005.0,ns,4837500
mat4 transform point3,euclid,,,,30515836.0,ns,4998750
mat4 transform point3,euclid,,,,31451319.0,ns,5160000
mat4 transform point3,euclid,,,,32417907.0,ns,5321250
mat4 transform point3,euclid,,,,33426746.0,ns,5482500
mat4 transform point3,euclid,,,,34499903.0,ns,5643750
mat4 transform point3,euclid,,,,35363939.0,ns,5805000
mat4 transform point3,euclid,,,,36328787.0,ns,5966250
mat4 transform point3,euclid,,,,37366449.0,ns,6127500
mat4 transform point3,euclid,,,,38332429.0,ns,6288750
mat4 transform point3,euclid,,,,39261080.0,ns,6450000
mat4 transform point3,euclid,,,,40217919.0,ns,6611250
mat4 transform point3,euclid,,,,41261884.0,ns,6772500
mat4 transform point3,euclid,,,,42238132.0,ns,6933750
mat4 transform point3,euclid,,,,43195663.0,ns,7095000
mat4 transform point3,euclid,,,,44165842.0,ns,7256250
mat4 transform point3,euclid,,,,45172854.0,ns,7417500
mat4 transform point3,euclid,,,,46502968.0,ns,7578750
mat4 transform point3,euclid,,,,47289121.0,ns,7740000
mat4 transform point3,euclid,,,,48116598.0,ns,7901250
mat4 transform point3,euclid,,,,49062466.0,ns,8062500
mat4 transform point3,euclid,,,,50050603.0,ns,8223750
mat4 transform point3,euclid,,,,51031780.0,ns,8385000
mat4 transform point3,euclid,,,,52022136.0,ns,8546250
mat4 transform point3,euclid,,,,52992994.0,ns,8707500
mat4 transform point3,euclid,,,,53937214.0,ns,8868750
