group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform vector4,cgmath,,,,1103665.0,ns,316717
mat4 transform vector4,cgmath,,,,2081608.0,ns,633434
mat4 transform vector4,cgmath,,,,3058083.0,ns,950151
mat4 transform vector4,cgmath,,,,4055608.0,ns,1266868
mat4 transform vector4,cgmath,,,,5013285.0,ns,1583585
mat4 transform vector4,cgmath,,,,6005785.0,ns,1900302
mat4 transform vector4,cgmath,,,,6963641.0,ns,2217019
mat4 transform vector4,cgmath,,,,7935046.0,ns,2533736
mat4 transform vector4,cgmath,,,,8913808.0,ns,2850453
mat4 transform vector4,cgmath,,,,9912868.0,ns,3167170
mat4 transform vector4,cgmath,,,,10923952.0,ns,3483887
mat4 transform vector4,cgmath,,,,11846323.0,ns,3800604
mat4 transform vector4,cgmath,,,,12826389.0,ns,4117321
mat4 transform vector4,cgmath,,,,13876182.0,ns,4434038
mat4 transform vector4,cgmath,,,,14773905.0,ns,4750755
mat4 transform vector4,cgmath,,,,15750634.0,ns,5067472
mat4 transform vector4,cgmath,,,,16798454.0,ns,5384189
mat4 transform vector4,cgmath,,,,17701252.0,ns,5700906
mat4 transform vector4,cgmath,,,,18675884.0,ns,6017623
mat4 transform vector4,cgmath,,,,19685855.0,ns,6334340
mat4 transform vector4,cgmath,,,,20631130.0,ns,6651057
mat4 transform vector4,cgmath,,,,21677483.0,ns,6967774
mat4 transform vector4,cgmath,,,,22697798.0,ns,7284491
mat4 transform vector4,cgmath,,,,23578541.0,ns,7601208
mat4 transform vector4,cgmath,,,,24535118.0,ns,7917925
mat4 transform vector4,cgmath,,,,25585868.0,ns,8234642
mat4 transform vector4,cgmath,,,,26487780.0,ns,8551359
mat4 transform vector4,cgmath,,,,27537681.0,ns,8868076
mat4 transform vector4,cgmath,,,,28461755.0,ns,9184793
mat4 transform vector4,cgmath,,,,29480317.0,ns,9501510
mat4 transform vector4,cgmath,,,,30419813.0,ns,9818227
mat4 transform vector4,cgmath,,,,31365489.0,ns,10134944
mat4 transform vector4,cgmath,,,,32410800.0,ns,10451661
mat4 transform vector4,cgmath,,,,33346882.0,ns,10768378
mat4 transform vector4,cgmath,,,,34296565.0,ns,11085095
mat4 transform vector4,cgmath,,,,35397414.0,ns,11401812
mat4 transform vector4,cgmath,,,,36275138.0,ns,11718529
mat4 transform vector4,cgmath,,,,37301587.0,ns,12035246
mat4 transform vector4,cgmath,,,,38203055.0,ns,12351963
mat4 transform vector4,cgmath,,,,39199022.0,ns,12668680
mat4 transform vector4,cgmath,,,,40235289.0,ns,12985397
mat4 transform vector4,cgmath,,,,41474232.0,ns,13302114
mat4 transform vector4,cgmath,,,,42198146.0,ns,13618831
mat4 transform vector4,cgmath,,,,43119644.0,ns,13935548
mat4 transform vector4,cgmath,,,,44163204.0,ns,14252265
mat4 transform vector4,cgmath,,,,45094059.0,ns,14568982
mat4 transform vector4,cgmath,,,,46086803.0,ns,14885699
mat4 transform vector4,cgmath,,,,47103724.0,ns,15202416
mat4 transform vector4,cgmath,,,,47998642.0,ns,15519133
mat4 transform vector4,cgmath,,,,49200946.0,ns,15835850
mat4 transform vector4,cgmath,,,,49942240.0,ns,16152567
mat4 transform vector4,cgmath,,,,51016036.0,ns,16469284
mat4 transform vector4,cgmath,,,,52021315.0,ns,16786001
mat4 transform vector4,cgmath,,,,52911958.0,ns,17102718
mat4 transform vector4,cgmath,,,,53979705.0,ns,17419435
mat4 transform vector4,cgmath,,,,54824179.0,ns,17736152
mat4 transform vector4,cgmath,,,,55983629.0,ns,18052869
mat4 transform vector4,cgmath,,,,56780092.0,ns,18369586
mat4 transform vector4,cgmath,,,,57881122.0,ns,18686303
mat4 transform vector4,cgmath,,,,58858086.0,ns,19003020
mat4 transform vector4,cgmath,,,,59913900.0,ns,19319737
mat4 transform vector4,cgmath,,,,60949646.0,ns,19636454
mat4 transform vector4,cgmath,,,,61664785.0,ns,19953171
mat4 transform vector4,cgmath,,,,62755497.0,ns,20269888
mat4 transform vector4,cgmath,,,,63809868.0,ns,20586605
mat4 transform vector4,cgmath,,,,64591118.0,ns,20903322
mat4 transform vector4,cgmath,,,,65813520.0,ns,21220039
mat4 transform vector4,cgmath,,,,66675282.0,ns,21536756
mat4 transform vector4,cgmath,,,,67639331.0,ns,21853473
mat4 transform vector4,cgmath,,,,68593141.0,ns,22170190
mat4 transform vector4,cgmath,,,,69609896.0,ns,22486907
mat4 transform vector4,cgmath,,,,70467485.0,ns,22803624
mat4 transform vector4,cgmath,,,,71633760.0,ns,23120341
mat4 transform vector4,cgmath,,,,72527539.0,ns,23437058
mat4 transform vector4,cgmath,,,,73509730.0,ns,23753775
mat4 transform vector4,cgmath,,,,74872336.0,ns,24070492
mat4 transform vector4,cgmath,,,,75450026.0,ns,24387209
mat4 transform vector4,cgmath,,,,76412313.0,ns,24703926
mat4 transform vector4,cgmath,,,,77481374.0,ns,25020643
mat4 transform vector4,cgmath,,,,78318064.0,ns,25337360
mat4 transform vector4,cgmath,,,,79426253.0,ns,25654077
mat4 transform vector4,cgmath,,,,80373383.0,ns,25970794
mat4 transform vector4,cgmath,,,,81313034.0,ns,26287511
mat4 transform vector4,cgmath,,,,82303730.0,ns,26604228
mat4 transform vector4,cgmath,,,,83264490.0,ns,26920945
mat4 transform vector4,cgmath,,,,84202457.0,ns,27237662
mat4 transform vector4,cgmath,,,,85261279.0,ns,27554379
mat4 transform vector4,cgmath,,,,86375252.0,ns,27871096
mat4 transform vector4,cgmath,,,,87241865.0,ns,28187813
mat4 transform vector4,cgmath,,,,88143145.0,ns,28504530
mat4 transform vector4,cgmath,,,,89193012.0,ns,28821247
mat4 transform vector4,cgmath,,,,90234411.0,ns,29137964
mat4 transform vector4,cgmath,,,,91189344.0,ns,29454681
mat4 transform vector4,cgmath,,,,92115102.0,ns,29771398
mat4 transform vector4,cgmath,,,,93122711.0,ns,30088115
mat4 transform vector4,cgmath,,,,93966225.0,ns,30404832
