group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform vector4,nalgebra,,,,1109122.0,ns,241075
mat4 transform vector4,nalgebra,,,,2084073.0,ns,482150
mat4 transform vector4,nalgebra,,,,3063744.0,ns,723225
mat4 transform vector4,nalgebra,,,,4214935.0,ns,964300
mat4 transform vector4,nalgebra,,,,5085773.0,ns,1205375
mat4 transform vector4,nalgebra,,,,6017797.0,ns,1446450
mat4 transform vector4,nalgebra,,,,6983939.0,ns,1687525
mat4 transform vector4,nalgebra,,,,7961586.0,ns,1928600
mat4 transform vector4,nalgebra,,,,8938640.0,ns,2169675
mat4 transform vector4,nalgebra,,,,9939646.0,ns,2410750
mat4 transform vector4,nalgebra,,,,10902218.0,ns,2651825
mat4 transform vector4,nalgebra,,,,11900757.0,ns,2892900
mat4 transform vector4,nalgebra,,,,12859148.0,ns,3133975
mat4 transform vector4,nalgebra,,,,13920336.0,ns,3375050
mat4 transform vector4,nalgebra,,,,14846755.0,ns,3616125
mat4 transform vector4,nalgebra,,,,15779502.0,ns,3857200
mat4 transform vector4,nalgebra,,,,16862588.0,ns,4098275
mat4 transform vector4,nalgebra,,,,17783634.0,ns,4339350
mat4 transform vector4,nalgebra,,,,18721224.0,ns,4580425
mat4 transform vector4,nalgebra,,,,19774049.0,ns,4821500
mat4 transform vector4,nalgebra,,,,20674499.0,ns,5062575
mat4 transform vector4,nalgebra,,,,21650025.0,ns,5303650
mat4 transform vector4,nalgebra,,,,22646510.0,ns,5544725
mat4 transform vector4,nalgebra,,,,23691169.0,ns,5785800
mat4 transform vector4,nalgebra,,,,24611859.0,ns,6026875
mat4 transform vector4,nalgebra,,,,25624202.0,ns,6267950
mat4 transform vector4,nalgebra,,,,26608980.0,ns,6509025
mat4 transform vector4,nalgebra,,,,27603677.0,ns,6750100
mat4 transform vector4,nalgebra,,,,28500904.0,ns,6991175
mat4 transform vector4,nalgebra,,,,29497749.0,ns,7232250
mat4 transform vector4,nalgebra,,,,30533524.0,ns,7473325
mat4 transform vector4,nalgebra,,,,31481253.0,ns,7714400
mat4 transform vector4,nalgebra,,,,32435999.0,ns,7955475
mat4 transform vector4,nalgebra,,,,33492079.0,ns,8196550
mat4 transform vector4,nalgebra,,,,34408791.0,ns,8437625
mat4 transform vector4,nalgebra,,,,35383249.0,ns,8678700
mat4 transform vector4,nalgebra,,,,36374866.0,ns,8919775
mat4 transform vector4,nalgebra,,,,37302665.0,ns,9160850
mat4 transform vector4,nalgebra,,,,38296738.0,ns,9401925
mat4 transform vector4,nalgebra,,,,39325748.0,ns,9643000
mat4 transform vector4,nalgebra,,,,40257103.0,ns,9884075
mat4 transform vector4,nalgebra,,,,41316677.0,ns,10125150
mat4 transform vector4,nalgebra,,,,42296370.0,ns,10366225
mat4 transform vector4,nalgebra,,,,43296834.0,ns,10607300
mat4 transform vector4,nalgebra,,,,44150602.0,ns,10848375
mat4 transform vector4,nalgebra,,,,45170943.0,ns,11089450
mat4 transform vector4,nalgebra,,,,46128334.0,ns,11330525
mat4 transform vector4,nalgebra,,,,47168675.0,ns,11571600
mat4 transform vector4,nalgebra,,,,48172620.0,ns,11812675
mat4 transform vector4,nalgebra,,,,49067644.0,ns,12053750
mat4 transform vector4,nalgebra,,,,50126021.0,ns,12294825
mat4 transform vector4,nalgebra,,,,51080783.0,ns,12535900
mat4 transform vector4,nalgebra,,,,52075674.0,ns,12776975
mat4 transform vector4,nalgebra,,,,53060004.0,ns,13018050
mat4 transform vector4,nalgebra,,,,53979984.0,ns,13259125
mat4 transform vector4,nalgebra,,,,55020155.0,ns,13500200
mat4 transform vector4,nalgebra,,,,55915795.0,ns,13741275
mat4 transform vector4,nalgebra,,,,57008278.0,ns,13982350
mat4 transform vector4,nalgebra,,,,57865425.0,ns,14223425
mat4 transform vector4,nalgebra,,,,58927009.0,ns,14464500
mat4 transform vector4,nalgebra,,,,59884703.0,ns,14705575
mat4 transform vector4,nalgebra,,,,60911314.0,ns,14946650
mat4 transform vector4,nalgebra,,,,61890831.0,ns,15187725
mat4 transform vector4,nalgebra,,,,62760628.0,ns,15428800
mat4 transform vector4,nalgebra,,,,63937167.0,ns,15669875
mat4 transform vector4,nalgebra,,,,64847532.0,ns,15910950
mat4 transform vector4,nalgebra,,,,65698206.0,ns,16152025
mat4 transform vector4,nalgebra,,,,66817535.0,ns,16393100
mat4 transform vector4,nalgebra,,,,67771081.0,ns,16634175
mat4 transform vector4,nalgebra,,,,68709516.0,ns,16875250
mat4 transform vector4,nalgebra,,,,69638157.0,ns,17116325
mat4 transform vector4,nalgebra,,,,70694462.0,ns,17357400
mat4 transform vector4,nalgebra,,,,71695915.0,ns,17598475
mat4 transform vector4,nalgebra,,,,72556556.0,ns,17839550
mat4 transform vector4,nalgebra,,,,73599705.0,ns,18080625
mat4 transform vector4,nalgebra,,,,74645431.0,ns,18321700
mat4 transform vector4,nalgebra,,,,75663900.0,ns,18562775
mat4 transform vector4,nalgebra,,,,76568933.0,ns,18803850
mat4 transform vector4,nalgebra,,,,77829724.0,ns,19044925
mat4 transform vector4,nalgebra,,,,78692132.0,ns,19286000
mat4 transform vector4,nalgebra,,,,79492109.0,ns,19527075
mat4 transform vector4,nalgebra,,,,80534754.0,ns,19768150
mat4 transform vector4,nalgebra,,,,81383676.0,ns,20009225
mat4 transform vector4,nalgebra,,,,82458534.0,ns,20250300
mat4 transform vector4,nalgebra,,,,83534910.0,ns,20491375
mat4 transform vector4,nalgebra,,,,84469330.0,ns,20732450
mat4 transform vector4,nalgebra,,,,85471032.0,ns,20973525
mat4 transform vector4,nalgebra,,,,86434345.0,ns,21214600
mat4 transform vector4,nalgebra,,,,87696428.0,ns,21455675
mat4 transform vector4,nalgebra,,,,88380401.0,ns,21696750
mat4 transform vector4,nalgebra,,,,89455200.0,ns,21937825
mat4 transform vector4,nalgebra,,,,90343712.0,ns,22178900
mat4 transform vector4,nalgebra,,,,91394994.0,ns,22419975
mat4 transform vector4,nalgebra,,,,92177142.0,ns,22661050
mat4 transform vector4,nalgebra,,,,93238148.0,ns,22902125
mat4 transform vector4,nalgebra,,,,94207441.0,ns,23143200
mat4 transform vector4,nalgebra,,,,95280093.0,ns,23384275
mat4 transform vector4,nalgebra,,,,96240918.0,ns,23625350
mat4 transform vector4,nalgebra,,,,97238236.0,ns,23866425
mat4 transform vector4,nalgebra,,,,98253302.0,ns,24107500
