group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat conjugate,nalgebra,,,,1106270.0,ns,339101
quat conjugate,nalgebra,,,,2099016.0,ns,678202
quat conjugate,nalgebra,,,,3070498.0,ns,1017303
quat conjugate,nalgebra,,,,4259425.0,ns,1356404
quat conjugate,nalgebra,,,,5034242.0,ns,1695505
quat conjugate,nalgebra,,,,6040219.0,ns,2034606
quat conjugate,nalgebra,,,,7346753.0,ns,2373707
quat conjugate,nalgebra,,,,8047127.0,ns,2712808
quat conjugate,nalgebra,,,,8958486.0,ns,3051909
quat conjugate,nalgebra,,,,9997283.0,ns,3391010
quat conjugate,nalgebra,,,,10977049.0,ns,3730111
quat conjugate,nalgebra,,,,11922445.0,ns,4069212
quat conjugate,nalgebra,,,,12878603.0,ns,4408313
quat conjugate,nalgebra,,,,13902732.0,ns,4747414
quat conjugate,nalgebra,,,,14868039.0,ns,5086515
quat conjugate,nalgebra,,,,15846050.0,ns,5425616
quat conjugate,nalgebra,,,,16868788.0,ns,5764717
quat conjugate,nalgebra,,,,17827054.0,ns,6103818
quat conjugate,nalgebra,,,,18842951.0,ns,6442919
quat conjugate,nalgebra,,,,19795288.0,ns,6782020
quat conjugate,nalgebra,,,,20977851.0,ns,7121121
quat conjugate,nalgebra,,,,21811047.0,ns,7460222
quat conjugate,nalgebra,,,,22738606.0,ns,7799323
quat conjugate,nalgebra,,,,23715863.0,ns,8138424
quat conjugate,nalgebra,,,,24684075.0,ns,8477525
quat conjugate,nalgebra,,,,25698390.0,ns,8816626
quat conjugate,nalgebra,,,,26727997.0,ns,9155727
quat conjugate,nalgebra,,,,27629853.0,ns,9494828
quat conjugate,nalgebra,,,,28602196.0,ns,9833929
quat conjugate,nalgebra,,,,29667053.0,ns,10173030
quat conjugate,nalgebra,,,,30585820.0,ns,10512131
quat conjugate,nalgebra,,,,31639287.0,ns,10851232
quat conjugate,nalgebra,,,,32670101.0,ns,11190333
quat conjugate,nalgebra,,,,33590013.0,ns,11529434
quat conjugate,nalgebra,,,,34621410.0,ns,11868535
quat conjugate,nalgebra,,,,35545842.0,ns,12207636
quat conjugate,nalgebra,,,,36478947.0,ns,12546737
quat conjugate,nalgebra,,,,37474920.0,ns,12885838
quat conjugate,nalgebra,,,,38589096.0,ns,13224939
quat conjugate,nalgebra,,,,39462359.0,ns,13564040
quat conjugate,nalgebra,,,,40476647.0,ns,13903141
quat conjugate,nalgebra,,,,41376356.0,ns,14242242
quat conjugate,nalgebra,,,,42409231.0,ns,14581343
quat conjugate,nalgebra,,,,43467144.0,ns,14920444
quat conjugate,nalgebra,,,,44733890.0,ns,15259545
quat conjugate,nalgebra,,,,45441874.0,ns,15598646
quat conjugate,nalgebra,,,,46303236.0,ns,15937747
quat conjugate,nalgebra,,,,47396472.0,ns,16276848
quat conjugate,nalgebra,,,,48742885.0,ns,16615949
quat conjugate,nalgebra,,,,49345128.0,ns,16955050
quat conjugate,nalgebra,,,,50241699.0,ns,17294151
quat conjugate,nalgebra,,,,51321936.0,ns,17633252
quat conjugate,nalgebra,,,,52214841.0,ns,17972353
quat conjugate,nalgebra,,,,53256815.0,ns,18311454
quat conjugate,nalgebra,,,,54198723.0,ns,18650555
quat conjugate,nalgebra,,,,55393729.0,ns,18989656
quat conjugate,nalgebra,,,,56180436.0,ns,19328757
quat conjugate,nalgebra,,,,57142236.0,ns,19667858
quat conjugate,nalgebra,,,,58241793.0,ns,20006959
quat conjugate,nalgebra,,,,59720719.0,ns,20346060
quat conjugate,nalgebra,,,,60147625.0,ns,20685161
quat conjugate,nalgebra,,,,61097546.0,ns,21024262
quat conjugate,nalgebra,,,,62180400.0,ns,21363363
quat conjugate,nalgebra,,,,63070393.0,ns,21702464
quat conjugate,nalgebra,,,,64081781.0,ns,22041565
quat conjugate,nalgebra,,,,65048618.0,ns,22380666
quat conjugate,nalgebra,,,,66015757.0,ns,22719767
quat conjugate,nalgebra,,,,67033408.0,ns,23058868
quat conjugate,nalgebra,,,,68276772.0,ns,23397969
quat conjugate,nalgebra,,,,69014999.0,ns,23737070
quat conjugate,nalgebra,,,,69937277.0,ns,24076171
quat conjugate,nalgebra,,,,71225842.0,ns,24415272
quat conjugate,nalgebra,,,,71932368.0,ns,24754373
quat conjugate,nalgebra,,,,72970512.0,ns,25093474
quat conjugate,nalgebra,,,,73914053.0,ns,25432575
quat conjugate,nalgebra,,,,74822223.0,ns,25771676
quat conjugate,nalgebra,,,,75945642.0,ns,26110777
quat conjugate,nalgebra,,,,77009576.0,ns,26449878
quat conjugate,nalgebra,,,,77840751.0,ns,26788979
quat conjugate,nalgebra,,,,78798431.0,ns,27128080
quat conjugate,nalgebra,,,,79762811.0,ns,27467181
quat conjugate,nalgebra,,,,80797035.0,ns,27806282
quat conjugate,nalgebra,,,,81986916.0,ns,28145383
quat conjugate,nalgebra,,,,82782015.0,ns,28484484
quat conjugate,nalgebra,,,,84250287.0,ns,28823585
quat conjugate,nalgebra,,,,84632225.0,ns,29162686
quat conjugate,nalgebra,,,,85838301.0,ns,29501787
quat conjugate,nalgebra,,,,86729319.0,ns,29840888
quat conjugate,nalgebra,,,,87758959.0,ns,30179989
quat conjugate,nalgebra,,,,88609027.0,ns,30519090
quat conjugate,nalgebra,,,,89694079.0,ns,30858191
quat conjugate,nalgebra,,,,91214064.0,ns,31197292
quat conjugate,nalgebra,,,,91510712.0,ns,31536393
quat conjugate,nalgebra,,,,92592557.0,ns,31875494
