group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat conjugate,vek,,,,1110842.0,ns,339851
quat conjugate,vek,,,,2087366.0,ns,679702
quat conjugate,vek,,,,3068352.0,ns,1019553
quat conjugate,vek,,,,4298579.0,ns,1359404
quat conjugate,vek,,,,5033095.0,ns,1699255
quat conjugate,vek,,,,6035932.0,ns,2039106
quat conjugate,vek,,,,7229002.0,ns,2378957
quat conjugate,vek,,,,8101830.0,ns,2718808
quat conjugate,vek,,,,8959478.0,ns,3058659
quat conjugate,vek,,,,9982031.0,ns,3398510
quat conjugate,vek,,,,10992081.0,ns,3738361
quat conjugate,vek,,,,11949075.0,ns,4078212
quat conjugate,vek,,,,12883876.0,ns,4418063
quat conjugate,vek,,,,13889452.0,ns,4757914
quat conjugate,vek,,,,14864430.0,ns,5097765
quat conjugate,vek,,,,15892988.0,ns,5437616
quat conjugate,vek,,,,16832819.0,ns,5777467
quat conjugate,vek,,,,17829175.0,ns,6117318
quat conjugate,vek,,,,18834706.0,ns,6457169
quat conjugate,vek,,,,19776462.0,ns,6797020
quat conjugate,vek,,,,20801937.0,ns,7136871
quat conjugate,vek,,,,21778839.0,ns,7476722
quat conjugate,vek,,,,22763975.0,ns,7816573
quat conjugate,vek,,,,23723114.0,ns,8156424
quat conjugate,vek,,,,24722535.0,ns,8496275
quat conjugate,vek,,,,25703247.0,ns,8836126
quat conjugate,vek,,,,26667704.0,ns,9175977
quat conjugate,vek,,,,27869074.0,ns,9515828
quat conjugate,vek,,,,28703739.0,ns,9855679
quat conjugate,vek,,,,29676259.0,ns,10195530
quat conjugate,vek,,,,30588867.0,ns,10535381
quat conjugate,vek,,,,31677286.0,ns,10875232
quat conjugate,vek,,,,32558255.0,ns,11215083
quat conjugate,vek,,,,33583277.0,ns,11554934
quat conjugate,vek,,,,34601801.0,ns,11894785
quat conjugate,vek,,,,35586101.0,ns,12234636
quat conjugate,vek,,,,36646545.0,ns,12574487
quat conjugate,vek,,,,37639433.0,ns,12914338
quat conjugate,vek,,,,38478093.0,ns,13254189
quat conjugate,vek,,,,39423673.0,ns,13594040
quat conjugate,vek,,,,40488894.0,ns,13933891
quat conjugate,vek,,,,41442501.0,ns,14273742
quat conjugate,vek,,,,42507375.0,ns,14613593
quat conjugate,vek,,,,43387583.0,ns,14953444
quat conjugate,vek,,,,44676773.0,ns,15293295
quat conjugate,vek,,,,45420981.0,ns,15633146
quat conjugate,vek,,,,46346019.0,ns,15972997
quat conjugate,vek,,,,47358683.0,ns,16312848
quat conjugate,vek,,,,48294643.0,ns,16652699
quat conjugate,vek,,,,49325910.0,ns,16992550
quat conjugate,vek,,,,50370444.0,ns,17332401
quat conjugate,vek,,,,51259642.0,ns,17672252
quat conjugate,vek,,,,52223271.0,ns,18012103
quat conjugate,vek,,,,53261141.0,ns,18351954
quat conjugate,vek,,,,54224708.0,ns,18691805
quat conjugate,vek,,,,55168898.0,ns,19031656
quat conjugate,vek,,,,56389893.0,ns,19371507
quat conjugate,vek,,,,57169929.0,ns,19711358
quat conjugate,vek,,,,58250172.0,ns,20051209
quat conjugate,vek,,,,59123682.0,ns,20391060
quat conjugate,vek,,,,60167773.0,ns,20730911
quat conjugate,vek,,,,61135887.0,ns,21070762
quat conjugate,vek,,,,62065304.0,ns,21410613
quat conjugate,vek,,,,63157815.0,ns,21750464
quat conjugate,vek,,,,64418390.0,ns,22090315
quat conjugate,vek,,,,65295820.0,ns,22430166
quat conjugate,vek,,,,66098552.0,ns,22770017
quat conjugate,vek,,,,67019658.0,ns,23109868
quat conjugate,vek,,,,67955469.0,ns,23449719
quat conjugate,vek,,,,69003545.0,ns,23789570
quat conjugate,vek,,,,69974539.0,ns,24129421
quat conjugate,vek,,,,70876853.0,ns,24469272
quat conjugate,vek,,,,72046925.0,ns,24809123
quat conjugate,vek,,,,72866609.0,ns,25148974
quat conjugate,vek,,,,74163560.0,ns,25488825
quat conjugate,vek,,,,74997740.0,ns,25828676
quat conjugate,vek,,,,75879243.0,ns,26168527
quat conjugate,vek,,,,76947224.0,ns,26508378
quat conjugate,vek,,,,77798782.0,ns,26848229
quat conjugate,vek,,,,78828146.0,ns,27188080
quat conjugate,vek,,,,79805894.0,ns,27527931
quat conjugate,vek,,,,80773810.0,ns,27867782
quat conjugate,vek,,,,82102293.0,ns,28207633
quat conjugate,vek,,,,82685246.0,ns,28547484
quat conjugate,vek,,,,83705007.0,ns,28887335
quat conjugate,vek,,,,84998448.0,ns,29227186
quat conjugate,vek,,,,85660227.0,ns,29567037
quat conjugate,vek,,,,86833664.0,ns,29906888
quat conjugate,vek,,,,87693711.0,ns,30246739
quat conjugate,vek,,,,89031232.0,ns,30586590
quat conjugate,vek,,,,89576681.0,ns,30926441
quat conjugate,vek,,,,90649057.0,ns,31266292
quat conjugate,vek,,,,91603391.0,ns,31606143
quat conjugate,vek,,,,92541626.0,ns,31945994
quat conjugate,vek,,,,93636041.0,ns,32285845
quat conjugate,vek,,,,94896756.0,ns,32625696
quat conjugate,vek,,,,98434394.0,ns,32965547
quat conjugate,vek,,,,96488937.0,ns,33305398
quat conjugate,vek,,,,97573469.0,ns,33645249
quat conjugate,vek,,,,98453681.0,ns,33985100
