group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat transform vector3,cgmath,,,,1116339.0,ns,145261
quat transform vector3,cgmath,,,,2086197.0,ns,290522
quat transform vector3,cgmath,,,,3063984.0,ns,435783
quat transform vector3,cgmath,,,,4191834.0,ns,581044
quat transform vector3,cgmath,,,,5132179.0,ns,726305
quat transform vector3,cgmath,,,,6020705.0,ns,871566
quat transform vector3,cgmath,,,,7545920.0,ns,1016827
quat transform vector3,cgmath,,,,8215398.0,ns,1162088
quat transform vector3,cgmath,,,,9555555.0,ns,1307349
quat transform vector3,cgmath,,,,10669208.0,ns,1452610
quat transform vector3,cgmath,,,,10916825.0,ns,1597871
quat transform vector3,cgmath,,,,11876634.0,ns,1743132
quat transform vector3,cgmath,,,,12872608.0,ns,1888393
quat transform vector3,cgmath,,,,13891842.0,ns,2033654
quat transform vector3,cgmath,,,,14830811.0,ns,2178915
quat transform vector3,cgmath,,,,15879621.0,ns,2324176
quat transform vector3,cgmath,,,,16809832.0,ns,2469437
quat transform vector3,cgmath,,,,17789688.0,ns,2614698
quat transform vector3,cgmath,,,,18745122.0,ns,2759959
quat transform vector3,cgmath,,,,19728072.0,ns,2905220
quat transform vector3,cgmath,,,,20808748.0,ns,3050481
quat transform vector3,cgmath,,,,21706567.0,ns,3195742
quat transform vector3,cgmath,,,,22664655.0,ns,3341003
quat transform vector3,cgmath,,,,23653717.0,ns,3486264
quat transform vector3,cgmath,,,,24681819.0,ns,3631525
quat transform vector3,cgmath,,,,25691779.0,ns,3776786
quat transform vector3,cgmath,,,,26579221.0,ns,3922047
quat transform vector3,cgmath,,,,27649240.0,ns,4067308
quat transform vector3,cgmath,,,,29300333.0,ns,4212569
quat transform vector3,cgmath,,,,29770987.0,ns,4357830
quat transform vector3,cgmath,,,,30519253.0,ns,4503091
quat transform vector3,cgmath,,,,31516061.0,ns,4648352
quat transform vector3,cgmath,,,,32578683.0,ns,4793613
quat transform vector3,cgmath,,,,33450284.0,ns,4938874
quat transform vector3,cgmath,,,,35629353.0,ns,5084135
quat transform vector3,cgmath,,,,35440651.0,ns,5229396
quat transform vector3,cgmath,,,,36424308.0,ns,5374657
quat transform vector3,cgmath,,,,37461778.0,ns,5519918
quat transform vector3,cgmath,,,,38371030.0,ns,5665179
quat transform vector3,cgmath,,,,39374859.0,ns,5810440
quat transform vector3,cgmath,,,,40497113.0,ns,5955701
quat transform vector3,cgmath,,,,41319865.0,ns,6100962
quat transform vector3,cgmath,,,,42409148.0,ns,6246223
quat transform vector3,cgmath,,,,43240089.0,ns,6391484
quat transform vector3,cgmath,,,,44328176.0,ns,6536745
quat transform vector3,cgmath,,,,45955677.0,ns,6682006
quat transform vector3,cgmath,,,,46251406.0,ns,6827267
quat transform vector3,cgmath,,,,47289128.0,ns,6972528
quat transform vector3,cgmath,,,,49041077.0,ns,7117789
quat transform vector3,cgmath,,,,49245713.0,ns,7263050
quat transform vector3,cgmath,,,,50140165.0,ns,7408311
quat transform vector3,cgmath,,,,51187903.0,ns,7553572
quat transform vector3,cgmath,,,,52344425.0,ns,7698833
quat transform vector3,cgmath,,,,53112434.0,ns,7844094
quat transform vector3,cgmath,,,,54160553.0,ns,7989355
quat transform vector3,cgmath,,,,55039210.0,ns,8134616
quat transform vector3,cgmath,,,,56206856.0,ns,8279877
quat transform vector3,cgmath,,,,57017442.0,ns,8425138
quat transform vector3,cgmath,,,,58074850.0,ns,8570399
quat transform vector3,cgmath,,,,59733653.0,ns,8715660
quat transform vector3,cgmath,,,,60309343.0,ns,8860921
quat transform vector3,cgmath,,,,61023524.0,ns,9006182
quat transform vector3,cgmath,,,,61912245.0,ns,9151443
quat transform vector3,cgmath,,,,63102500.0,ns,9296704
quat transform vector3,cgmath,,,,63917196.0,ns,9441965
quat transform vector3,cgmath,,,,64862566.0,ns,9587226
quat transform vector3,cgmath,,,,66097987.0,ns,9732487
quat transform vector3,cgmath,,,,66873977.0,ns,9877748
quat transform vector3,cgmath,,,,68442093.0,ns,10023009
quat transform vector3,cgmath,,,,68880161.0,ns,10168270
quat transform vector3,cgmath,,,,69916071.0,ns,10313531
quat transform vector3,cgmath,,,,70822873.0,ns,10458792
quat transform vector3,cgmath,,,,72119382.0,ns,10604053
quat transform vector3,cgmath,,,,72884676.0,ns,10749314
quat transform vector3,cgmath,,,,73762795.0,ns,10894575
quat transform vector3,cgmath,,,,74846640.0,ns,11039836
quat transform vector3,cgmath,,,,75735357.0,ns,11185097
quat transform vector3,cgmath,,,,78315466.0,ns,11330358
quat transform vector3,cgmath,,,,77717753.0,ns,11475619
quat transform vector3,cgmath,,,,78695087.0,ns,11620880
quat transform vector3,cgmath,,,,79552058.0,ns,11766141
quat transform vector3,cgmath,,,,80621804.0,ns,11911402
quat transform vector3,cgmath,,,,81617226.0,ns,12056663
quat transform vector3,cgmath,,,,82586701.0,ns,12201924
quat transform vector3,cgmath,,,,84303043.0,ns,12347185
quat transform vector3,cgmath,,,,88720195.0,ns,12492446
quat transform vector3,cgmath,,,,85682484.0,ns,12637707
quat transform vector3,cgmath,,,,86762975.0,ns,12782968
quat transform vector3,cgmath,,,,87564179.0,ns,12928229
quat transform vector3,cgmath,,,,89198299.0,ns,13073490
quat transform vector3,cgmath,,,,89446647.0,ns,13218751
quat transform vector3,cgmath,,,,92218941.0,ns,13364012
quat transform vector3,cgmath,,,,91432950.0,ns,13509273
quat transform vector3,cgmath,,,,92556768.0,ns,13654534
quat transform vector3,cgmath,,,,93382331.0,ns,13799795
quat transform vector3,cgmath,,,,94621003.0,ns,13945056
quat transform vector3,cgmath,,,,95416530.0,ns,14090317
quat transform vector3,cgmath,,,,97251898.0,ns,14235578
quat transform vector3,cgmath,,,,97348384.0,ns,14380839
quat transform vector3,cgmath,,,,98375459.0,ns,14526100
