group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 normalize,cgmath,,,,985261.0,ns,228243
vec3 normalize,cgmath,,,,1972109.0,ns,456486
vec3 normalize,cgmath,,,,2959565.0,ns,684729
vec3 normalize,cgmath,,,,3959355.0,ns,912972
vec3 normalize,cgmath,,,,5303076.0,ns,1141215
vec3 normalize,cgmath,,,,5917519.0,ns,1369458
vec3 normalize,cgmath,,,,7121248.0,ns,1597701
vec3 normalize,cgmath,,,,8121571.0,ns,1825944
vec3 normalize,cgmath,,,,8955938.0,ns,2054187
vec3 normalize,cgmath,,,,9909462.0,ns,2282430
vec3 normalize,cgmath,,,,10877673.0,ns,2510673
vec3 normalize,cgmath,,,,11944428.0,ns,2738916
vec3 normalize,cgmath,,,,13143892.0,ns,2967159
vec3 normalize,cgmath,,,,13864007.0,ns,3195402
vec3 normalize,cgmath,,,,14831674.0,ns,3423645
vec3 normalize,cgmath,,,,15798801.0,ns,3651888
vec3 normalize,cgmath,,,,16824097.0,ns,3880131
vec3 normalize,cgmath,,,,17787530.0,ns,4108374
vec3 normalize,cgmath,,,,18768556.0,ns,4336617
vec3 normalize,cgmath,,,,19765567.0,ns,4564860
vec3 normalize,cgmath,,,,20726629.0,ns,4793103
vec3 normalize,cgmath,,,,21767241.0,ns,5021346
vec3 normalize,cgmath,,,,22731339.0,ns,5249589
vec3 normalize,cgmath,,,,23681019.0,ns,5477832
vec3 normalize,cgmath,,,,24687964.0,ns,5706075
vec3 normalize,cgmath,,,,25702201.0,ns,5934318
vec3 normalize,cgmath,,,,26683514.0,ns,6162561
vec3 normalize,cgmath,,,,27673821.0,ns,6390804
vec3 normalize,cgmath,,,,28652298.0,ns,6619047
vec3 normalize,cgmath,,,,29680958.0,ns,6847290
vec3 normalize,cgmath,,,,30749132.0,ns,7075533
vec3 normalize,cgmath,,,,31622787.0,ns,7303776
vec3 normalize,cgmath,,,,32614447.0,ns,7532019
vec3 normalize,cgmath,,,,33616386.0,ns,7760262
vec3 normalize,cgmath,,,,34586705.0,ns,7988505
vec3 normalize,cgmath,,,,35583808.0,ns,8216748
vec3 normalize,cgmath,,,,36914667.0,ns,8444991
vec3 normalize,cgmath,,,,37513528.0,ns,8673234
vec3 normalize,cgmath,,,,38571448.0,ns,8901477
vec3 normalize,cgmath,,,,39604450.0,ns,9129720
vec3 normalize,cgmath,,,,40577532.0,ns,9357963
vec3 normalize,cgmath,,,,41485146.0,ns,9586206
vec3 normalize,cgmath,,,,42455558.0,ns,9814449
vec3 normalize,cgmath,,,,43573843.0,ns,10042692
vec3 normalize,cgmath,,,,44427069.0,ns,10270935
vec3 normalize,cgmath,,,,45488597.0,ns,10499178
vec3 normalize,cgmath,,,,46429229.0,ns,10727421
vec3 normalize,cgmath,,,,47471308.0,ns,10955664
vec3 normalize,cgmath,,,,48422594.0,ns,11183907
vec3 normalize,cgmath,,,,49428253.0,ns,11412150
vec3 normalize,cgmath,,,,50700107.0,ns,11640393
vec3 normalize,cgmath,,,,51377082.0,ns,11868636
vec3 normalize,cgmath,,,,64658776.0,ns,12096879
vec3 normalize,cgmath,,,,64459430.0,ns,12325122
vec3 normalize,cgmath,,,,54342656.0,ns,12553365
vec3 normalize,cgmath,,,,55342611.0,ns,12781608
vec3 normalize,cgmath,,,,56437726.0,ns,13009851
vec3 normalize,cgmath,,,,57321830.0,ns,13238094
vec3 normalize,cgmath,,,,58308744.0,ns,13466337
vec3 normalize,cgmath,,,,59260343.0,ns,13694580
vec3 normalize,cgmath,,,,60617868.0,ns,13922823
vec3 normalize,cgmath,,,,61285369.0,ns,14151066
vec3 normalize,cgmath,,,,62233472.0,ns,14379309
vec3 normalize,cgmath,,,,63333809.0,ns,14607552
vec3 normalize,cgmath,,,,64205386.0,ns,14835795
vec3 normalize,cgmath,,,,65369274.0,ns,15064038
vec3 normalize,cgmath,,,,66236961.0,ns,15292281
vec3 normalize,cgmath,,,,67162115.0,ns,15520524
vec3 normalize,cgmath,,,,68277432.0,ns,15748767
vec3 normalize,cgmath,,,,69586136.0,ns,15977010
vec3 normalize,cgmath,,,,70220948.0,ns,16205253
vec3 normalize,cgmath,,,,71099401.0,ns,16433496
vec3 normalize,cgmath,,,,72202040.0,ns,16661739
vec3 normalize,cgmath,,,,73131572.0,ns,16889982
vec3 normalize,cgmath,,,,74091341.0,ns,17118225
vec3 normalize,cgmath,,,,75083011.0,ns,17346468
vec3 normalize,cgmath,,,,76127545.0,ns,17574711
vec3 normalize,cgmath,,,,77184350.0,ns,17802954
vec3 normalize,cgmath,,,,78344142.0,ns,18031197
vec3 normalize,cgmath,,,,80525059.0,ns,18259440
vec3 normalize,cgmath,,,,82320963.0,ns,18487683
vec3 normalize,cgmath,,,,83311572.0,ns,18715926
vec3 normalize,cgmath,,,,82517298.0,ns,18944169
vec3 normalize,cgmath,,,,83303243.0,ns,19172412
vec3 normalize,cgmath,,,,83998455.0,ns,19400655
vec3 normalize,cgmath,,,,85291341.0,ns,19628898
vec3 normalize,cgmath,,,,85973396.0,ns,19857141
vec3 normalize,cgmath,,,,86996648.0,ns,20085384
vec3 normalize,cgmath,,,,87980512.0,ns,20313627
vec3 normalize,cgmath,,,,89150862.0,ns,20541870
vec3 normalize,cgmath,,,,89901058.0,ns,20770113
vec3 normalize,cgmath,,,,90939708.0,ns,20998356
vec3 normalize,cgmath,,,,92228225.0,ns,21226599
vec3 normalize,cgmath,,,,93062414.0,ns,21454842
vec3 normalize,cgmath,,,,93869863.0,ns,21683085
vec3 normalize,cgmath,,,,94837913.0,ns,21911328
vec3 normalize,cgmath,,,,95837838.0,ns,22139571
vec3 normalize,cgmath,,,,96921271.0,ns,22367814
vec3 normalize,cgmath,,,,98223355.0,ns,22596057
vec3 normalize,cgmath,,,,98841630.0,ns,22824300
