group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 normalize,glam,,,,983618.0,ns,242536
vec3 normalize,glam,,,,1967328.0,ns,485072
vec3 normalize,glam,,,,2953100.0,ns,727608
vec3 normalize,glam,,,,4013760.0,ns,970144
vec3 normalize,glam,,,,5011507.0,ns,1212680
vec3 normalize,glam,,,,5905886.0,ns,1455216
vec3 normalize,glam,,,,7121843.0,ns,1697752
vec3 normalize,glam,,,,7937881.0,ns,1940288
vec3 normalize,glam,,,,8920081.0,ns,2182824
vec3 normalize,glam,,,,9989167.0,ns,2425360
vec3 normalize,glam,,,,10950838.0,ns,2667896
vec3 normalize,glam,,,,11962062.0,ns,2910432
vec3 normalize,glam,,,,12928902.0,ns,3152968
vec3 normalize,glam,,,,13900329.0,ns,3395504
vec3 normalize,glam,,,,14782032.0,ns,3638040
vec3 normalize,glam,,,,15832361.0,ns,3880576
vec3 normalize,glam,,,,16961192.0,ns,4123112
vec3 normalize,glam,,,,17784170.0,ns,4365648
vec3 normalize,glam,,,,18756239.0,ns,4608184
vec3 normalize,glam,,,,19743950.0,ns,4850720
vec3 normalize,glam,,,,20691767.0,ns,5093256
vec3 normalize,glam,,,,21691077.0,ns,5335792
vec3 normalize,glam,,,,22654806.0,ns,5578328
vec3 normalize,glam,,,,23717552.0,ns,5820864
vec3 normalize,glam,,,,24663310.0,ns,6063400
vec3 normalize,glam,,,,25718134.0,ns,6305936
vec3 normalize,glam,,,,26595187.0,ns,6548472
vec3 normalize,glam,,,,27676602.0,ns,6791008
vec3 normalize,glam,,,,28580196.0,ns,7033544
vec3 normalize,glam,,,,29580393.0,ns,7276080
vec3 normalize,glam,,,,30608280.0,ns,7518616
vec3 normalize,glam,,,,31571787.0,ns,7761152
vec3 normalize,glam,,,,32676021.0,ns,8003688
vec3 normalize,glam,,,,33598492.0,ns,8246224
vec3 normalize,glam,,,,34585424.0,ns,8488760
vec3 normalize,glam,,,,35506727.0,ns,8731296
vec3 normalize,glam,,,,36583315.0,ns,8973832
vec3 normalize,glam,,,,37462312.0,ns,9216368
vec3 normalize,glam,,,,38417707.0,ns,9458904
vec3 normalize,glam,,,,39504168.0,ns,9701440
vec3 normalize,glam,,,,40507800.0,ns,9943976
vec3 normalize,glam,,,,41454680.0,ns,10186512
vec3 normalize,glam,,,,42427047.0,ns,10429048
vec3 normalize,glam,,,,43415955.0,ns,10671584
vec3 normalize,glam,,,,44415485.0,ns,10914120
vec3 normalize,glam,,,,45326699.0,ns,11156656
vec3 normalize,glam,,,,46531563.0,ns,11399192
vec3 normalize,glam,,,,47433249.0,ns,11641728
vec3 normalize,glam,,,,48360216.0,ns,11884264
vec3 normalize,glam,,,,49268447.0,ns,12126800
vec3 normalize,glam,,,,50307004.0,ns,12369336
vec3 normalize,glam,,,,51840945.0,ns,12611872
vec3 normalize,glam,,,,52388890.0,ns,12854408
vec3 normalize,glam,,,,53300807.0,ns,13096944
vec3 normalize,glam,,,,54275052.0,ns,13339480
vec3 normalize,glam,,,,55205433.0,ns,13582016
vec3 normalize,glam,,,,56236404.0,ns,13824552
vec3 normalize,glam,,,,57215329.0,ns,14067088
vec3 normalize,glam,,,,58160838.0,ns,14309624
vec3 normalize,glam,,,,59188509.0,ns,14552160
vec3 normalize,glam,,,,60384455.0,ns,14794696
vec3 normalize,glam,,,,61182522.0,ns,15037232
vec3 normalize,glam,,,,62236373.0,ns,15279768
vec3 normalize,glam,,,,63232109.0,ns,15522304
vec3 normalize,glam,,,,64125098.0,ns,15764840
vec3 normalize,glam,,,,65360365.0,ns,16007376
vec3 normalize,glam,,,,66104613.0,ns,16249912
vec3 normalize,glam,,,,67102123.0,ns,16492448
vec3 normalize,glam,,,,68105132.0,ns,16734984
vec3 normalize,glam,,,,69168724.0,ns,16977520
vec3 normalize,glam,,,,70167957.0,ns,17220056
vec3 normalize,glam,,,,71014921.0,ns,17462592
vec3 normalize,glam,,,,71944822.0,ns,17705128
vec3 normalize,glam,,,,73056657.0,ns,17947664
vec3 normalize,glam,,,,73993268.0,ns,18190200
vec3 normalize,glam,,,,75057642.0,ns,18432736
vec3 normalize,glam,,,,76228314.0,ns,18675272
vec3 normalize,glam,,,,76947478.0,ns,18917808
vec3 normalize,glam,,,,77921581.0,ns,19160344
vec3 normalize,glam,,,,78912474.0,ns,19402880
vec3 normalize,glam,,,,79850454.0,ns,19645416
vec3 normalize,glam,,,,80920551.0,ns,19887952
vec3 normalize,glam,,,,81997551.0,ns,20130488
vec3 normalize,glam,,,,82865681.0,ns,20373024
vec3 normalize,glam,,,,83835648.0,ns,20615560
vec3 normalize,glam,,,,84926216.0,ns,20858096
vec3 normalize,glam,,,,85986337.0,ns,21100632
vec3 normalize,glam,,,,86767024.0,ns,21343168
vec3 normalize,glam,,,,87961709.0,ns,21585704
vec3 normalize,glam,,,,88746830.0,ns,21828240
vec3 normalize,glam,,,,89766624.0,ns,22070776
vec3 normalize,glam,,,,90724834.0,ns,22313312
vec3 normalize,glam,,,,91702098.0,ns,22555848
vec3 normalize,glam,,,,92867122.0,ns,22798384
vec3 normalize,glam,,,,93943564.0,ns,23040920
vec3 normalize,glam,,,,94906036.0,ns,23283456
vec3 normalize,glam,,,,95657654.0,ns,23525992
vec3 normalize,glam,,,,96660966.0,ns,23768528
vec3 normalize,glam,,,,97611309.0,ns,24011064
vec3 normalize,glam,,,,98845804.0,ns,24253600
