group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 normalize,nalgebra,,,,984928.0,ns,120379
vec3 normalize,nalgebra,,,,1970378.0,ns,240758
vec3 normalize,nalgebra,,,,2957844.0,ns,361137
vec3 normalize,nalgebra,,,,3954914.0,ns,481516
vec3 normalize,nalgebra,,,,5212790.0,ns,601895
vec3 normalize,nalgebra,,,,5932534.0,ns,722274
vec3 normalize,nalgebra,,,,7138170.0,ns,842653
vec3 normalize,nalgebra,,,,8011205.0,ns,963032
vec3 normalize,nalgebra,,,,8889539.0,ns,1083411
vec3 normalize,nalgebra,,,,9922213.0,ns,1203790
vec3 normalize,nalgebra,,,,10911461.0,ns,1324169
vec3 normalize,nalgebra,,,,11846017.0,ns,1444548
vec3 normalize,nalgebra,,,,12832479.0,ns,1564927
vec3 normalize,nalgebra,,,,13796158.0,ns,1685306
vec3 normalize,nalgebra,,,,14842195.0,ns,1805685
vec3 normalize,nalgebra,,,,15809290.0,ns,1926064
vec3 normalize,nalgebra,,,,16825635.0,ns,2046443
vec3 normalize,nalgebra,,,,17821168.0,ns,2166822
vec3 normalize,nalgebra,,,,18752629.0,ns,2287201
vec3 normalize,nalgebra,,,,19750011.0,ns,2407580
vec3 normalize,nalgebra,,,,20734569.0,ns,2527959
vec3 normalize,nalgebra,,,,21721014.0,ns,2648338
vec3 normalize,nalgebra,,,,22766697.0,ns,2768717
vec3 normalize,nalgebra,,,,23670425.0,ns,2889096
vec3 normalize,nalgebra,,,,24746332.0,ns,3009475
vec3 normalize,nalgebra,,,,26034323.0,ns,3129854
vec3 normalize,nalgebra,,,,26750613.0,ns,3250233
vec3 normalize,nalgebra,,,,27634437.0,ns,3370612
vec3 normalize,nalgebra,,,,28679181.0,ns,3490991
vec3 normalize,nalgebra,,,,29652103.0,ns,3611370
vec3 normalize,nalgebra,,,,30590202.0,ns,3731749
vec3 normalize,nalgebra,,,,31838930.0,ns,3852128
vec3 normalize,nalgebra,,,,32562981.0,ns,3972507
vec3 normalize,nalgebra,,,,33553202.0,ns,4092886
vec3 normalize,nalgebra,,,,34570349.0,ns,4213265
vec3 normalize,nalgebra,,,,35579732.0,ns,4333644
vec3 normalize,nalgebra,,,,36566493.0,ns,4454023
vec3 normalize,nalgebra,,,,37580325.0,ns,4574402
vec3 normalize,nalgebra,,,,38533450.0,ns,4694781
vec3 normalize,nalgebra,,,,39601306.0,ns,4815160
vec3 normalize,nalgebra,,,,40551804.0,ns,4935539
vec3 normalize,nalgebra,,,,41489627.0,ns,5055918
vec3 normalize,nalgebra,,,,42773537.0,ns,5176297
vec3 normalize,nalgebra,,,,43530679.0,ns,5296676
vec3 normalize,nalgebra,,,,44425891.0,ns,5417055
vec3 normalize,nalgebra,,,,45432196.0,ns,5537434
vec3 normalize,nalgebra,,,,46422770.0,ns,5657813
vec3 normalize,nalgebra,,,,47406029.0,ns,5778192
vec3 normalize,nalgebra,,,,48416700.0,ns,5898571
vec3 normalize,nalgebra,,,,49379890.0,ns,6018950
vec3 normalize,nalgebra,,,,50541369.0,ns,6139329
vec3 normalize,nalgebra,,,,51449374.0,ns,6259708
vec3 normalize,nalgebra,,,,52328917.0,ns,6380087
vec3 normalize,nalgebra,,,,53341258.0,ns,6500466
vec3 normalize,nalgebra,,,,54323409.0,ns,6620845
vec3 normalize,nalgebra,,,,55603927.0,ns,6741224
vec3 normalize,nalgebra,,,,56294639.0,ns,6861603
vec3 normalize,nalgebra,,,,57384571.0,ns,6981982
vec3 normalize,nalgebra,,,,58448664.0,ns,7102361
vec3 normalize,nalgebra,,,,59319628.0,ns,7222740
vec3 normalize,nalgebra,,,,60259860.0,ns,7343119
vec3 normalize,nalgebra,,,,61198273.0,ns,7463498
vec3 normalize,nalgebra,,,,62258527.0,ns,7583877
vec3 normalize,nalgebra,,,,63229846.0,ns,7704256
vec3 normalize,nalgebra,,,,64405324.0,ns,7824635
vec3 normalize,nalgebra,,,,65544204.0,ns,7945014
vec3 normalize,nalgebra,,,,66220982.0,ns,8065393
vec3 normalize,nalgebra,,,,67185336.0,ns,8185772
vec3 normalize,nalgebra,,,,68159741.0,ns,8306151
vec3 normalize,nalgebra,,,,69142810.0,ns,8426530
vec3 normalize,nalgebra,,,,70128828.0,ns,8546909
vec3 normalize,nalgebra,,,,71053398.0,ns,8667288
vec3 normalize,nalgebra,,,,72105440.0,ns,8787667
vec3 normalize,nalgebra,,,,73520468.0,ns,8908046
vec3 normalize,nalgebra,,,,74135748.0,ns,9028425
vec3 normalize,nalgebra,,,,75021887.0,ns,9148804
vec3 normalize,nalgebra,,,,76304748.0,ns,9269183
vec3 normalize,nalgebra,,,,77011669.0,ns,9389562
vec3 normalize,nalgebra,,,,78054444.0,ns,9509941
vec3 normalize,nalgebra,,,,78966396.0,ns,9630320
vec3 normalize,nalgebra,,,,80033773.0,ns,9750699
vec3 normalize,nalgebra,,,,81387699.0,ns,9871078
vec3 normalize,nalgebra,,,,81938046.0,ns,9991457
vec3 normalize,nalgebra,,,,83110706.0,ns,10111836
vec3 normalize,nalgebra,,,,83923723.0,ns,10232215
vec3 normalize,nalgebra,,,,85076716.0,ns,10352594
vec3 normalize,nalgebra,,,,86143798.0,ns,10472973
vec3 normalize,nalgebra,,,,86902762.0,ns,10593352
vec3 normalize,nalgebra,,,,88250563.0,ns,10713731
vec3 normalize,nalgebra,,,,88856149.0,ns,10834110
vec3 normalize,nalgebra,,,,89899580.0,ns,10954489
vec3 normalize,nalgebra,,,,90868486.0,ns,11074868
vec3 normalize,nalgebra,,,,91897573.0,ns,11195247
vec3 normalize,nalgebra,,,,92875466.0,ns,11315626
vec3 normalize,nalgebra,,,,93983482.0,ns,11436005
vec3 normalize,nalgebra,,,,95148264.0,ns,11556384
vec3 normalize,nalgebra,,,,95979616.0,ns,11676763
vec3 normalize,nalgebra,,,,97035855.0,ns,11797142
vec3 normalize,nalgebra,,,,97880729.0,ns,11917521
vec3 normalize,nalgebra,,,,98770977.0,ns,12037900
