group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 return self,cgmath,,,,1001002.0,ns,330620
vec3 return self,cgmath,,,,1999877.0,ns,661240
vec3 return self,cgmath,,,,2961056.0,ns,991860
vec3 return self,cgmath,,,,3953681.0,ns,1322480
vec3 return self,cgmath,,,,5186286.0,ns,1653100
vec3 return self,cgmath,,,,5878786.0,ns,1983720
vec3 return self,cgmath,,,,7211598.0,ns,2314340
vec3 return self,cgmath,,,,8211075.0,ns,2644960
vec3 return self,cgmath,,,,8959542.0,ns,2975580
vec3 return self,cgmath,,,,9798189.0,ns,3306200
vec3 return self,cgmath,,,,10816129.0,ns,3636820
vec3 return self,cgmath,,,,11777086.0,ns,3967440
vec3 return self,cgmath,,,,12798781.0,ns,4298060
vec3 return self,cgmath,,,,13784796.0,ns,4628680
vec3 return self,cgmath,,,,15237161.0,ns,4959300
vec3 return self,cgmath,,,,15756496.0,ns,5289920
vec3 return self,cgmath,,,,16694709.0,ns,5620540
vec3 return self,cgmath,,,,17653588.0,ns,5951160
vec3 return self,cgmath,,,,18674553.0,ns,6281780
vec3 return self,cgmath,,,,19762575.0,ns,6612400
vec3 return self,cgmath,,,,20717077.0,ns,6943020
vec3 return self,cgmath,,,,21749994.0,ns,7273640
vec3 return self,cgmath,,,,22612061.0,ns,7604260
vec3 return self,cgmath,,,,23611896.0,ns,7934880
vec3 return self,cgmath,,,,24565184.0,ns,8265500
vec3 return self,cgmath,,,,25553934.0,ns,8596120
vec3 return self,cgmath,,,,26479141.0,ns,8926740
vec3 return self,cgmath,,,,27568541.0,ns,9257360
vec3 return self,cgmath,,,,28454349.0,ns,9587980
vec3 return self,cgmath,,,,29429638.0,ns,9918600
vec3 return self,cgmath,,,,30451567.0,ns,10249220
vec3 return self,cgmath,,,,31445562.0,ns,10579840
vec3 return self,cgmath,,,,32369841.0,ns,10910460
vec3 return self,cgmath,,,,33393611.0,ns,11241080
vec3 return self,cgmath,,,,34386900.0,ns,11571700
vec3 return self,cgmath,,,,35313246.0,ns,11902320
vec3 return self,cgmath,,,,36371424.0,ns,12232940
vec3 return self,cgmath,,,,37971176.0,ns,12563560
vec3 return self,cgmath,,,,38341971.0,ns,12894180
vec3 return self,cgmath,,,,39343868.0,ns,13224800
vec3 return self,cgmath,,,,40497239.0,ns,13555420
vec3 return self,cgmath,,,,41280581.0,ns,13886040
vec3 return self,cgmath,,,,42236280.0,ns,14216660
vec3 return self,cgmath,,,,43163766.0,ns,14547280
vec3 return self,cgmath,,,,44305170.0,ns,14877900
vec3 return self,cgmath,,,,45344898.0,ns,15208520
vec3 return self,cgmath,,,,46203294.0,ns,15539140
vec3 return self,cgmath,,,,47100715.0,ns,15869760
vec3 return self,cgmath,,,,48184269.0,ns,16200380
vec3 return self,cgmath,,,,49381154.0,ns,16531000
vec3 return self,cgmath,,,,50639807.0,ns,16861620
vec3 return self,cgmath,,,,51136860.0,ns,17192240
vec3 return self,cgmath,,,,52088481.0,ns,17522860
vec3 return self,cgmath,,,,52990967.0,ns,17853480
vec3 return self,cgmath,,,,54062449.0,ns,18184100
vec3 return self,cgmath,,,,54926599.0,ns,18514720
vec3 return self,cgmath,,,,55987395.0,ns,18845340
vec3 return self,cgmath,,,,56964531.0,ns,19175960
vec3 return self,cgmath,,,,57995097.0,ns,19506580
vec3 return self,cgmath,,,,58930842.0,ns,19837200
vec3 return self,cgmath,,,,60250869.0,ns,20167820
vec3 return self,cgmath,,,,60943031.0,ns,20498440
vec3 return self,cgmath,,,,61837459.0,ns,20829060
vec3 return self,cgmath,,,,62915086.0,ns,21159680
vec3 return self,cgmath,,,,63856055.0,ns,21490300
vec3 return self,cgmath,,,,64743723.0,ns,21820920
vec3 return self,cgmath,,,,65936399.0,ns,22151540
vec3 return self,cgmath,,,,66910317.0,ns,22482160
vec3 return self,cgmath,,,,67831781.0,ns,22812780
vec3 return self,cgmath,,,,69093343.0,ns,23143400
vec3 return self,cgmath,,,,69771922.0,ns,23474020
vec3 return self,cgmath,,,,70662882.0,ns,23804640
vec3 return self,cgmath,,,,72091870.0,ns,24135260
vec3 return self,cgmath,,,,72888102.0,ns,24465880
vec3 return self,cgmath,,,,73675100.0,ns,24796500
vec3 return self,cgmath,,,,74643533.0,ns,25127120
vec3 return self,cgmath,,,,75629087.0,ns,25457740
vec3 return self,cgmath,,,,76692278.0,ns,25788360
vec3 return self,cgmath,,,,77645142.0,ns,26118980
vec3 return self,cgmath,,,,78516591.0,ns,26449600
vec3 return self,cgmath,,,,79620424.0,ns,26780220
