group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
euler 3d,euclid,10000,10000,elements,1016060.0,ns,40
euler 3d,euclid,10000,10000,elements,2007561.0,ns,80
euler 3d,euclid,10000,10000,elements,2939395.0,ns,120
euler 3d,euclid,10000,10000,elements,3980870.0,ns,160
euler 3d,euclid,10000,10000,elements,5303134.0,ns,200
euler 3d,euclid,10000,10000,elements,5951750.0,ns,240
euler 3d,euclid,10000,10000,elements,7288217.0,ns,280
euler 3d,euclid,10000,10000,elements,8050225.0,ns,320
euler 3d,euclid,10000,10000,elements,9008521.0,ns,360
euler 3d,euclid,10000,10000,elements,10089154.0,ns,400
euler 3d,euclid,10000,10000,elements,11085561.0,ns,440
euler 3d,euclid,10000,10000,elements,11949450.0,ns,480
euler 3d,euclid,10000,10000,elements,12961673.0,ns,520
euler 3d,euclid,10000,10000,elements,13938942.0,ns,560
euler 3d,euclid,10000,10000,elements,14996434.0,ns,600
euler 3d,euclid,10000,10000,elements,15953004.0,ns,640
euler 3d,euclid,10000,10000,elements,16948436.0,ns,680
euler 3d,euclid,10000,10000,elements,17993073.0,ns,720
euler 3d,euclid,10000,10000,elements,18967661.0,ns,760
euler 3d,euclid,10000,10000,elements,19935324.0,ns,800
euler 3d,euclid,10000,10000,elements,20903897.0,ns,840
euler 3d,euclid,10000,10000,elements,21916572.0,ns,880
euler 3d,euclid,10000,10000,elements,23376203.0,ns,920
euler 3d,euclid,10000,10000,elements,23943677.0,ns,960
euler 3d,euclid,10000,10000,elements,24976994.0,ns,1000
euler 3d,euclid,10000,10000,elements,25952075.0,ns,1040
euler 3d,euclid,10000,10000,elements,26973070.0,ns,1080
euler 3d,euclid,10000,10000,elements,27942351.0,ns,1120
euler 3d,euclid,10000,10000,elements,28911206.0,ns,1160
euler 3d,euclid,10000,10000,elements,29942324.0,ns,1200
euler 3d,euclid,10000,10000,elements,30955570.0,ns,1240
euler 3d,euclid,10000,10000,elements,31999378.0,ns,1280
euler 3d,euclid,10000,10000,elements,33036803.0,ns,1320
euler 3d,euclid,10000,10000,elements,34019521.0,ns,1360
euler 3d,euclid,10000,10000,elements,34993462.0,ns,1400
euler 3d,euclid,10000,10000,elements,35933559.0,ns,1440
euler 3d,euclid,10000,10000,elements,36893343.0,ns,1480
euler 3d,euclid,10000,10000,elements,37989992.0,ns,1520
euler 3d,euclid,10000,10000,elements,39041848.0,ns,1560
euler 3d,euclid,10000,10000,elements,40006181.0,ns,1600
euler 3d,euclid,10000,10000,elements,41331724.0,ns,1640
euler 3d,euclid,10000,10000,elements,42128636.0,ns,1680
euler 3d,euclid,10000,10000,elements,42929625.0,ns,1720
euler 3d,euclid,10000,10000,elements,43979971.0,ns,1760
euler 3d,euclid,10000,10000,elements,44914502.0,ns,1800
euler 3d,euclid,10000,10000,elements,46047010.0,ns,1840
euler 3d,euclid,10000,10000,elements,47132702.0,ns,1880
euler 3d,euclid,10000,10000,elements,47948456.0,ns,1920
euler 3d,euclid,10000,10000,elements,48994102.0,ns,1960
euler 3d,euclid,10000,10000,elements,49987123.0,ns,2000
euler 3d,euclid,10000,10000,elements,50928498.0,ns,2040
euler 3d,euclid,10000,10000,elements,52076199.0,ns,2080
euler 3d,euclid,10000,10000,elements,53330350.0,ns,2120
euler 3d,euclid,10000,10000,elements,54270454.0,ns,2160
euler 3d,euclid,10000,10000,elements,54954516.0,ns,2200
euler 3d,euclid,10000,10000,elements,56033189.0,ns,2240
euler 3d,euclid,10000,10000,elements,56924498.0,ns,2280
euler 3d,euclid,10000,10000,elements,58194808.0,ns,2320
euler 3d,euclid,10000,10000,elements,59019427.0,ns,2360
euler 3d,euclid,10000,10000,elements,59941332.0,ns,2400
euler 3d,euclid,10000,10000,elements,60988653.0,ns,2440
euler 3d,euclid,10000,10000,elements,61978699.0,ns,2480
euler 3d,euclid,10000,10000,elements,62883885.0,ns,2520
euler 3d,euclid,10000,10000,elements,64286932.0,ns,2560
euler 3d,euclid,10000,10000,elements,64945399.0,ns,2600
euler 3d,euclid,10000,10000,elements,65915356.0,ns,2640
euler 3d,euclid,10000,10000,elements,66973988.0,ns,2680
euler 3d,euclid,10000,10000,elements,67930457.0,ns,2720
euler 3d,euclid,10000,10000,elements,68923285.0,ns,2760
euler 3d,euclid,10000,10000,elements,70202803.0,ns,2800
euler 3d,euclid,10000,10000,elements,70946539.0,ns,2840
euler 3d,euclid,10000,10000,elements,72213276.0,ns,2880
euler 3d,euclid,10000,10000,elements,73364793.0,ns,2920
euler 3d,euclid,10000,10000,elements,74044512.0,ns,2960
euler 3d,euclid,10000,10000,elements,75056840.0,ns,3000
euler 3d,euclid,10000,10000,elements,76010549.0,ns,3040
euler 3d,euclid,10000,10000,elements,76919006.0,ns,3080
euler 3d,euclid,10000,10000,elements,77957115.0,ns,3120
euler 3d,euclid,10000,10000,elements,78964829.0,ns,3160
euler 3d,euclid,10000,10000,elements,79877728.0,ns,3200
euler 3d,euclid,10000,10000,elements,81511162.0,ns,3240
euler 3d,euclid,10000,10000,elements,81919078.0,ns,3280
