group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul matrix2,vek,,,,987033.0,ns,49889
matrix2 mul matrix2,vek,,,,1973249.0,ns,99778
matrix2 mul matrix2,vek,,,,2964557.0,ns,149667
matrix2 mul matrix2,vek,,,,4082442.0,ns,199556
matrix2 mul matrix2,vek,,,,4940999.0,ns,249445
matrix2 mul matrix2,vek,,,,5922407.0,ns,299334
matrix2 mul matrix2,vek,,,,6935422.0,ns,349223
matrix2 mul matrix2,vek,,,,8002893.0,ns,399112
matrix2 mul matrix2,vek,,,,8894500.0,ns,449001
matrix2 mul matrix2,vek,,,,9896235.0,ns,498890
matrix2 mul matrix2,vek,,,,10944675.0,ns,548779
matrix2 mul matrix2,vek,,,,11855017.0,ns,598668
matrix2 mul matrix2,vek,,,,12833227.0,ns,648557
matrix2 mul matrix2,vek,,,,13867585.0,ns,698446
matrix2 mul matrix2,vek,,,,14814701.0,ns,748335
matrix2 mul matrix2,vek,,,,15797862.0,ns,798224
matrix2 mul matrix2,vek,,,,16793541.0,ns,848113
matrix2 mul matrix2,vek,,,,17874157.0,ns,898002
matrix2 mul matrix2,vek,,,,18766297.0,ns,947891
matrix2 mul matrix2,vek,,,,19746355.0,ns,997780
matrix2 mul matrix2,vek,,,,20790145.0,ns,1047669
matrix2 mul matrix2,vek,,,,21816727.0,ns,1097558
matrix2 mul matrix2,vek,,,,22766313.0,ns,1147447
matrix2 mul matrix2,vek,,,,23879419.0,ns,1197336
matrix2 mul matrix2,vek,,,,24821332.0,ns,1247225
matrix2 mul matrix2,vek,,,,25669935.0,ns,1297114
matrix2 mul matrix2,vek,,,,26748308.0,ns,1347003
matrix2 mul matrix2,vek,,,,27641865.0,ns,1396892
matrix2 mul matrix2,vek,,,,28746073.0,ns,1446781
matrix2 mul matrix2,vek,,,,29785654.0,ns,1496670
matrix2 mul matrix2,vek,,,,30683311.0,ns,1546559
matrix2 mul matrix2,vek,,,,31606748.0,ns,1596448
matrix2 mul matrix2,vek,,,,32588363.0,ns,1646337
matrix2 mul matrix2,vek,,,,33641983.0,ns,1696226
matrix2 mul matrix2,vek,,,,34629308.0,ns,1746115
matrix2 mul matrix2,vek,,,,35814444.0,ns,1796004
matrix2 mul matrix2,vek,,,,36546076.0,ns,1845893
matrix2 mul matrix2,vek,,,,37513252.0,ns,1895782
matrix2 mul matrix2,vek,,,,38582912.0,ns,1945671
matrix2 mul matrix2,vek,,,,40611277.0,ns,1995560
matrix2 mul matrix2,vek,,,,41744472.0,ns,2045449
matrix2 mul matrix2,vek,,,,41564635.0,ns,2095338
matrix2 mul matrix2,vek,,,,42521284.0,ns,2145227
matrix2 mul matrix2,vek,,,,43537958.0,ns,2195116
matrix2 mul matrix2,vek,,,,44528461.0,ns,2245005
matrix2 mul matrix2,vek,,,,45511344.0,ns,2294894
matrix2 mul matrix2,vek,,,,46459961.0,ns,2344783
matrix2 mul matrix2,vek,,,,47489675.0,ns,2394672
matrix2 mul matrix2,vek,,,,48398237.0,ns,2444561
matrix2 mul matrix2,vek,,,,49567860.0,ns,2494450
matrix2 mul matrix2,vek,,,,50651027.0,ns,2544339
matrix2 mul matrix2,vek,,,,51486988.0,ns,2594228
matrix2 mul matrix2,vek,,,,52332934.0,ns,2644117
matrix2 mul matrix2,vek,,,,53552575.0,ns,2694006
matrix2 mul matrix2,vek,,,,54406158.0,ns,2743895
matrix2 mul matrix2,vek,,,,55372241.0,ns,2793784
matrix2 mul matrix2,vek,,,,56413792.0,ns,2843673
matrix2 mul matrix2,vek,,,,57350613.0,ns,2893562
matrix2 mul matrix2,vek,,,,58329886.0,ns,2943451
matrix2 mul matrix2,vek,,,,59307592.0,ns,2993340
matrix2 mul matrix2,vek,,,,60354636.0,ns,3043229
matrix2 mul matrix2,vek,,,,61138509.0,ns,3093118
matrix2 mul matrix2,vek,,,,62237670.0,ns,3143007
matrix2 mul matrix2,vek,,,,63270961.0,ns,3192896
matrix2 mul matrix2,vek,,,,64304278.0,ns,3242785
matrix2 mul matrix2,vek,,,,65269761.0,ns,3292674
matrix2 mul matrix2,vek,,,,66314085.0,ns,3342563
matrix2 mul matrix2,vek,,,,67438258.0,ns,3392452
matrix2 mul matrix2,vek,,,,68256785.0,ns,3442341
matrix2 mul matrix2,vek,,,,69474623.0,ns,3492230
matrix2 mul matrix2,vek,,,,70175731.0,ns,3542119
matrix2 mul matrix2,vek,,,,71203797.0,ns,3592008
matrix2 mul matrix2,vek,,,,72230229.0,ns,3641897
matrix2 mul matrix2,vek,,,,73132771.0,ns,3691786
matrix2 mul matrix2,vek,,,,74264432.0,ns,3741675
matrix2 mul matrix2,vek,,,,75150852.0,ns,3791564
matrix2 mul matrix2,vek,,,,76134059.0,ns,3841453
matrix2 mul matrix2,vek,,,,77545071.0,ns,3891342
matrix2 mul matrix2,vek,,,,78149277.0,ns,3941231
matrix2 mul matrix2,vek,,,,79142044.0,ns,3991120
matrix2 mul matrix2,vek,,,,80961978.0,ns,4041009
matrix2 mul matrix2,vek,,,,80953775.0,ns,4090898
matrix2 mul matrix2,vek,,,,82064115.0,ns,4140787
matrix2 mul matrix2,vek,,,,82929925.0,ns,4190676
matrix2 mul matrix2,vek,,,,83964895.0,ns,4240565
matrix2 mul matrix2,vek,,,,84912242.0,ns,4290454
matrix2 mul matrix2,vek,,,,85893932.0,ns,4340343
matrix2 mul matrix2,vek,,,,87077149.0,ns,4390232
matrix2 mul matrix2,vek,,,,87977044.0,ns,4440121
matrix2 mul matrix2,vek,,,,88997796.0,ns,4490010
matrix2 mul matrix2,vek,,,,89974212.0,ns,4539899
matrix2 mul matrix2,vek,,,,90990131.0,ns,4589788
matrix2 mul matrix2,vek,,,,92137353.0,ns,4639677
matrix2 mul matrix2,vek,,,,92991717.0,ns,4689566
matrix2 mul matrix2,vek,,,,94020070.0,ns,4739455
matrix2 mul matrix2,vek,,,,94936641.0,ns,4789344
matrix2 mul matrix2,vek,,,,95910972.0,ns,4839233
matrix2 mul matrix2,vek,,,,96900347.0,ns,4889122
matrix2 mul matrix2,vek,,,,97926058.0,ns,4939011
matrix2 mul matrix2,vek,,,,98819264.0,ns,4988900
