group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul vector2,nalgebra,100,100,elements,906876.0,ns,3558
matrix2 mul vector2,nalgebra,100,100,elements,1773949.0,ns,7116
matrix2 mul vector2,nalgebra,100,100,elements,2632010.0,ns,10674
matrix2 mul vector2,nalgebra,100,100,elements,3498987.0,ns,14232
matrix2 mul vector2,nalgebra,100,100,elements,4376638.0,ns,17790
matrix2 mul vector2,nalgebra,100,100,elements,5220095.0,ns,21348
matrix2 mul vector2,nalgebra,100,100,elements,6087726.0,ns,24906
matrix2 mul vector2,nalgebra,100,100,elements,6968788.0,ns,28464
matrix2 mul vector2,nalgebra,100,100,elements,7848173.0,ns,32022
matrix2 mul vector2,nalgebra,100,100,elements,8663055.0,ns,35580
matrix2 mul vector2,nalgebra,100,100,elements,9515437.0,ns,39138
matrix2 mul vector2,nalgebra,100,100,elements,10382528.0,ns,42696
matrix2 mul vector2,nalgebra,100,100,elements,11213400.0,ns,46254
matrix2 mul vector2,nalgebra,100,100,elements,12061278.0,ns,49812
matrix2 mul vector2,nalgebra,100,100,elements,13049155.0,ns,53370
matrix2 mul vector2,nalgebra,100,100,elements,13827993.0,ns,56928
matrix2 mul vector2,nalgebra,100,100,elements,14729311.0,ns,60486
matrix2 mul vector2,nalgebra,100,100,elements,15625275.0,ns,64044
matrix2 mul vector2,nalgebra,100,100,elements,16466259.0,ns,67602
matrix2 mul vector2,nalgebra,100,100,elements,17191993.0,ns,71160
matrix2 mul vector2,nalgebra,100,100,elements,18106242.0,ns,74718
matrix2 mul vector2,nalgebra,100,100,elements,18974363.0,ns,78276
matrix2 mul vector2,nalgebra,100,100,elements,19886221.0,ns,81834
matrix2 mul vector2,nalgebra,100,100,elements,20844415.0,ns,85392
matrix2 mul vector2,nalgebra,100,100,elements,21551125.0,ns,88950
matrix2 mul vector2,nalgebra,100,100,elements,22643343.0,ns,92508
matrix2 mul vector2,nalgebra,100,100,elements,23312392.0,ns,96066
matrix2 mul vector2,nalgebra,100,100,elements,24174605.0,ns,99624
matrix2 mul vector2,nalgebra,100,100,elements,25207778.0,ns,103182
matrix2 mul vector2,nalgebra,100,100,elements,25821062.0,ns,106740
matrix2 mul vector2,nalgebra,100,100,elements,26681790.0,ns,110298
matrix2 mul vector2,nalgebra,100,100,elements,27635302.0,ns,113856
matrix2 mul vector2,nalgebra,100,100,elements,28470266.0,ns,117414
matrix2 mul vector2,nalgebra,100,100,elements,29352011.0,ns,120972
matrix2 mul vector2,nalgebra,100,100,elements,30320961.0,ns,124530
matrix2 mul vector2,nalgebra,100,100,elements,31086877.0,ns,128088
matrix2 mul vector2,nalgebra,100,100,elements,31681130.0,ns,131646
matrix2 mul vector2,nalgebra,100,100,elements,32889276.0,ns,135204
matrix2 mul vector2,nalgebra,100,100,elements,34005766.0,ns,138762
matrix2 mul vector2,nalgebra,100,100,elements,34540251.0,ns,142320
matrix2 mul vector2,nalgebra,100,100,elements,35304914.0,ns,145878
matrix2 mul vector2,nalgebra,100,100,elements,36197399.0,ns,149436
matrix2 mul vector2,nalgebra,100,100,elements,37330752.0,ns,152994
matrix2 mul vector2,nalgebra,100,100,elements,37650990.0,ns,156552
matrix2 mul vector2,nalgebra,100,100,elements,38859662.0,ns,160110
matrix2 mul vector2,nalgebra,100,100,elements,39886577.0,ns,163668
matrix2 mul vector2,nalgebra,100,100,elements,40411556.0,ns,167226
matrix2 mul vector2,nalgebra,100,100,elements,41225969.0,ns,170784
matrix2 mul vector2,nalgebra,100,100,elements,42420404.0,ns,174342
matrix2 mul vector2,nalgebra,100,100,elements,42870990.0,ns,177900
matrix2 mul vector2,nalgebra,100,100,elements,44087557.0,ns,181458
matrix2 mul vector2,nalgebra,100,100,elements,44994835.0,ns,185016
matrix2 mul vector2,nalgebra,100,100,elements,45937002.0,ns,188574
matrix2 mul vector2,nalgebra,100,100,elements,46624551.0,ns,192132
matrix2 mul vector2,nalgebra,100,100,elements,47450560.0,ns,195690
matrix2 mul vector2,nalgebra,100,100,elements,48202280.0,ns,199248
matrix2 mul vector2,nalgebra,100,100,elements,49232786.0,ns,202806
matrix2 mul vector2,nalgebra,100,100,elements,50223773.0,ns,206364
matrix2 mul vector2,nalgebra,100,100,elements,50970755.0,ns,209922
matrix2 mul vector2,nalgebra,100,100,elements,51796179.0,ns,213480
matrix2 mul vector2,nalgebra,100,100,elements,52656119.0,ns,217038
matrix2 mul vector2,nalgebra,100,100,elements,53375950.0,ns,220596
matrix2 mul vector2,nalgebra,100,100,elements,54036958.0,ns,224154
matrix2 mul vector2,nalgebra,100,100,elements,55003885.0,ns,227712
matrix2 mul vector2,nalgebra,100,100,elements,56024466.0,ns,231270
matrix2 mul vector2,nalgebra,100,100,elements,56784893.0,ns,234828
matrix2 mul vector2,nalgebra,100,100,elements,57852645.0,ns,238386
matrix2 mul vector2,nalgebra,100,100,elements,58883753.0,ns,241944
matrix2 mul vector2,nalgebra,100,100,elements,59269976.0,ns,245502
matrix2 mul vector2,nalgebra,100,100,elements,60109406.0,ns,249060
matrix2 mul vector2,nalgebra,100,100,elements,61197814.0,ns,252618
matrix2 mul vector2,nalgebra,100,100,elements,61911239.0,ns,256176
matrix2 mul vector2,nalgebra,100,100,elements,62769337.0,ns,259734
matrix2 mul vector2,nalgebra,100,100,elements,64164168.0,ns,263292
matrix2 mul vector2,nalgebra,100,100,elements,64491420.0,ns,266850
matrix2 mul vector2,nalgebra,100,100,elements,65497204.0,ns,270408
matrix2 mul vector2,nalgebra,100,100,elements,66285721.0,ns,273966
matrix2 mul vector2,nalgebra,100,100,elements,67106798.0,ns,277524
matrix2 mul vector2,nalgebra,100,100,elements,67904679.0,ns,281082
matrix2 mul vector2,nalgebra,100,100,elements,68905648.0,ns,284640
matrix2 mul vector2,nalgebra,100,100,elements,69902746.0,ns,288198
matrix2 mul vector2,nalgebra,100,100,elements,70771538.0,ns,291756
matrix2 mul vector2,nalgebra,100,100,elements,71717001.0,ns,295314
matrix2 mul vector2,nalgebra,100,100,elements,72238834.0,ns,298872
matrix2 mul vector2,nalgebra,100,100,elements,72750503.0,ns,302430
matrix2 mul vector2,nalgebra,100,100,elements,74641957.0,ns,305988
matrix2 mul vector2,nalgebra,100,100,elements,74857095.0,ns,309546
matrix2 mul vector2,nalgebra,100,100,elements,75973990.0,ns,313104
matrix2 mul vector2,nalgebra,100,100,elements,76785548.0,ns,316662
matrix2 mul vector2,nalgebra,100,100,elements,77429899.0,ns,320220
matrix2 mul vector2,nalgebra,100,100,elements,78343522.0,ns,323778
matrix2 mul vector2,nalgebra,100,100,elements,80278135.0,ns,327336
matrix2 mul vector2,nalgebra,100,100,elements,79844843.0,ns,330894
matrix2 mul vector2,nalgebra,100,100,elements,81057397.0,ns,334452
matrix2 mul vector2,nalgebra,100,100,elements,81831876.0,ns,338010
matrix2 mul vector2,nalgebra,100,100,elements,82869894.0,ns,341568
matrix2 mul vector2,nalgebra,100,100,elements,83222870.0,ns,345126
matrix2 mul vector2,nalgebra,100,100,elements,88814043.0,ns,348684
matrix2 mul vector2,nalgebra,100,100,elements,85189915.0,ns,352242
matrix2 mul vector2,nalgebra,100,100,elements,85956127.0,ns,355800
