group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul vector2,vek,1,1,elements,985516.0,ns,112839
matrix2 mul vector2,vek,1,1,elements,1975606.0,ns,225678
matrix2 mul vector2,vek,1,1,elements,2959589.0,ns,338517
matrix2 mul vector2,vek,1,1,elements,4065182.0,ns,451356
matrix2 mul vector2,vek,1,1,elements,4931767.0,ns,564195
matrix2 mul vector2,vek,1,1,elements,5916326.0,ns,677034
matrix2 mul vector2,vek,1,1,elements,6943629.0,ns,789873
matrix2 mul vector2,vek,1,1,elements,7891915.0,ns,902712
matrix2 mul vector2,vek,1,1,elements,8921893.0,ns,1015551
matrix2 mul vector2,vek,1,1,elements,9882694.0,ns,1128390
matrix2 mul vector2,vek,1,1,elements,10870913.0,ns,1241229
matrix2 mul vector2,vek,1,1,elements,11856635.0,ns,1354068
matrix2 mul vector2,vek,1,1,elements,12821257.0,ns,1466907
matrix2 mul vector2,vek,1,1,elements,13810239.0,ns,1579746
matrix2 mul vector2,vek,1,1,elements,14792733.0,ns,1692585
matrix2 mul vector2,vek,1,1,elements,15781519.0,ns,1805424
matrix2 mul vector2,vek,1,1,elements,16774304.0,ns,1918263
matrix2 mul vector2,vek,1,1,elements,17833059.0,ns,2031102
matrix2 mul vector2,vek,1,1,elements,18741410.0,ns,2143941
matrix2 mul vector2,vek,1,1,elements,19749023.0,ns,2256780
matrix2 mul vector2,vek,1,1,elements,20735546.0,ns,2369619
matrix2 mul vector2,vek,1,1,elements,21720084.0,ns,2482458
matrix2 mul vector2,vek,1,1,elements,22703947.0,ns,2595297
matrix2 mul vector2,vek,1,1,elements,23677401.0,ns,2708136
matrix2 mul vector2,vek,1,1,elements,24657582.0,ns,2820975
matrix2 mul vector2,vek,1,1,elements,25726854.0,ns,2933814
matrix2 mul vector2,vek,1,1,elements,26652312.0,ns,3046653
matrix2 mul vector2,vek,1,1,elements,27625913.0,ns,3159492
matrix2 mul vector2,vek,1,1,elements,28626203.0,ns,3272331
matrix2 mul vector2,vek,1,1,elements,29608832.0,ns,3385170
