group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 return self,glam,,,,1275717.0,ns,399611
matrix2 return self,glam,,,,1987847.0,ns,799222
matrix2 return self,glam,,,,2973205.0,ns,1198833
matrix2 return self,glam,,,,4092288.0,ns,1598444
matrix2 return self,glam,,,,5010659.0,ns,1998055
matrix2 return self,glam,,,,5947197.0,ns,2397666
matrix2 return self,glam,,,,7200153.0,ns,2797277
matrix2 return self,glam,,,,8132150.0,ns,3196888
matrix2 return self,glam,,,,8923956.0,ns,3596499
matrix2 return self,glam,,,,9969569.0,ns,3996110
matrix2 return self,glam,,,,10912144.0,ns,4395721
matrix2 return self,glam,,,,11884795.0,ns,4795332
matrix2 return self,glam,,,,12893224.0,ns,5194943
matrix2 return self,glam,,,,13905531.0,ns,5594554
matrix2 return self,glam,,,,14873702.0,ns,5994165
matrix2 return self,glam,,,,15868023.0,ns,6393776
matrix2 return self,glam,,,,16884312.0,ns,6793387
matrix2 return self,glam,,,,17844673.0,ns,7192998
matrix2 return self,glam,,,,18840928.0,ns,7592609
matrix2 return self,glam,,,,19875587.0,ns,7992220
matrix2 return self,glam,,,,20813011.0,ns,8391831
matrix2 return self,glam,,,,21833304.0,ns,8791442
matrix2 return self,glam,,,,22825031.0,ns,9191053
matrix2 return self,glam,,,,23793164.0,ns,9590664
matrix2 return self,glam,,,,24798220.0,ns,9990275
matrix2 return self,glam,,,,25798716.0,ns,10389886
matrix2 return self,glam,,,,26781965.0,ns,10789497
matrix2 return self,glam,,,,27797645.0,ns,11189108
matrix2 return self,glam,,,,28769334.0,ns,11588719
matrix2 return self,glam,,,,29872054.0,ns,11988330
matrix2 return self,glam,,,,30781522.0,ns,12387941
matrix2 return self,glam,,,,31731330.0,ns,12787552
matrix2 return self,glam,,,,32751894.0,ns,13187163
matrix2 return self,glam,,,,33754231.0,ns,13586774
matrix2 return self,glam,,,,34978510.0,ns,13986385
matrix2 return self,glam,,,,35920112.0,ns,14385996
matrix2 return self,glam,,,,36689959.0,ns,14785607
matrix2 return self,glam,,,,37700645.0,ns,15185218
matrix2 return self,glam,,,,38814753.0,ns,15584829
matrix2 return self,glam,,,,39788828.0,ns,15984440
matrix2 return self,glam,,,,40697988.0,ns,16384051
matrix2 return self,glam,,,,41659820.0,ns,16783662
matrix2 return self,glam,,,,42625397.0,ns,17183273
matrix2 return self,glam,,,,43701343.0,ns,17582884
matrix2 return self,glam,,,,44638945.0,ns,17982495
matrix2 return self,glam,,,,45608842.0,ns,18382106
matrix2 return self,glam,,,,46628464.0,ns,18781717
matrix2 return self,glam,,,,47620552.0,ns,19181328
matrix2 return self,glam,,,,48909650.0,ns,19580939
matrix2 return self,glam,,,,49646691.0,ns,19980550
matrix2 return self,glam,,,,50570667.0,ns,20380161
matrix2 return self,glam,,,,51585298.0,ns,20779772
matrix2 return self,glam,,,,52613528.0,ns,21179383
matrix2 return self,glam,,,,53593645.0,ns,21578994
matrix2 return self,glam,,,,54538569.0,ns,21978605
matrix2 return self,glam,,,,55914406.0,ns,22378216
matrix2 return self,glam,,,,56681595.0,ns,22777827
matrix2 return self,glam,,,,57582087.0,ns,23177438
matrix2 return self,glam,,,,58603495.0,ns,23577049
matrix2 return self,glam,,,,59996425.0,ns,23976660
matrix2 return self,glam,,,,60544957.0,ns,24376271
matrix2 return self,glam,,,,61509297.0,ns,24775882
matrix2 return self,glam,,,,62515317.0,ns,25175493
matrix2 return self,glam,,,,63469231.0,ns,25575104
matrix2 return self,glam,,,,64487024.0,ns,25974715
matrix2 return self,glam,,,,65847439.0,ns,26374326
matrix2 return self,glam,,,,66497412.0,ns,26773937
matrix2 return self,glam,,,,67435554.0,ns,27173548
matrix2 return self,glam,,,,68683047.0,ns,27573159
matrix2 return self,glam,,,,69795712.0,ns,27972770
matrix2 return self,glam,,,,70679537.0,ns,28372381
matrix2 return self,glam,,,,71461968.0,ns,28771992
matrix2 return self,glam,,,,72644588.0,ns,29171603
matrix2 return self,glam,,,,73461659.0,ns,29571214
matrix2 return self,glam,,,,74431521.0,ns,29970825
matrix2 return self,glam,,,,75403142.0,ns,30370436
matrix2 return self,glam,,,,76412091.0,ns,30770047
matrix2 return self,glam,,,,77686991.0,ns,31169658
matrix2 return self,glam,,,,78404948.0,ns,31569269
matrix2 return self,glam,,,,79522611.0,ns,31968880
matrix2 return self,glam,,,,80348689.0,ns,32368491
matrix2 return self,glam,,,,81348426.0,ns,32768102
matrix2 return self,glam,,,,82369629.0,ns,33167713
matrix2 return self,glam,,,,83361895.0,ns,33567324
matrix2 return self,glam,,,,84706568.0,ns,33966935
matrix2 return self,glam,,,,85318861.0,ns,34366546
matrix2 return self,glam,,,,86385276.0,ns,34766157
matrix2 return self,glam,,,,87392603.0,ns,35165768
matrix2 return self,glam,,,,88479661.0,ns,35565379
matrix2 return self,glam,,,,89303805.0,ns,35964990
matrix2 return self,glam,,,,90291660.0,ns,36364601
matrix2 return self,glam,,,,91671744.0,ns,36764212
matrix2 return self,glam,,,,92245228.0,ns,37163823
matrix2 return self,glam,,,,93245400.0,ns,37563434
matrix2 return self,glam,,,,94231670.0,ns,37963045
matrix2 return self,glam,,,,95278410.0,ns,38362656
matrix2 return self,glam,,,,96207713.0,ns,38762267
matrix2 return self,glam,,,,97742606.0,ns,39161878
matrix2 return self,glam,,,,98200061.0,ns,39561489
matrix2 return self,glam,,,,99233071.0,ns,39961100
