group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 determinant,nalgebra,,,,1090200.0,ns,286246
matrix3 determinant,nalgebra,,,,2050020.0,ns,572492
matrix3 determinant,nalgebra,,,,3014222.0,ns,858738
matrix3 determinant,nalgebra,,,,4155305.0,ns,1144984
matrix3 determinant,nalgebra,,,,4947307.0,ns,1431230
matrix3 determinant,nalgebra,,,,5899690.0,ns,1717476
matrix3 determinant,nalgebra,,,,6874512.0,ns,2003722
matrix3 determinant,nalgebra,,,,7826875.0,ns,2289968
matrix3 determinant,nalgebra,,,,8829955.0,ns,2576214
matrix3 determinant,nalgebra,,,,9773928.0,ns,2862460
matrix3 determinant,nalgebra,,,,10733269.0,ns,3148706
matrix3 determinant,nalgebra,,,,11677008.0,ns,3434952
matrix3 determinant,nalgebra,,,,12637141.0,ns,3721198
matrix3 determinant,nalgebra,,,,13596793.0,ns,4007444
matrix3 determinant,nalgebra,,,,14620955.0,ns,4293690
matrix3 determinant,nalgebra,,,,15525976.0,ns,4579936
matrix3 determinant,nalgebra,,,,16514223.0,ns,4866182
matrix3 determinant,nalgebra,,,,17478148.0,ns,5152428
matrix3 determinant,nalgebra,,,,18439897.0,ns,5438674
matrix3 determinant,nalgebra,,,,19459576.0,ns,5724920
matrix3 determinant,nalgebra,,,,20333417.0,ns,6011166
matrix3 determinant,nalgebra,,,,21463455.0,ns,6297412
matrix3 determinant,nalgebra,,,,22260034.0,ns,6583658
matrix3 determinant,nalgebra,,,,23456159.0,ns,6869904
matrix3 determinant,nalgebra,,,,24271900.0,ns,7156150
matrix3 determinant,nalgebra,,,,25177523.0,ns,7442396
matrix3 determinant,nalgebra,,,,26127648.0,ns,7728642
matrix3 determinant,nalgebra,,,,27117390.0,ns,8014888
matrix3 determinant,nalgebra,,,,28096251.0,ns,8301134
matrix3 determinant,nalgebra,,,,28995544.0,ns,8587380
matrix3 determinant,nalgebra,,,,29960223.0,ns,8873626
matrix3 determinant,nalgebra,,,,31017881.0,ns,9159872
matrix3 determinant,nalgebra,,,,31948552.0,ns,9446118
matrix3 determinant,nalgebra,,,,32848385.0,ns,9732364
matrix3 determinant,nalgebra,,,,33901824.0,ns,10018610
matrix3 determinant,nalgebra,,,,34775358.0,ns,10304856
matrix3 determinant,nalgebra,,,,35735416.0,ns,10591102
matrix3 determinant,nalgebra,,,,36784653.0,ns,10877348
matrix3 determinant,nalgebra,,,,37692310.0,ns,11163594
matrix3 determinant,nalgebra,,,,38754591.0,ns,11449840
matrix3 determinant,nalgebra,,,,39608210.0,ns,11736086
matrix3 determinant,nalgebra,,,,40550102.0,ns,12022332
matrix3 determinant,nalgebra,,,,41596684.0,ns,12308578
matrix3 determinant,nalgebra,,,,42572498.0,ns,12594824
matrix3 determinant,nalgebra,,,,43550557.0,ns,12881070
matrix3 determinant,nalgebra,,,,44575514.0,ns,13167316
matrix3 determinant,nalgebra,,,,45600200.0,ns,13453562
matrix3 determinant,nalgebra,,,,46355150.0,ns,13739808
matrix3 determinant,nalgebra,,,,47389457.0,ns,14026054
matrix3 determinant,nalgebra,,,,48425637.0,ns,14312300
matrix3 determinant,nalgebra,,,,49230457.0,ns,14598546
matrix3 determinant,nalgebra,,,,50229170.0,ns,14884792
matrix3 determinant,nalgebra,,,,51251696.0,ns,15171038
matrix3 determinant,nalgebra,,,,52117568.0,ns,15457284
