group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 inverse,glam,,,,1113535.0,ns,109143
matrix3 inverse,glam,,,,2110433.0,ns,218286
matrix3 inverse,glam,,,,3098073.0,ns,327429
matrix3 inverse,glam,,,,4347960.0,ns,436572
matrix3 inverse,glam,,,,5108095.0,ns,545715
matrix3 inverse,glam,,,,6088040.0,ns,654858
matrix3 inverse,glam,,,,7488262.0,ns,764001
matrix3 inverse,glam,,,,8062446.0,ns,873144
matrix3 inverse,glam,,,,9193904.0,ns,982287
matrix3 inverse,glam,,,,10089466.0,ns,1091430
matrix3 inverse,glam,,,,11101722.0,ns,1200573
matrix3 inverse,glam,,,,12052601.0,ns,1309716
matrix3 inverse,glam,,,,13138733.0,ns,1418859
matrix3 inverse,glam,,,,14036477.0,ns,1528002
matrix3 inverse,glam,,,,15058147.0,ns,1637145
matrix3 inverse,glam,,,,16067221.0,ns,1746288
matrix3 inverse,glam,,,,17012505.0,ns,1855431
matrix3 inverse,glam,,,,18008113.0,ns,1964574
matrix3 inverse,glam,,,,19129036.0,ns,2073717
matrix3 inverse,glam,,,,20135069.0,ns,2182860
matrix3 inverse,glam,,,,20984734.0,ns,2292003
matrix3 inverse,glam,,,,21983274.0,ns,2401146
matrix3 inverse,glam,,,,23036879.0,ns,2510289
matrix3 inverse,glam,,,,24001676.0,ns,2619432
matrix3 inverse,glam,,,,24999840.0,ns,2728575
matrix3 inverse,glam,,,,25966744.0,ns,2837718
matrix3 inverse,glam,,,,26948857.0,ns,2946861
matrix3 inverse,glam,,,,27974282.0,ns,3056004
matrix3 inverse,glam,,,,29000012.0,ns,3165147
matrix3 inverse,glam,,,,29936209.0,ns,3274290
matrix3 inverse,glam,,,,31362782.0,ns,3383433
matrix3 inverse,glam,,,,31920841.0,ns,3492576
matrix3 inverse,glam,,,,32916358.0,ns,3601719
matrix3 inverse,glam,,,,34324765.0,ns,3710862
matrix3 inverse,glam,,,,35044981.0,ns,3820005
matrix3 inverse,glam,,,,35922787.0,ns,3929148
matrix3 inverse,glam,,,,36920762.0,ns,4038291
matrix3 inverse,glam,,,,38037347.0,ns,4147434
matrix3 inverse,glam,,,,38901856.0,ns,4256577
matrix3 inverse,glam,,,,40082055.0,ns,4365720
matrix3 inverse,glam,,,,40880857.0,ns,4474863
matrix3 inverse,glam,,,,41993268.0,ns,4584006
matrix3 inverse,glam,,,,42878716.0,ns,4693149
matrix3 inverse,glam,,,,44032602.0,ns,4802292
