group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 inverse,nalgebra,,,,1089510.0,ns,101352
matrix3 inverse,nalgebra,,,,2076615.0,ns,202704
matrix3 inverse,nalgebra,,,,3076272.0,ns,304056
matrix3 inverse,nalgebra,,,,4949563.0,ns,405408
matrix3 inverse,nalgebra,,,,5020526.0,ns,506760
matrix3 inverse,nalgebra,,,,6127231.0,ns,608112
matrix3 inverse,nalgebra,,,,8047479.0,ns,709464
matrix3 inverse,nalgebra,,,,7990054.0,ns,810816
matrix3 inverse,nalgebra,,,,8972911.0,ns,912168
matrix3 inverse,nalgebra,,,,9975965.0,ns,1013520
matrix3 inverse,nalgebra,,,,10936790.0,ns,1114872
matrix3 inverse,nalgebra,,,,11898721.0,ns,1216224
matrix3 inverse,nalgebra,,,,12944887.0,ns,1317576
matrix3 inverse,nalgebra,,,,13889129.0,ns,1418928
matrix3 inverse,nalgebra,,,,14920975.0,ns,1520280
matrix3 inverse,nalgebra,,,,15848518.0,ns,1621632
matrix3 inverse,nalgebra,,,,16873724.0,ns,1722984
matrix3 inverse,nalgebra,,,,17835373.0,ns,1824336
matrix3 inverse,nalgebra,,,,18798754.0,ns,1925688
matrix3 inverse,nalgebra,,,,19801531.0,ns,2027040
matrix3 inverse,nalgebra,,,,20784291.0,ns,2128392
matrix3 inverse,nalgebra,,,,21773824.0,ns,2229744
matrix3 inverse,nalgebra,,,,22729399.0,ns,2331096
matrix3 inverse,nalgebra,,,,23755264.0,ns,2432448
matrix3 inverse,nalgebra,,,,24755681.0,ns,2533800
matrix3 inverse,nalgebra,,,,25758333.0,ns,2635152
matrix3 inverse,nalgebra,,,,26710845.0,ns,2736504
matrix3 inverse,nalgebra,,,,27687227.0,ns,2837856
matrix3 inverse,nalgebra,,,,28686925.0,ns,2939208
matrix3 inverse,nalgebra,,,,29649493.0,ns,3040560
matrix3 inverse,nalgebra,,,,30654623.0,ns,3141912
matrix3 inverse,nalgebra,,,,31735126.0,ns,3243264
matrix3 inverse,nalgebra,,,,32597790.0,ns,3344616
matrix3 inverse,nalgebra,,,,34477883.0,ns,3445968
matrix3 inverse,nalgebra,,,,34676868.0,ns,3547320
matrix3 inverse,nalgebra,,,,35814149.0,ns,3648672
matrix3 inverse,nalgebra,,,,36573446.0,ns,3750024
matrix3 inverse,nalgebra,,,,37514900.0,ns,3851376
matrix3 inverse,nalgebra,,,,38501329.0,ns,3952728
matrix3 inverse,nalgebra,,,,39500953.0,ns,4054080
matrix3 inverse,nalgebra,,,,40485782.0,ns,4155432
matrix3 inverse,nalgebra,,,,41558483.0,ns,4256784
matrix3 inverse,nalgebra,,,,42452960.0,ns,4358136
matrix3 inverse,nalgebra,,,,43431983.0,ns,4459488
matrix3 inverse,nalgebra,,,,44472860.0,ns,4560840
matrix3 inverse,nalgebra,,,,45444132.0,ns,4662192
matrix3 inverse,nalgebra,,,,46452235.0,ns,4763544
matrix3 inverse,nalgebra,,,,47434234.0,ns,4864896
matrix3 inverse,nalgebra,,,,49130549.0,ns,4966248
matrix3 inverse,nalgebra,,,,49349755.0,ns,5067600
matrix3 inverse,nalgebra,,,,50478894.0,ns,5168952
matrix3 inverse,nalgebra,,,,51464208.0,ns,5270304
matrix3 inverse,nalgebra,,,,52416236.0,ns,5371656
matrix3 inverse,nalgebra,,,,53368482.0,ns,5473008
matrix3 inverse,nalgebra,,,,54397811.0,ns,5574360
matrix3 inverse,nalgebra,,,,55273635.0,ns,5675712
matrix3 inverse,nalgebra,,,,56305995.0,ns,5777064
matrix3 inverse,nalgebra,,,,57323994.0,ns,5878416
matrix3 inverse,nalgebra,,,,58212688.0,ns,5979768
matrix3 inverse,nalgebra,,,,59884472.0,ns,6081120
matrix3 inverse,nalgebra,,,,60155925.0,ns,6182472
matrix3 inverse,nalgebra,,,,61256842.0,ns,6283824
matrix3 inverse,nalgebra,,,,62198950.0,ns,6385176
matrix3 inverse,nalgebra,,,,63144009.0,ns,6486528
matrix3 inverse,nalgebra,,,,64264106.0,ns,6587880
matrix3 inverse,nalgebra,,,,65170110.0,ns,6689232
matrix3 inverse,nalgebra,,,,66291441.0,ns,6790584
matrix3 inverse,nalgebra,,,,67357657.0,ns,6891936
matrix3 inverse,nalgebra,,,,68748339.0,ns,6993288
matrix3 inverse,nalgebra,,,,68994561.0,ns,7094640
matrix3 inverse,nalgebra,,,,70174687.0,ns,7195992
matrix3 inverse,nalgebra,,,,71064542.0,ns,7297344
matrix3 inverse,nalgebra,,,,72026971.0,ns,7398696
matrix3 inverse,nalgebra,,,,72904854.0,ns,7500048
matrix3 inverse,nalgebra,,,,74063039.0,ns,7601400
matrix3 inverse,nalgebra,,,,75031633.0,ns,7702752
matrix3 inverse,nalgebra,,,,76582678.0,ns,7804104
matrix3 inverse,nalgebra,,,,77211738.0,ns,7905456
matrix3 inverse,nalgebra,,,,78211231.0,ns,8006808
matrix3 inverse,nalgebra,,,,78956159.0,ns,8108160
matrix3 inverse,nalgebra,,,,80027653.0,ns,8209512
matrix3 inverse,nalgebra,,,,81153321.0,ns,8310864
matrix3 inverse,nalgebra,,,,81802067.0,ns,8412216
matrix3 inverse,nalgebra,,,,82957102.0,ns,8513568
matrix3 inverse,nalgebra,,,,84472375.0,ns,8614920
matrix3 inverse,nalgebra,,,,84819562.0,ns,8716272
matrix3 inverse,nalgebra,,,,85804629.0,ns,8817624
matrix3 inverse,nalgebra,,,,87002328.0,ns,8918976
matrix3 inverse,nalgebra,,,,87774566.0,ns,9020328
matrix3 inverse,nalgebra,,,,95279488.0,ns,9121680
matrix3 inverse,nalgebra,,,,89732392.0,ns,9223032
matrix3 inverse,nalgebra,,,,91340566.0,ns,9324384
matrix3 inverse,nalgebra,,,,91820079.0,ns,9425736
matrix3 inverse,nalgebra,,,,92695447.0,ns,9527088
matrix3 inverse,nalgebra,,,,93768772.0,ns,9628440
matrix3 inverse,nalgebra,,,,94870762.0,ns,9729792
matrix3 inverse,nalgebra,,,,95627734.0,ns,9831144
matrix3 inverse,nalgebra,,,,97246308.0,ns,9932496
matrix3 inverse,nalgebra,,,,97646414.0,ns,10033848
matrix3 inverse,nalgebra,,,,98601165.0,ns,10135200
