group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 return self,nalgebra,,,,1085450.0,ns,202512
matrix3 return self,nalgebra,,,,2067851.0,ns,405024
matrix3 return self,nalgebra,,,,3050996.0,ns,607536
matrix3 return self,nalgebra,,,,4150768.0,ns,810048
matrix3 return self,nalgebra,,,,4991690.0,ns,1012560
matrix3 return self,nalgebra,,,,5971869.0,ns,1215072
matrix3 return self,nalgebra,,,,6948154.0,ns,1417584
matrix3 return self,nalgebra,,,,7923667.0,ns,1620096
matrix3 return self,nalgebra,,,,8899364.0,ns,1822608
matrix3 return self,nalgebra,,,,9932410.0,ns,2025120
matrix3 return self,nalgebra,,,,10855054.0,ns,2227632
matrix3 return self,nalgebra,,,,11870043.0,ns,2430144
matrix3 return self,nalgebra,,,,12805584.0,ns,2632656
matrix3 return self,nalgebra,,,,13801278.0,ns,2835168
matrix3 return self,nalgebra,,,,14766715.0,ns,3037680
matrix3 return self,nalgebra,,,,15757256.0,ns,3240192
matrix3 return self,nalgebra,,,,16730292.0,ns,3442704
matrix3 return self,nalgebra,,,,17707520.0,ns,3645216
matrix3 return self,nalgebra,,,,18666652.0,ns,3847728
matrix3 return self,nalgebra,,,,19686141.0,ns,4050240
matrix3 return self,nalgebra,,,,20621988.0,ns,4252752
matrix3 return self,nalgebra,,,,21625643.0,ns,4455264
matrix3 return self,nalgebra,,,,22589935.0,ns,4657776
matrix3 return self,nalgebra,,,,23593343.0,ns,4860288
matrix3 return self,nalgebra,,,,24526059.0,ns,5062800
matrix3 return self,nalgebra,,,,25546759.0,ns,5265312
matrix3 return self,nalgebra,,,,26506208.0,ns,5467824
matrix3 return self,nalgebra,,,,27479972.0,ns,5670336
matrix3 return self,nalgebra,,,,28432427.0,ns,5872848
matrix3 return self,nalgebra,,,,29425339.0,ns,6075360
matrix3 return self,nalgebra,,,,30396720.0,ns,6277872
matrix3 return self,nalgebra,,,,31407513.0,ns,6480384
matrix3 return self,nalgebra,,,,32459250.0,ns,6682896
matrix3 return self,nalgebra,,,,33413936.0,ns,6885408
matrix3 return self,nalgebra,,,,34294518.0,ns,7087920
matrix3 return self,nalgebra,,,,35295095.0,ns,7290432
matrix3 return self,nalgebra,,,,36283248.0,ns,7492944
matrix3 return self,nalgebra,,,,37216635.0,ns,7695456
matrix3 return self,nalgebra,,,,38256538.0,ns,7897968
matrix3 return self,nalgebra,,,,39175591.0,ns,8100480
matrix3 return self,nalgebra,,,,40161086.0,ns,8302992
matrix3 return self,nalgebra,,,,41263165.0,ns,8505504
matrix3 return self,nalgebra,,,,42118901.0,ns,8708016
matrix3 return self,nalgebra,,,,43525508.0,ns,8910528
matrix3 return self,nalgebra,,,,44061993.0,ns,9113040
matrix3 return self,nalgebra,,,,45161077.0,ns,9315552
matrix3 return self,nalgebra,,,,46300016.0,ns,9518064
matrix3 return self,nalgebra,,,,47084501.0,ns,9720576
matrix3 return self,nalgebra,,,,48020757.0,ns,9923088
matrix3 return self,nalgebra,,,,48986007.0,ns,10125600
matrix3 return self,nalgebra,,,,49923785.0,ns,10328112
matrix3 return self,nalgebra,,,,50975567.0,ns,10530624
matrix3 return self,nalgebra,,,,51931253.0,ns,10733136
matrix3 return self,nalgebra,,,,52869963.0,ns,10935648
matrix3 return self,nalgebra,,,,53832646.0,ns,11138160
matrix3 return self,nalgebra,,,,54882315.0,ns,11340672
matrix3 return self,nalgebra,,,,55757546.0,ns,11543184
matrix3 return self,nalgebra,,,,56786568.0,ns,11745696
matrix3 return self,nalgebra,,,,57801938.0,ns,11948208
matrix3 return self,nalgebra,,,,58716030.0,ns,12150720
matrix3 return self,nalgebra,,,,59707404.0,ns,12353232
matrix3 return self,nalgebra,,,,60716951.0,ns,12555744
matrix3 return self,nalgebra,,,,61664051.0,ns,12758256
matrix3 return self,nalgebra,,,,62635621.0,ns,12960768
matrix3 return self,nalgebra,,,,63705733.0,ns,13163280
matrix3 return self,nalgebra,,,,64626900.0,ns,13365792
matrix3 return self,nalgebra,,,,65575524.0,ns,13568304
matrix3 return self,nalgebra,,,,66584619.0,ns,13770816
matrix3 return self,nalgebra,,,,67753921.0,ns,13973328
matrix3 return self,nalgebra,,,,68508455.0,ns,14175840
matrix3 return self,nalgebra,,,,69458440.0,ns,14378352
matrix3 return self,nalgebra,,,,70538729.0,ns,14580864
matrix3 return self,nalgebra,,,,71422709.0,ns,14783376
matrix3 return self,nalgebra,,,,72461555.0,ns,14985888
matrix3 return self,nalgebra,,,,73388659.0,ns,15188400
matrix3 return self,nalgebra,,,,74362287.0,ns,15390912
matrix3 return self,nalgebra,,,,75400666.0,ns,15593424
matrix3 return self,nalgebra,,,,76378652.0,ns,15795936
matrix3 return self,nalgebra,,,,77485915.0,ns,15998448
matrix3 return self,nalgebra,,,,78571214.0,ns,16200960
matrix3 return self,nalgebra,,,,79363347.0,ns,16403472
matrix3 return self,nalgebra,,,,80332112.0,ns,16605984
matrix3 return self,nalgebra,,,,81276698.0,ns,16808496
matrix3 return self,nalgebra,,,,82142337.0,ns,17011008
matrix3 return self,nalgebra,,,,83228448.0,ns,17213520
matrix3 return self,nalgebra,,,,84187346.0,ns,17416032
matrix3 return self,nalgebra,,,,85185804.0,ns,17618544
matrix3 return self,nalgebra,,,,86085490.0,ns,17821056
matrix3 return self,nalgebra,,,,87074703.0,ns,18023568
matrix3 return self,nalgebra,,,,87995187.0,ns,18226080
matrix3 return self,nalgebra,,,,89097507.0,ns,18428592
matrix3 return self,nalgebra,,,,90029505.0,ns,18631104
matrix3 return self,nalgebra,,,,90958760.0,ns,18833616
matrix3 return self,nalgebra,,,,92102644.0,ns,19036128
matrix3 return self,nalgebra,,,,92992846.0,ns,19238640
matrix3 return self,nalgebra,,,,93955442.0,ns,19441152
matrix3 return self,nalgebra,,,,94952769.0,ns,19643664
matrix3 return self,nalgebra,,,,95911218.0,ns,19846176
matrix3 return self,nalgebra,,,,96873149.0,ns,20048688
matrix3 return self,nalgebra,,,,97902065.0,ns,20251200
