group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 determinant,vek,,,,1111962.0,ns,55901
matrix4 determinant,vek,,,,2092143.0,ns,111802
matrix4 determinant,vek,,,,3069075.0,ns,167703
matrix4 determinant,vek,,,,4056333.0,ns,223604
matrix4 determinant,vek,,,,5036291.0,ns,279505
matrix4 determinant,vek,,,,6043056.0,ns,335406
matrix4 determinant,vek,,,,7041580.0,ns,391307
matrix4 determinant,vek,,,,7982448.0,ns,447208
matrix4 determinant,vek,,,,8979581.0,ns,503109
matrix4 determinant,vek,,,,9965539.0,ns,559010
matrix4 determinant,vek,,,,10928251.0,ns,614911
matrix4 determinant,vek,,,,11910231.0,ns,670812
matrix4 determinant,vek,,,,12890014.0,ns,726713
matrix4 determinant,vek,,,,13875142.0,ns,782614
matrix4 determinant,vek,,,,14874059.0,ns,838515
matrix4 determinant,vek,,,,15889849.0,ns,894416
matrix4 determinant,vek,,,,16822690.0,ns,950317
matrix4 determinant,vek,,,,17827304.0,ns,1006218
matrix4 determinant,vek,,,,18865290.0,ns,1062119
matrix4 determinant,vek,,,,19768876.0,ns,1118020
matrix4 determinant,vek,,,,20816988.0,ns,1173921
matrix4 determinant,vek,,,,21733084.0,ns,1229822
matrix4 determinant,vek,,,,22712762.0,ns,1285723
matrix4 determinant,vek,,,,23715098.0,ns,1341624
matrix4 determinant,vek,,,,24717037.0,ns,1397525
matrix4 determinant,vek,,,,25668393.0,ns,1453426
matrix4 determinant,vek,,,,26685194.0,ns,1509327
matrix4 determinant,vek,,,,27684937.0,ns,1565228
matrix4 determinant,vek,,,,28705292.0,ns,1621129
matrix4 determinant,vek,,,,29585225.0,ns,1677030
matrix4 determinant,vek,,,,30575110.0,ns,1732931
matrix4 determinant,vek,,,,31589489.0,ns,1788832
matrix4 determinant,vek,,,,32552978.0,ns,1844733
matrix4 determinant,vek,,,,33563262.0,ns,1900634
matrix4 determinant,vek,,,,34558671.0,ns,1956535
matrix4 determinant,vek,,,,35476755.0,ns,2012436
matrix4 determinant,vek,,,,36487847.0,ns,2068337
matrix4 determinant,vek,,,,37530372.0,ns,2124238
matrix4 determinant,vek,,,,38441026.0,ns,2180139
matrix4 determinant,vek,,,,39472504.0,ns,2236040
matrix4 determinant,vek,,,,40483222.0,ns,2291941
matrix4 determinant,vek,,,,41368175.0,ns,2347842
matrix4 determinant,vek,,,,42405574.0,ns,2403743
matrix4 determinant,vek,,,,43359907.0,ns,2459644
matrix4 determinant,vek,,,,44374928.0,ns,2515545
matrix4 determinant,vek,,,,45296174.0,ns,2571446
matrix4 determinant,vek,,,,50569940.0,ns,2627347
matrix4 determinant,vek,,,,47304263.0,ns,2683248
matrix4 determinant,vek,,,,48308769.0,ns,2739149
matrix4 determinant,vek,,,,49247579.0,ns,2795050
matrix4 determinant,vek,,,,50258384.0,ns,2850951
matrix4 determinant,vek,,,,51279522.0,ns,2906852
matrix4 determinant,vek,,,,52237710.0,ns,2962753
matrix4 determinant,vek,,,,53149879.0,ns,3018654
matrix4 determinant,vek,,,,54195970.0,ns,3074555
matrix4 determinant,vek,,,,55164132.0,ns,3130456
matrix4 determinant,vek,,,,56173299.0,ns,3186357
matrix4 determinant,vek,,,,57142638.0,ns,3242258
matrix4 determinant,vek,,,,58110851.0,ns,3298159
matrix4 determinant,vek,,,,59133496.0,ns,3354060
matrix4 determinant,vek,,,,60131172.0,ns,3409961
matrix4 determinant,vek,,,,61071011.0,ns,3465862
matrix4 determinant,vek,,,,62075838.0,ns,3521763
matrix4 determinant,vek,,,,62975697.0,ns,3577664
matrix4 determinant,vek,,,,64030495.0,ns,3633565
matrix4 determinant,vek,,,,65066555.0,ns,3689466
matrix4 determinant,vek,,,,66015452.0,ns,3745367
matrix4 determinant,vek,,,,67018404.0,ns,3801268
matrix4 determinant,vek,,,,68158019.0,ns,3857169
matrix4 determinant,vek,,,,68867076.0,ns,3913070
matrix4 determinant,vek,,,,69908571.0,ns,3968971
matrix4 determinant,vek,,,,70939986.0,ns,4024872
matrix4 determinant,vek,,,,71842017.0,ns,4080773
matrix4 determinant,vek,,,,72841254.0,ns,4136674
matrix4 determinant,vek,,,,73956837.0,ns,4192575
matrix4 determinant,vek,,,,74807641.0,ns,4248476
matrix4 determinant,vek,,,,75767011.0,ns,4304377
matrix4 determinant,vek,,,,76772120.0,ns,4360278
matrix4 determinant,vek,,,,77788851.0,ns,4416179
matrix4 determinant,vek,,,,78769851.0,ns,4472080
matrix4 determinant,vek,,,,79713178.0,ns,4527981
matrix4 determinant,vek,,,,80729422.0,ns,4583882
matrix4 determinant,vek,,,,81674928.0,ns,4639783
matrix4 determinant,vek,,,,82757780.0,ns,4695684
matrix4 determinant,vek,,,,83636543.0,ns,4751585
matrix4 determinant,vek,,,,84676219.0,ns,4807486
matrix4 determinant,vek,,,,85876623.0,ns,4863387
matrix4 determinant,vek,,,,86816515.0,ns,4919288
matrix4 determinant,vek,,,,87558098.0,ns,4975189
matrix4 determinant,vek,,,,88588718.0,ns,5031090
matrix4 determinant,vek,,,,89593606.0,ns,5086991
matrix4 determinant,vek,,,,90588988.0,ns,5142892
matrix4 determinant,vek,,,,91896919.0,ns,5198793
matrix4 determinant,vek,,,,92650287.0,ns,5254694
matrix4 determinant,vek,,,,93509155.0,ns,5310595
matrix4 determinant,vek,,,,94496500.0,ns,5366496
matrix4 determinant,vek,,,,95468082.0,ns,5422397
matrix4 determinant,vek,,,,96563433.0,ns,5478298
matrix4 determinant,vek,,,,97462059.0,ns,5534199
matrix4 determinant,vek,,,,98455780.0,ns,5590100
