group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quaternion mul quaternion,cgmath,,,,1094442.0,ns,219484
quaternion mul quaternion,cgmath,,,,2055871.0,ns,438968
quaternion mul quaternion,cgmath,,,,3018935.0,ns,658452
quaternion mul quaternion,cgmath,,,,3989803.0,ns,877936
quaternion mul quaternion,cgmath,,,,4957979.0,ns,1097420
quaternion mul quaternion,cgmath,,,,5961627.0,ns,1316904
quaternion mul quaternion,cgmath,,,,6927249.0,ns,1536388
quaternion mul quaternion,cgmath,,,,7851224.0,ns,1755872
quaternion mul quaternion,cgmath,,,,8814022.0,ns,1975356
quaternion mul quaternion,cgmath,,,,9902530.0,ns,2194840
quaternion mul quaternion,cgmath,,,,10748272.0,ns,2414324
quaternion mul quaternion,cgmath,,,,11711335.0,ns,2633808
quaternion mul quaternion,cgmath,,,,12720360.0,ns,2853292
quaternion mul quaternion,cgmath,,,,13643446.0,ns,3072776
quaternion mul quaternion,cgmath,,,,14611057.0,ns,3292260
quaternion mul quaternion,cgmath,,,,15580166.0,ns,3511744
quaternion mul quaternion,cgmath,,,,16639992.0,ns,3731228
quaternion mul quaternion,cgmath,,,,17512867.0,ns,3950712
quaternion mul quaternion,cgmath,,,,18496734.0,ns,4170196
quaternion mul quaternion,cgmath,,,,19437345.0,ns,4389680
quaternion mul quaternion,cgmath,,,,20404768.0,ns,4609164
quaternion mul quaternion,cgmath,,,,21451148.0,ns,4828648
quaternion mul quaternion,cgmath,,,,22379889.0,ns,5048132
quaternion mul quaternion,cgmath,,,,23303497.0,ns,5267616
quaternion mul quaternion,cgmath,,,,24287916.0,ns,5487100
quaternion mul quaternion,cgmath,,,,25325912.0,ns,5706584
quaternion mul quaternion,cgmath,,,,26235878.0,ns,5926068
quaternion mul quaternion,cgmath,,,,27163624.0,ns,6145552
quaternion mul quaternion,cgmath,,,,28125685.0,ns,6365036
quaternion mul quaternion,cgmath,,,,29188253.0,ns,6584520
quaternion mul quaternion,cgmath,,,,30058628.0,ns,6804004
quaternion mul quaternion,cgmath,,,,31030183.0,ns,7023488
quaternion mul quaternion,cgmath,,,,32075626.0,ns,7242972
quaternion mul quaternion,cgmath,,,,33018742.0,ns,7462456
quaternion mul quaternion,cgmath,,,,33919265.0,ns,7681940
quaternion mul quaternion,cgmath,,,,34969391.0,ns,7901424
quaternion mul quaternion,cgmath,,,,35854862.0,ns,8120908
quaternion mul quaternion,cgmath,,,,36817801.0,ns,8340392
quaternion mul quaternion,cgmath,,,,37915808.0,ns,8559876
quaternion mul quaternion,cgmath,,,,38748889.0,ns,8779360
quaternion mul quaternion,cgmath,,,,39791663.0,ns,8998844
quaternion mul quaternion,cgmath,,,,40700586.0,ns,9218328
quaternion mul quaternion,cgmath,,,,41725034.0,ns,9437812
quaternion mul quaternion,cgmath,,,,42691363.0,ns,9657296
quaternion mul quaternion,cgmath,,,,43599718.0,ns,9876780
