group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quaternion mul quaternion,glam,,,,1103929.0,ns,287265
quaternion mul quaternion,glam,,,,2080677.0,ns,574530
quaternion mul quaternion,glam,,,,3060158.0,ns,861795
quaternion mul quaternion,glam,,,,4037027.0,ns,1149060
quaternion mul quaternion,glam,,,,5015169.0,ns,1436325
quaternion mul quaternion,glam,,,,6015254.0,ns,1723590
quaternion mul quaternion,glam,,,,6977390.0,ns,2010855
quaternion mul quaternion,glam,,,,7952157.0,ns,2298120
quaternion mul quaternion,glam,,,,8946937.0,ns,2585385
quaternion mul quaternion,glam,,,,9926955.0,ns,2872650
quaternion mul quaternion,glam,,,,10911155.0,ns,3159915
quaternion mul quaternion,glam,,,,11920727.0,ns,3447180
quaternion mul quaternion,glam,,,,12856211.0,ns,3734445
quaternion mul quaternion,glam,,,,13830271.0,ns,4021710
quaternion mul quaternion,glam,,,,14806775.0,ns,4308975
quaternion mul quaternion,glam,,,,15773587.0,ns,4596240
quaternion mul quaternion,glam,,,,16798982.0,ns,4883505
quaternion mul quaternion,glam,,,,17763983.0,ns,5170770
quaternion mul quaternion,glam,,,,18723323.0,ns,5458035
quaternion mul quaternion,glam,,,,19815843.0,ns,5745300
quaternion mul quaternion,glam,,,,20679293.0,ns,6032565
quaternion mul quaternion,glam,,,,21671291.0,ns,6319830
quaternion mul quaternion,glam,,,,22774332.0,ns,6607095
quaternion mul quaternion,glam,,,,23819119.0,ns,6894360
quaternion mul quaternion,glam,,,,24701091.0,ns,7181625
quaternion mul quaternion,glam,,,,25621659.0,ns,7468890
quaternion mul quaternion,glam,,,,26570931.0,ns,7756155
quaternion mul quaternion,glam,,,,27542676.0,ns,8043420
quaternion mul quaternion,glam,,,,28519522.0,ns,8330685
quaternion mul quaternion,glam,,,,29516066.0,ns,8617950
quaternion mul quaternion,glam,,,,30675471.0,ns,8905215
quaternion mul quaternion,glam,,,,31462904.0,ns,9192480
quaternion mul quaternion,glam,,,,32571992.0,ns,9479745
quaternion mul quaternion,glam,,,,33732141.0,ns,9767010
quaternion mul quaternion,glam,,,,34420990.0,ns,10054275
quaternion mul quaternion,glam,,,,35400388.0,ns,10341540
quaternion mul quaternion,glam,,,,36324331.0,ns,10628805
quaternion mul quaternion,glam,,,,37334859.0,ns,10916070
