group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quaternion mul quaternion,nalgebra,,,,1105859.0,ns,211489
quaternion mul quaternion,nalgebra,,,,2087531.0,ns,422978
quaternion mul quaternion,nalgebra,,,,3069240.0,ns,634467
quaternion mul quaternion,nalgebra,,,,4050412.0,ns,845956
quaternion mul quaternion,nalgebra,,,,5032193.0,ns,1057445
quaternion mul quaternion,nalgebra,,,,6039129.0,ns,1268934
quaternion mul quaternion,nalgebra,,,,7018867.0,ns,1480423
quaternion mul quaternion,nalgebra,,,,7977512.0,ns,1691912
quaternion mul quaternion,nalgebra,,,,8960381.0,ns,1903401
quaternion mul quaternion,nalgebra,,,,9998941.0,ns,2114890
quaternion mul quaternion,nalgebra,,,,10941771.0,ns,2326379
quaternion mul quaternion,nalgebra,,,,11909378.0,ns,2537868
quaternion mul quaternion,nalgebra,,,,12905908.0,ns,2749357
quaternion mul quaternion,nalgebra,,,,13871051.0,ns,2960846
quaternion mul quaternion,nalgebra,,,,14853587.0,ns,3172335
quaternion mul quaternion,nalgebra,,,,15836530.0,ns,3383824
quaternion mul quaternion,nalgebra,,,,16918253.0,ns,3595313
quaternion mul quaternion,nalgebra,,,,17800782.0,ns,3806802
quaternion mul quaternion,nalgebra,,,,18780931.0,ns,4018291
quaternion mul quaternion,nalgebra,,,,19769187.0,ns,4229780
quaternion mul quaternion,nalgebra,,,,20821579.0,ns,4441269
quaternion mul quaternion,nalgebra,,,,21830616.0,ns,4652758
quaternion mul quaternion,nalgebra,,,,22730102.0,ns,4864247
quaternion mul quaternion,nalgebra,,,,23711135.0,ns,5075736
quaternion mul quaternion,nalgebra,,,,24701975.0,ns,5287225
quaternion mul quaternion,nalgebra,,,,25737948.0,ns,5498714
quaternion mul quaternion,nalgebra,,,,26638563.0,ns,5710203
quaternion mul quaternion,nalgebra,,,,27690395.0,ns,5921692
quaternion mul quaternion,nalgebra,,,,28598764.0,ns,6133181
quaternion mul quaternion,nalgebra,,,,29650071.0,ns,6344670
quaternion mul quaternion,nalgebra,,,,30650354.0,ns,6556159
quaternion mul quaternion,nalgebra,,,,31785542.0,ns,6767648
quaternion mul quaternion,nalgebra,,,,32606938.0,ns,6979137
quaternion mul quaternion,nalgebra,,,,33601333.0,ns,7190626
quaternion mul quaternion,nalgebra,,,,34528012.0,ns,7402115
quaternion mul quaternion,nalgebra,,,,35594086.0,ns,7613604
quaternion mul quaternion,nalgebra,,,,36460349.0,ns,7825093
quaternion mul quaternion,nalgebra,,,,37476280.0,ns,8036582
quaternion mul quaternion,nalgebra,,,,38451888.0,ns,8248071
quaternion mul quaternion,nalgebra,,,,39404158.0,ns,8459560
quaternion mul quaternion,nalgebra,,,,40464631.0,ns,8671049
quaternion mul quaternion,nalgebra,,,,41400761.0,ns,8882538
quaternion mul quaternion,nalgebra,,,,42403563.0,ns,9094027
