group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quaternion mul vector3,glam,,1,elements,994666.0,ns,154787
quaternion mul vector3,glam,,1,elements,1896272.0,ns,309574
quaternion mul vector3,glam,,1,elements,2769999.0,ns,464361
quaternion mul vector3,glam,,1,elements,3708682.0,ns,619148
quaternion mul vector3,glam,,1,elements,4529703.0,ns,773935
quaternion mul vector3,glam,,1,elements,5407737.0,ns,928722
quaternion mul vector3,glam,,1,elements,6349659.0,ns,1083509
quaternion mul vector3,glam,,1,elements,7171443.0,ns,1238296
quaternion mul vector3,glam,,1,elements,8035514.0,ns,1393083
quaternion mul vector3,glam,,1,elements,8950285.0,ns,1547870
quaternion mul vector3,glam,,1,elements,9831093.0,ns,1702657
quaternion mul vector3,glam,,1,elements,10686154.0,ns,1857444
quaternion mul vector3,glam,,1,elements,11565077.0,ns,2012231
quaternion mul vector3,glam,,1,elements,12513245.0,ns,2167018
quaternion mul vector3,glam,,1,elements,13326879.0,ns,2321805
quaternion mul vector3,glam,,1,elements,16717853.0,ns,2476592
quaternion mul vector3,glam,,1,elements,20615249.0,ns,2631379
quaternion mul vector3,glam,,1,elements,21802911.0,ns,2786166
quaternion mul vector3,glam,,1,elements,23041241.0,ns,2940953
quaternion mul vector3,glam,,1,elements,24223376.0,ns,3095740
quaternion mul vector3,glam,,1,elements,25408538.0,ns,3250527
quaternion mul vector3,glam,,1,elements,26603741.0,ns,3405314
quaternion mul vector3,glam,,1,elements,21640155.0,ns,3560101
quaternion mul vector3,glam,,1,elements,21247222.0,ns,3714888
quaternion mul vector3,glam,,1,elements,22141570.0,ns,3869675
quaternion mul vector3,glam,,1,elements,23021293.0,ns,4024462
quaternion mul vector3,glam,,1,elements,23885279.0,ns,4179249
quaternion mul vector3,glam,,1,elements,24755598.0,ns,4334036
quaternion mul vector3,glam,,1,elements,25643995.0,ns,4488823
quaternion mul vector3,glam,,1,elements,26501363.0,ns,4643610
quaternion mul vector3,glam,,1,elements,27478665.0,ns,4798397
quaternion mul vector3,glam,,1,elements,28277246.0,ns,4953184
quaternion mul vector3,glam,,1,elements,29145505.0,ns,5107971
quaternion mul vector3,glam,,1,elements,30059906.0,ns,5262758
quaternion mul vector3,glam,,1,elements,30982976.0,ns,5417545
quaternion mul vector3,glam,,1,elements,31815131.0,ns,5572332
quaternion mul vector3,glam,,1,elements,32701839.0,ns,5727119
quaternion mul vector3,glam,,1,elements,33617869.0,ns,5881906
quaternion mul vector3,glam,,1,elements,34461626.0,ns,6036693
quaternion mul vector3,glam,,1,elements,35372180.0,ns,6191480
quaternion mul vector3,glam,,1,elements,36372803.0,ns,6346267
quaternion mul vector3,glam,,1,elements,37089042.0,ns,6501054
quaternion mul vector3,glam,,1,elements,38032992.0,ns,6655841
quaternion mul vector3,glam,,1,elements,38882403.0,ns,6810628
quaternion mul vector3,glam,,1,elements,39707072.0,ns,6965415
quaternion mul vector3,glam,,1,elements,40713609.0,ns,7120202
quaternion mul vector3,glam,,1,elements,41507348.0,ns,7274989
quaternion mul vector3,glam,,1,elements,42474661.0,ns,7429776
quaternion mul vector3,glam,,1,elements,46838040.0,ns,7584563
quaternion mul vector3,glam,,1,elements,60357918.0,ns,7739350
quaternion mul vector3,glam,,1,elements,61498774.0,ns,7894137
quaternion mul vector3,glam,,1,elements,62929485.0,ns,8048924
quaternion mul vector3,glam,,1,elements,63964501.0,ns,8203711
quaternion mul vector3,glam,,1,elements,65137526.0,ns,8358498
quaternion mul vector3,glam,,1,elements,66464063.0,ns,8513285
quaternion mul vector3,glam,,1,elements,67632894.0,ns,8668072
quaternion mul vector3,glam,,1,elements,68787293.0,ns,8822859
quaternion mul vector3,glam,,1,elements,70024771.0,ns,8977646
quaternion mul vector3,glam,,1,elements,71202005.0,ns,9132433
quaternion mul vector3,glam,,1,elements,52688392.0,ns,9287220
quaternion mul vector3,glam,,1,elements,53499162.0,ns,9442007
quaternion mul vector3,glam,,1,elements,54680647.0,ns,9596794
quaternion mul vector3,glam,,1,elements,55686948.0,ns,9751581
quaternion mul vector3,glam,,1,elements,56542723.0,ns,9906368
quaternion mul vector3,glam,,1,elements,57336383.0,ns,10061155
quaternion mul vector3,glam,,1,elements,76409256.0,ns,10215942
quaternion mul vector3,glam,,1,elements,80839454.0,ns,10370729
quaternion mul vector3,glam,,1,elements,62217121.0,ns,10525516
quaternion mul vector3,glam,,1,elements,60859211.0,ns,10680303
quaternion mul vector3,glam,,1,elements,61794532.0,ns,10835090
quaternion mul vector3,glam,,1,elements,62596511.0,ns,10989877
quaternion mul vector3,glam,,1,elements,63546938.0,ns,11144664
quaternion mul vector3,glam,,1,elements,64464039.0,ns,11299451
quaternion mul vector3,glam,,1,elements,65263431.0,ns,11454238
quaternion mul vector3,glam,,1,elements,66174687.0,ns,11609025
quaternion mul vector3,glam,,1,elements,67162500.0,ns,11763812
quaternion mul vector3,glam,,1,elements,67900508.0,ns,11918599
quaternion mul vector3,glam,,1,elements,68846480.0,ns,12073386
quaternion mul vector3,glam,,1,elements,69739372.0,ns,12228173
quaternion mul vector3,glam,,1,elements,70542971.0,ns,12382960
quaternion mul vector3,glam,,1,elements,71578314.0,ns,12537747
