group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quaternion return self,vek,,,,1112788.0,ns,379486
quaternion return self,vek,,,,2098891.0,ns,758972
quaternion return self,vek,,,,3086348.0,ns,1138458
quaternion return self,vek,,,,4308582.0,ns,1517944
quaternion return self,vek,,,,5061289.0,ns,1897430
quaternion return self,vek,,,,6075758.0,ns,2276916
quaternion return self,vek,,,,7035717.0,ns,2656402
quaternion return self,vek,,,,8019703.0,ns,3035888
quaternion return self,vek,,,,8999834.0,ns,3415374
quaternion return self,vek,,,,10006629.0,ns,3794860
quaternion return self,vek,,,,10975508.0,ns,4174346
quaternion return self,vek,,,,11981724.0,ns,4553832
quaternion return self,vek,,,,12944966.0,ns,4933318
quaternion return self,vek,,,,13935767.0,ns,5312804
quaternion return self,vek,,,,14940691.0,ns,5692290
quaternion return self,vek,,,,15903056.0,ns,6071776
quaternion return self,vek,,,,16896965.0,ns,6451262
quaternion return self,vek,,,,17878286.0,ns,6830748
quaternion return self,vek,,,,18863988.0,ns,7210234
quaternion return self,vek,,,,19874515.0,ns,7589720
quaternion return self,vek,,,,20834828.0,ns,7969206
quaternion return self,vek,,,,21823141.0,ns,8348692
quaternion return self,vek,,,,22811833.0,ns,8728178
quaternion return self,vek,,,,23793606.0,ns,9107664
quaternion return self,vek,,,,24780471.0,ns,9487150
quaternion return self,vek,,,,25817800.0,ns,9866636
quaternion return self,vek,,,,26756104.0,ns,10246122
quaternion return self,vek,,,,27768597.0,ns,10625608
quaternion return self,vek,,,,28768174.0,ns,11005094
quaternion return self,vek,,,,29710088.0,ns,11384580
quaternion return self,vek,,,,30704282.0,ns,11764066
quaternion return self,vek,,,,31700609.0,ns,12143552
quaternion return self,vek,,,,32695431.0,ns,12523038
quaternion return self,vek,,,,33657613.0,ns,12902524
quaternion return self,vek,,,,34686765.0,ns,13282010
quaternion return self,vek,,,,35631517.0,ns,13661496
quaternion return self,vek,,,,36638684.0,ns,14040982
quaternion return self,vek,,,,37600900.0,ns,14420468
quaternion return self,vek,,,,38588734.0,ns,14799954
quaternion return self,vek,,,,39625151.0,ns,15179440
quaternion return self,vek,,,,40579087.0,ns,15558926
quaternion return self,vek,,,,41555382.0,ns,15938412
quaternion return self,vek,,,,42537621.0,ns,16317898
quaternion return self,vek,,,,43536702.0,ns,16697384
quaternion return self,vek,,,,44553803.0,ns,17076870
quaternion return self,vek,,,,45703651.0,ns,17456356
quaternion return self,vek,,,,46564102.0,ns,17835842
quaternion return self,vek,,,,47554439.0,ns,18215328
quaternion return self,vek,,,,48495838.0,ns,18594814
quaternion return self,vek,,,,49435035.0,ns,18974300
quaternion return self,vek,,,,50459546.0,ns,19353786
quaternion return self,vek,,,,51472236.0,ns,19733272
quaternion return self,vek,,,,52471803.0,ns,20112758
quaternion return self,vek,,,,53379317.0,ns,20492244
quaternion return self,vek,,,,54381875.0,ns,20871730
quaternion return self,vek,,,,55379404.0,ns,21251216
quaternion return self,vek,,,,56380007.0,ns,21630702
quaternion return self,vek,,,,57353660.0,ns,22010188
quaternion return self,vek,,,,58323570.0,ns,22389674
quaternion return self,vek,,,,59349870.0,ns,22769160
quaternion return self,vek,,,,60383929.0,ns,23148646
quaternion return self,vek,,,,61331752.0,ns,23528132
quaternion return self,vek,,,,62561131.0,ns,23907618
quaternion return self,vek,,,,63289270.0,ns,24287104
quaternion return self,vek,,,,64255753.0,ns,24666590
quaternion return self,vek,,,,65285777.0,ns,25046076
quaternion return self,vek,,,,66244059.0,ns,25425562
quaternion return self,vek,,,,67232843.0,ns,25805048
quaternion return self,vek,,,,68238028.0,ns,26184534
quaternion return self,vek,,,,69187444.0,ns,26564020
quaternion return self,vek,,,,70164248.0,ns,26943506
quaternion return self,vek,,,,71214541.0,ns,27322992
quaternion return self,vek,,,,72150830.0,ns,27702478
quaternion return self,vek,,,,73108637.0,ns,28081964
quaternion return self,vek,,,,74159700.0,ns,28461450
quaternion return self,vek,,,,75086554.0,ns,28840936
quaternion return self,vek,,,,76165103.0,ns,29220422
quaternion return self,vek,,,,77140444.0,ns,29599908
quaternion return self,vek,,,,78156590.0,ns,29979394
quaternion return self,vek,,,,79094206.0,ns,30358880
quaternion return self,vek,,,,80126005.0,ns,30738366
quaternion return self,vek,,,,81237071.0,ns,31117852
quaternion return self,vek,,,,82049768.0,ns,31497338
quaternion return self,vek,,,,83008944.0,ns,31876824
quaternion return self,vek,,,,84004462.0,ns,32256310
quaternion return self,vek,,,,84962811.0,ns,32635796
quaternion return self,vek,,,,85982362.0,ns,33015282
quaternion return self,vek,,,,86993531.0,ns,33394768
quaternion return self,vek,,,,87899906.0,ns,33774254
quaternion return self,vek,,,,88969998.0,ns,34153740
quaternion return self,vek,,,,89900026.0,ns,34533226
quaternion return self,vek,,,,90907631.0,ns,34912712
quaternion return self,vek,,,,91904496.0,ns,35292198
quaternion return self,vek,,,,92902811.0,ns,35671684
quaternion return self,vek,,,,93827235.0,ns,36051170
quaternion return self,vek,,,,94880355.0,ns,36430656
quaternion return self,vek,,,,95807352.0,ns,36810142
quaternion return self,vek,,,,96841608.0,ns,37189628
quaternion return self,vek,,,,97769034.0,ns,37569114
quaternion return self,vek,,,,98797253.0,ns,37948600
