group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point2,vek,100,100,elements,771790.0,ns,163
transform point2,vek,100,100,elements,1498645.0,ns,326
transform point2,vek,100,100,elements,2230271.0,ns,489
transform point2,vek,100,100,elements,2969472.0,ns,652
transform point2,vek,100,100,elements,3700622.0,ns,815
transform point2,vek,100,100,elements,4397268.0,ns,978
transform point2,vek,100,100,elements,5113449.0,ns,1141
transform point2,vek,100,100,elements,5848905.0,ns,1304
transform point2,vek,100,100,elements,6556628.0,ns,1467
transform point2,vek,100,100,elements,7291048.0,ns,1630
transform point2,vek,100,100,elements,8050839.0,ns,1793
transform point2,vek,100,100,elements,8761289.0,ns,1956
transform point2,vek,100,100,elements,9489495.0,ns,2119
transform point2,vek,100,100,elements,10284418.0,ns,2282
transform point2,vek,100,100,elements,10908633.0,ns,2445
transform point2,vek,100,100,elements,11648247.0,ns,2608
transform point2,vek,100,100,elements,12416941.0,ns,2771
transform point2,vek,100,100,elements,13128234.0,ns,2934
transform point2,vek,100,100,elements,13813790.0,ns,3097
transform point2,vek,100,100,elements,14629003.0,ns,3260
transform point2,vek,100,100,elements,15282084.0,ns,3423
transform point2,vek,100,100,elements,16023593.0,ns,3586
transform point2,vek,100,100,elements,16724084.0,ns,3749
transform point2,vek,100,100,elements,17494440.0,ns,3912
transform point2,vek,100,100,elements,18206990.0,ns,4075
transform point2,vek,100,100,elements,18919668.0,ns,4238
transform point2,vek,100,100,elements,19639754.0,ns,4401
transform point2,vek,100,100,elements,20418788.0,ns,4564
transform point2,vek,100,100,elements,21080123.0,ns,4727
transform point2,vek,100,100,elements,21864925.0,ns,4890
transform point2,vek,100,100,elements,22704792.0,ns,5053
transform point2,vek,100,100,elements,23292241.0,ns,5216
transform point2,vek,100,100,elements,24019170.0,ns,5379
transform point2,vek,100,100,elements,24780343.0,ns,5542
transform point2,vek,100,100,elements,25441353.0,ns,5705
transform point2,vek,100,100,elements,26210559.0,ns,5868
transform point2,vek,100,100,elements,26925933.0,ns,6031
transform point2,vek,100,100,elements,27615100.0,ns,6194
transform point2,vek,100,100,elements,28365028.0,ns,6357
transform point2,vek,100,100,elements,29075095.0,ns,6520
transform point2,vek,100,100,elements,29869654.0,ns,6683
transform point2,vek,100,100,elements,30513744.0,ns,6846
transform point2,vek,100,100,elements,31276301.0,ns,7009
transform point2,vek,100,100,elements,31980779.0,ns,7172
transform point2,vek,100,100,elements,32737631.0,ns,7335
transform point2,vek,100,100,elements,33450994.0,ns,7498
transform point2,vek,100,100,elements,34161872.0,ns,7661
transform point2,vek,100,100,elements,34903723.0,ns,7824
transform point2,vek,100,100,elements,35673547.0,ns,7987
transform point2,vek,100,100,elements,36363569.0,ns,8150
transform point2,vek,100,100,elements,37081400.0,ns,8313
transform point2,vek,100,100,elements,37776672.0,ns,8476
transform point2,vek,100,100,elements,38518210.0,ns,8639
transform point2,vek,100,100,elements,39291393.0,ns,8802
transform point2,vek,100,100,elements,39997688.0,ns,8965
transform point2,vek,100,100,elements,40709882.0,ns,9128
transform point2,vek,100,100,elements,41526801.0,ns,9291
transform point2,vek,100,100,elements,42127434.0,ns,9454
transform point2,vek,100,100,elements,42904098.0,ns,9617
transform point2,vek,100,100,elements,43605144.0,ns,9780
transform point2,vek,100,100,elements,44435313.0,ns,9943
transform point2,vek,100,100,elements,45054176.0,ns,10106
transform point2,vek,100,100,elements,45798626.0,ns,10269
transform point2,vek,100,100,elements,46521847.0,ns,10432
transform point2,vek,100,100,elements,47260372.0,ns,10595
transform point2,vek,100,100,elements,47969924.0,ns,10758
transform point2,vek,100,100,elements,49388400.0,ns,10921
transform point2,vek,100,100,elements,49438223.0,ns,11084
transform point2,vek,100,100,elements,50106469.0,ns,11247
transform point2,vek,100,100,elements,50894092.0,ns,11410
transform point2,vek,100,100,elements,51586909.0,ns,11573
transform point2,vek,100,100,elements,52349100.0,ns,11736
transform point2,vek,100,100,elements,53057692.0,ns,11899
transform point2,vek,100,100,elements,53880768.0,ns,12062
transform point2,vek,100,100,elements,54496425.0,ns,12225
transform point2,vek,100,100,elements,55238248.0,ns,12388
transform point2,vek,100,100,elements,55916651.0,ns,12551
transform point2,vek,100,100,elements,56910252.0,ns,12714
transform point2,vek,100,100,elements,57387215.0,ns,12877
transform point2,vek,100,100,elements,58150544.0,ns,13040
transform point2,vek,100,100,elements,58839835.0,ns,13203
transform point2,vek,100,100,elements,59584486.0,ns,13366
transform point2,vek,100,100,elements,60320977.0,ns,13529
transform point2,vek,100,100,elements,61040338.0,ns,13692
transform point2,vek,100,100,elements,61767275.0,ns,13855
transform point2,vek,100,100,elements,62478330.0,ns,14018
transform point2,vek,100,100,elements,63195244.0,ns,14181
transform point2,vek,100,100,elements,64036855.0,ns,14344
transform point2,vek,100,100,elements,64674527.0,ns,14507
transform point2,vek,100,100,elements,65441595.0,ns,14670
transform point2,vek,100,100,elements,66172720.0,ns,14833
transform point2,vek,100,100,elements,66967569.0,ns,14996
transform point2,vek,100,100,elements,67590223.0,ns,15159
transform point2,vek,100,100,elements,68404448.0,ns,15322
transform point2,vek,100,100,elements,69077646.0,ns,15485
transform point2,vek,100,100,elements,69733638.0,ns,15648
transform point2,vek,100,100,elements,70571664.0,ns,15811
transform point2,vek,100,100,elements,71236069.0,ns,15974
transform point2,vek,100,100,elements,72054725.0,ns,16137
transform point2,vek,100,100,elements,72908168.0,ns,16300
