group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point3,euclid,100,100,elements,481795.0,ns,561
transform point3,euclid,100,100,elements,968186.0,ns,1122
transform point3,euclid,100,100,elements,1321372.0,ns,1683
transform point3,euclid,100,100,elements,1719099.0,ns,2244
transform point3,euclid,100,100,elements,2283790.0,ns,2805
transform point3,euclid,100,100,elements,2583947.0,ns,3366
transform point3,euclid,100,100,elements,2918334.0,ns,3927
transform point3,euclid,100,100,elements,3368837.0,ns,4488
transform point3,euclid,100,100,elements,3731423.0,ns,5049
transform point3,euclid,100,100,elements,4229504.0,ns,5610
transform point3,euclid,100,100,elements,4544942.0,ns,6171
transform point3,euclid,100,100,elements,5017957.0,ns,6732
transform point3,euclid,100,100,elements,5401461.0,ns,7293
transform point3,euclid,100,100,elements,5740916.0,ns,7854
transform point3,euclid,100,100,elements,6183957.0,ns,8415
transform point3,euclid,100,100,elements,6540441.0,ns,8976
transform point3,euclid,100,100,elements,7021096.0,ns,9537
transform point3,euclid,100,100,elements,7367255.0,ns,10098
transform point3,euclid,100,100,elements,7915924.0,ns,10659
transform point3,euclid,100,100,elements,8365076.0,ns,11220
transform point3,euclid,100,100,elements,8738507.0,ns,11781
transform point3,euclid,100,100,elements,9100344.0,ns,12342
transform point3,euclid,100,100,elements,9410665.0,ns,12903
transform point3,euclid,100,100,elements,9792673.0,ns,13464
transform point3,euclid,100,100,elements,10277361.0,ns,14025
transform point3,euclid,100,100,elements,10623953.0,ns,14586
transform point3,euclid,100,100,elements,11014061.0,ns,15147
transform point3,euclid,100,100,elements,11584954.0,ns,15708
transform point3,euclid,100,100,elements,11847808.0,ns,16269
transform point3,euclid,100,100,elements,12299815.0,ns,16830
transform point3,euclid,100,100,elements,12897048.0,ns,17391
transform point3,euclid,100,100,elements,13254547.0,ns,17952
transform point3,euclid,100,100,elements,13519149.0,ns,18513
transform point3,euclid,100,100,elements,13867132.0,ns,19074
transform point3,euclid,100,100,elements,14341807.0,ns,19635
transform point3,euclid,100,100,elements,14631264.0,ns,20196
transform point3,euclid,100,100,elements,15316268.0,ns,20757
transform point3,euclid,100,100,elements,15531036.0,ns,21318
transform point3,euclid,100,100,elements,15974148.0,ns,21879
transform point3,euclid,100,100,elements,16321970.0,ns,22440
transform point3,euclid,100,100,elements,16639620.0,ns,23001
transform point3,euclid,100,100,elements,17097134.0,ns,23562
transform point3,euclid,100,100,elements,17759725.0,ns,24123
transform point3,euclid,100,100,elements,18006301.0,ns,24684
transform point3,euclid,100,100,elements,18558903.0,ns,25245
transform point3,euclid,100,100,elements,18726313.0,ns,25806
transform point3,euclid,100,100,elements,19124755.0,ns,26367
transform point3,euclid,100,100,elements,19582796.0,ns,26928
transform point3,euclid,100,100,elements,20336202.0,ns,27489
transform point3,euclid,100,100,elements,20474735.0,ns,28050
transform point3,euclid,100,100,elements,20823828.0,ns,28611
transform point3,euclid,100,100,elements,21323726.0,ns,29172
