group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point3,vek,100,100,elements,456921.0,ns,80
transform point3,vek,100,100,elements,894886.0,ns,160
transform point3,vek,100,100,elements,1341408.0,ns,240
transform point3,vek,100,100,elements,1778505.0,ns,320
transform point3,vek,100,100,elements,2213533.0,ns,400
transform point3,vek,100,100,elements,2650495.0,ns,480
transform point3,vek,100,100,elements,3110584.0,ns,560
transform point3,vek,100,100,elements,3520002.0,ns,640
transform point3,vek,100,100,elements,3963435.0,ns,720
transform point3,vek,100,100,elements,4420831.0,ns,800
transform point3,vek,100,100,elements,4833727.0,ns,880
transform point3,vek,100,100,elements,5271692.0,ns,960
transform point3,vek,100,100,elements,5737601.0,ns,1040
transform point3,vek,100,100,elements,6234933.0,ns,1120
transform point3,vek,100,100,elements,6597036.0,ns,1200
transform point3,vek,100,100,elements,7062394.0,ns,1280
transform point3,vek,100,100,elements,7470458.0,ns,1360
transform point3,vek,100,100,elements,7911987.0,ns,1440
transform point3,vek,100,100,elements,8368648.0,ns,1520
transform point3,vek,100,100,elements,8791937.0,ns,1600
transform point3,vek,100,100,elements,9249000.0,ns,1680
transform point3,vek,100,100,elements,9729114.0,ns,1760
transform point3,vek,100,100,elements,10140739.0,ns,1840
transform point3,vek,100,100,elements,10629422.0,ns,1920
transform point3,vek,100,100,elements,11013470.0,ns,2000
transform point3,vek,100,100,elements,11441480.0,ns,2080
transform point3,vek,100,100,elements,11875273.0,ns,2160
transform point3,vek,100,100,elements,12328648.0,ns,2240
transform point3,vek,100,100,elements,12748415.0,ns,2320
transform point3,vek,100,100,elements,13204750.0,ns,2400
transform point3,vek,100,100,elements,13752188.0,ns,2480
transform point3,vek,100,100,elements,14093132.0,ns,2560
transform point3,vek,100,100,elements,14514936.0,ns,2640
transform point3,vek,100,100,elements,14948328.0,ns,2720
transform point3,vek,100,100,elements,15379981.0,ns,2800
transform point3,vek,100,100,elements,15866344.0,ns,2880
transform point3,vek,100,100,elements,16340791.0,ns,2960
transform point3,vek,100,100,elements,16709557.0,ns,3040
transform point3,vek,100,100,elements,17142216.0,ns,3120
transform point3,vek,100,100,elements,17616095.0,ns,3200
transform point3,vek,100,100,elements,18034288.0,ns,3280
transform point3,vek,100,100,elements,18539951.0,ns,3360
transform point3,vek,100,100,elements,18935537.0,ns,3440
transform point3,vek,100,100,elements,19396089.0,ns,3520
transform point3,vek,100,100,elements,19775618.0,ns,3600
transform point3,vek,100,100,elements,20267143.0,ns,3680
transform point3,vek,100,100,elements,20750368.0,ns,3760
transform point3,vek,100,100,elements,21250284.0,ns,3840
transform point3,vek,100,100,elements,21538008.0,ns,3920
transform point3,vek,100,100,elements,22001810.0,ns,4000
transform point3,vek,100,100,elements,22474217.0,ns,4080
transform point3,vek,100,100,elements,22999043.0,ns,4160
transform point3,vek,100,100,elements,23312274.0,ns,4240
transform point3,vek,100,100,elements,23763607.0,ns,4320
transform point3,vek,100,100,elements,24362817.0,ns,4400
transform point3,vek,100,100,elements,24722681.0,ns,4480
transform point3,vek,100,100,elements,25063553.0,ns,4560
transform point3,vek,100,100,elements,25527980.0,ns,4640
transform point3,vek,100,100,elements,26004181.0,ns,4720
transform point3,vek,100,100,elements,26388536.0,ns,4800
transform point3,vek,100,100,elements,26830537.0,ns,4880
transform point3,vek,100,100,elements,27355889.0,ns,4960
transform point3,vek,100,100,elements,27728235.0,ns,5040
transform point3,vek,100,100,elements,28232789.0,ns,5120
transform point3,vek,100,100,elements,28580689.0,ns,5200
transform point3,vek,100,100,elements,29110493.0,ns,5280
transform point3,vek,100,100,elements,29450708.0,ns,5360
transform point3,vek,100,100,elements,29891435.0,ns,5440
transform point3,vek,100,100,elements,30400958.0,ns,5520
transform point3,vek,100,100,elements,30898527.0,ns,5600
transform point3,vek,100,100,elements,31223252.0,ns,5680
transform point3,vek,100,100,elements,31761748.0,ns,5760
transform point3,vek,100,100,elements,32118574.0,ns,5840
transform point3,vek,100,100,elements,32563126.0,ns,5920
transform point3,vek,100,100,elements,33179027.0,ns,6000
transform point3,vek,100,100,elements,33503858.0,ns,6080
transform point3,vek,100,100,elements,33947792.0,ns,6160
transform point3,vek,100,100,elements,34380084.0,ns,6240
transform point3,vek,100,100,elements,34793859.0,ns,6320
transform point3,vek,100,100,elements,35291045.0,ns,6400
transform point3,vek,100,100,elements,35629281.0,ns,6480
transform point3,vek,100,100,elements,36075123.0,ns,6560
transform point3,vek,100,100,elements,36553739.0,ns,6640
transform point3,vek,100,100,elements,36928884.0,ns,6720
transform point3,vek,100,100,elements,37527289.0,ns,6800
transform point3,vek,100,100,elements,37946612.0,ns,6880
transform point3,vek,100,100,elements,38293990.0,ns,6960
transform point3,vek,100,100,elements,38951216.0,ns,7040
transform point3,vek,100,100,elements,39158293.0,ns,7120
transform point3,vek,100,100,elements,39593386.0,ns,7200
transform point3,vek,100,100,elements,40044830.0,ns,7280
transform point3,vek,100,100,elements,40515659.0,ns,7360
transform point3,vek,100,100,elements,40963159.0,ns,7440
transform point3,vek,100,100,elements,41338976.0,ns,7520
transform point3,vek,100,100,elements,41862969.0,ns,7600
transform point3,vek,100,100,elements,42250991.0,ns,7680
transform point3,vek,100,100,elements,42728545.0,ns,7760
transform point3,vek,100,100,elements,43138008.0,ns,7840
transform point3,vek,100,100,elements,43627606.0,ns,7920
transform point3,vek,100,100,elements,44353508.0,ns,8000
