group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform vector2,euclid,1,1,elements,1112267.0,ns,349570
transform vector2,euclid,1,1,elements,2091941.0,ns,699140
transform vector2,euclid,1,1,elements,3082248.0,ns,1048710
transform vector2,euclid,1,1,elements,4193870.0,ns,1398280
transform vector2,euclid,1,1,elements,5049420.0,ns,1747850
transform vector2,euclid,1,1,elements,6023708.0,ns,2097420
transform vector2,euclid,1,1,elements,7016414.0,ns,2446990
transform vector2,euclid,1,1,elements,7999520.0,ns,2796560
transform vector2,euclid,1,1,elements,8981135.0,ns,3146130
transform vector2,euclid,1,1,elements,9981815.0,ns,3495700
transform vector2,euclid,1,1,elements,10948021.0,ns,3845270
transform vector2,euclid,1,1,elements,11930868.0,ns,4194840
transform vector2,euclid,1,1,elements,12938704.0,ns,4544410
transform vector2,euclid,1,1,elements,13902918.0,ns,4893980
transform vector2,euclid,1,1,elements,14883693.0,ns,5243550
transform vector2,euclid,1,1,elements,15866344.0,ns,5593120
transform vector2,euclid,1,1,elements,16854145.0,ns,5942690
transform vector2,euclid,1,1,elements,17874142.0,ns,6292260
transform vector2,euclid,1,1,elements,18840467.0,ns,6641830
transform vector2,euclid,1,1,elements,19805990.0,ns,6991400
transform vector2,euclid,1,1,elements,20815835.0,ns,7340970
transform vector2,euclid,1,1,elements,21768359.0,ns,7690540
transform vector2,euclid,1,1,elements,22756805.0,ns,8040110
transform vector2,euclid,1,1,elements,23763040.0,ns,8389680
transform vector2,euclid,1,1,elements,24799826.0,ns,8739250
transform vector2,euclid,1,1,elements,25722034.0,ns,9088820
transform vector2,euclid,1,1,elements,26686781.0,ns,9438390
transform vector2,euclid,1,1,elements,27729440.0,ns,9787960
transform vector2,euclid,1,1,elements,28930191.0,ns,10137530
transform vector2,euclid,1,1,elements,29657495.0,ns,10487100
transform vector2,euclid,1,1,elements,30700512.0,ns,10836670
transform vector2,euclid,1,1,elements,31664419.0,ns,11186240
transform vector2,euclid,1,1,elements,32613992.0,ns,11535810
transform vector2,euclid,1,1,elements,33623070.0,ns,11885380
transform vector2,euclid,1,1,elements,34559042.0,ns,12234950
transform vector2,euclid,1,1,elements,35544208.0,ns,12584520
transform vector2,euclid,1,1,elements,36551740.0,ns,12934090
transform vector2,euclid,1,1,elements,37528300.0,ns,13283660
transform vector2,euclid,1,1,elements,38513162.0,ns,13633230
