group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform2 inverse,euclid,,,,1104779.0,ns,202100
transform2 inverse,euclid,,,,2139709.0,ns,404200
transform2 inverse,euclid,,,,3067622.0,ns,606300
transform2 inverse,euclid,,,,4481131.0,ns,808400
transform2 inverse,euclid,,,,5053088.0,ns,1010500
transform2 inverse,euclid,,,,6011625.0,ns,1212600
transform2 inverse,euclid,,,,7014236.0,ns,1414700
transform2 inverse,euclid,,,,7999895.0,ns,1616800
transform2 inverse,euclid,,,,8961101.0,ns,1818900
transform2 inverse,euclid,,,,9950768.0,ns,2021000
transform2 inverse,euclid,,,,10923305.0,ns,2223100
transform2 inverse,euclid,,,,11942342.0,ns,2425200
transform2 inverse,euclid,,,,12885335.0,ns,2627300
transform2 inverse,euclid,,,,13875150.0,ns,2829400
transform2 inverse,euclid,,,,14844610.0,ns,3031500
transform2 inverse,euclid,,,,15931890.0,ns,3233600
transform2 inverse,euclid,,,,16809732.0,ns,3435700
transform2 inverse,euclid,,,,17791535.0,ns,3637800
transform2 inverse,euclid,,,,18794816.0,ns,3839900
transform2 inverse,euclid,,,,19805644.0,ns,4042000
transform2 inverse,euclid,,,,20784675.0,ns,4244100
transform2 inverse,euclid,,,,21798223.0,ns,4446200
transform2 inverse,euclid,,,,22762695.0,ns,4648300
transform2 inverse,euclid,,,,23680105.0,ns,4850400
transform2 inverse,euclid,,,,24665175.0,ns,5052500
transform2 inverse,euclid,,,,25742304.0,ns,5254600
transform2 inverse,euclid,,,,26652194.0,ns,5456700
transform2 inverse,euclid,,,,27678068.0,ns,5658800
transform2 inverse,euclid,,,,28651148.0,ns,5860900
transform2 inverse,euclid,,,,29611744.0,ns,6063000
transform2 inverse,euclid,,,,30559524.0,ns,6265100
transform2 inverse,euclid,,,,31606521.0,ns,6467200
transform2 inverse,euclid,,,,32516281.0,ns,6669300
transform2 inverse,euclid,,,,33585154.0,ns,6871400
transform2 inverse,euclid,,,,34583724.0,ns,7073500
transform2 inverse,euclid,,,,36197999.0,ns,7275600
transform2 inverse,euclid,,,,36770494.0,ns,7477700
transform2 inverse,euclid,,,,37640877.0,ns,7679800
transform2 inverse,euclid,,,,39310017.0,ns,7881900
transform2 inverse,euclid,,,,39881826.0,ns,8084000
transform2 inverse,euclid,,,,40455243.0,ns,8286100
transform2 inverse,euclid,,,,42036472.0,ns,8488200
transform2 inverse,euclid,,,,42568285.0,ns,8690300
transform2 inverse,euclid,,,,43361484.0,ns,8892400
transform2 inverse,euclid,,,,44645063.0,ns,9094500
transform2 inverse,euclid,,,,46946999.0,ns,9296600
transform2 inverse,euclid,,,,47361523.0,ns,9498700
transform2 inverse,euclid,,,,47465123.0,ns,9700800
transform2 inverse,euclid,,,,48826475.0,ns,9902900
transform2 inverse,euclid,,,,49350203.0,ns,10105000
transform2 inverse,euclid,,,,50272828.0,ns,10307100
transform2 inverse,euclid,,,,51171813.0,ns,10509200
transform2 inverse,euclid,,,,52236387.0,ns,10711300
transform2 inverse,euclid,,,,53140583.0,ns,10913400
transform2 inverse,euclid,,,,54194287.0,ns,11115500
transform2 inverse,euclid,,,,55139672.0,ns,11317600
transform2 inverse,euclid,,,,56137876.0,ns,11519700
transform2 inverse,euclid,,,,58318478.0,ns,11721800
transform2 inverse,euclid,,,,60031707.0,ns,11923900
transform2 inverse,euclid,,,,59075931.0,ns,12126000
transform2 inverse,euclid,,,,60185805.0,ns,12328100
transform2 inverse,euclid,,,,61180787.0,ns,12530200
transform2 inverse,euclid,,,,62029793.0,ns,12732300
transform2 inverse,euclid,,,,63065439.0,ns,12934400
transform2 inverse,euclid,,,,64374495.0,ns,13136500
transform2 inverse,euclid,,,,64965523.0,ns,13338600
transform2 inverse,euclid,,,,66117544.0,ns,13540700
transform2 inverse,euclid,,,,66980311.0,ns,13742800
transform2 inverse,euclid,,,,68022396.0,ns,13944900
transform2 inverse,euclid,,,,68918176.0,ns,14147000
transform2 inverse,euclid,,,,69930522.0,ns,14349100
transform2 inverse,euclid,,,,70881845.0,ns,14551200
transform2 inverse,euclid,,,,72104798.0,ns,14753300
transform2 inverse,euclid,,,,72849894.0,ns,14955400
transform2 inverse,euclid,,,,73837496.0,ns,15157500
transform2 inverse,euclid,,,,75002618.0,ns,15359600
transform2 inverse,euclid,,,,75887064.0,ns,15561700
transform2 inverse,euclid,,,,76767885.0,ns,15763800
transform2 inverse,euclid,,,,77841225.0,ns,15965900
transform2 inverse,euclid,,,,78923963.0,ns,16168000
transform2 inverse,euclid,,,,79713385.0,ns,16370100
transform2 inverse,euclid,,,,80883838.0,ns,16572200
transform2 inverse,euclid,,,,82183870.0,ns,16774300
transform2 inverse,euclid,,,,82727879.0,ns,16976400
transform2 inverse,euclid,,,,83814522.0,ns,17178500
transform2 inverse,euclid,,,,84803158.0,ns,17380600
transform2 inverse,euclid,,,,85525366.0,ns,17582700
transform2 inverse,euclid,,,,86723677.0,ns,17784800
transform2 inverse,euclid,,,,87752230.0,ns,17986900
transform2 inverse,euclid,,,,88529174.0,ns,18189000
transform2 inverse,euclid,,,,89581650.0,ns,18391100
transform2 inverse,euclid,,,,90597076.0,ns,18593200
transform2 inverse,euclid,,,,91499194.0,ns,18795300
transform2 inverse,euclid,,,,92522376.0,ns,18997400
transform2 inverse,euclid,,,,93475879.0,ns,19199500
transform2 inverse,euclid,,,,94523742.0,ns,19401600
transform2 inverse,euclid,,,,95685272.0,ns,19603700
transform2 inverse,euclid,,,,96404884.0,ns,19805800
transform2 inverse,euclid,,,,97645025.0,ns,20007900
transform2 inverse,euclid,,,,99241941.0,ns,20210000
