group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform3 inverse,euclid,,,,1105141.0,ns,16098
transform3 inverse,euclid,,,,2088691.0,ns,32196
transform3 inverse,euclid,,,,3067941.0,ns,48294
transform3 inverse,euclid,,,,4069984.0,ns,64392
transform3 inverse,euclid,,,,5039462.0,ns,80490
transform3 inverse,euclid,,,,6036942.0,ns,96588
transform3 inverse,euclid,,,,6999941.0,ns,112686
transform3 inverse,euclid,,,,7982534.0,ns,128784
transform3 inverse,euclid,,,,8962545.0,ns,144882
transform3 inverse,euclid,,,,9955062.0,ns,160980
transform3 inverse,euclid,,,,10929807.0,ns,177078
transform3 inverse,euclid,,,,11910600.0,ns,193176
transform3 inverse,euclid,,,,12978452.0,ns,209274
transform3 inverse,euclid,,,,13880921.0,ns,225372
transform3 inverse,euclid,,,,14851654.0,ns,241470
transform3 inverse,euclid,,,,15848556.0,ns,257568
transform3 inverse,euclid,,,,16818173.0,ns,273666
transform3 inverse,euclid,,,,17825958.0,ns,289764
transform3 inverse,euclid,,,,18884611.0,ns,305862
transform3 inverse,euclid,,,,19785127.0,ns,321960
transform3 inverse,euclid,,,,20799962.0,ns,338058
transform3 inverse,euclid,,,,21735335.0,ns,354156
transform3 inverse,euclid,,,,22740327.0,ns,370254
transform3 inverse,euclid,,,,23750679.0,ns,386352
transform3 inverse,euclid,,,,24684850.0,ns,402450
transform3 inverse,euclid,,,,25674603.0,ns,418548
transform3 inverse,euclid,,,,26729817.0,ns,434646
transform3 inverse,euclid,,,,27633468.0,ns,450744
transform3 inverse,euclid,,,,28618181.0,ns,466842
transform3 inverse,euclid,,,,29622425.0,ns,482940
transform3 inverse,euclid,,,,30687373.0,ns,499038
transform3 inverse,euclid,,,,31560738.0,ns,515136
transform3 inverse,euclid,,,,32547862.0,ns,531234
transform3 inverse,euclid,,,,33633934.0,ns,547332
transform3 inverse,euclid,,,,34507113.0,ns,563430
transform3 inverse,euclid,,,,35636155.0,ns,579528
transform3 inverse,euclid,,,,36598335.0,ns,595626
transform3 inverse,euclid,,,,37484223.0,ns,611724
transform3 inverse,euclid,,,,38630872.0,ns,627822
transform3 inverse,euclid,,,,39405029.0,ns,643920
transform3 inverse,euclid,,,,40407212.0,ns,660018
transform3 inverse,euclid,,,,41460764.0,ns,676116
transform3 inverse,euclid,,,,42359594.0,ns,692214
transform3 inverse,euclid,,,,43401106.0,ns,708312
transform3 inverse,euclid,,,,44330107.0,ns,724410
transform3 inverse,euclid,,,,45348611.0,ns,740508
transform3 inverse,euclid,,,,46253005.0,ns,756606
transform3 inverse,euclid,,,,47329976.0,ns,772704
transform3 inverse,euclid,,,,48252450.0,ns,788802
transform3 inverse,euclid,,,,49302775.0,ns,804900
transform3 inverse,euclid,,,,50196146.0,ns,820998
transform3 inverse,euclid,,,,52804294.0,ns,837096
transform3 inverse,euclid,,,,53645054.0,ns,853194
transform3 inverse,euclid,,,,54656560.0,ns,869292
transform3 inverse,euclid,,,,55667689.0,ns,885390
transform3 inverse,euclid,,,,56704916.0,ns,901488
transform3 inverse,euclid,,,,57711502.0,ns,917586
transform3 inverse,euclid,,,,58527709.0,ns,933684
transform3 inverse,euclid,,,,58092253.0,ns,949782
transform3 inverse,euclid,,,,59037604.0,ns,965880
transform3 inverse,euclid,,,,60096624.0,ns,981978
transform3 inverse,euclid,,,,61011910.0,ns,998076
transform3 inverse,euclid,,,,61976803.0,ns,1014174
transform3 inverse,euclid,,,,63004422.0,ns,1030272
transform3 inverse,euclid,,,,63936119.0,ns,1046370
transform3 inverse,euclid,,,,65002399.0,ns,1062468
transform3 inverse,euclid,,,,65961554.0,ns,1078566
transform3 inverse,euclid,,,,66871969.0,ns,1094664
transform3 inverse,euclid,,,,67891683.0,ns,1110762
transform3 inverse,euclid,,,,68914092.0,ns,1126860
transform3 inverse,euclid,,,,69840944.0,ns,1142958
transform3 inverse,euclid,,,,70781928.0,ns,1159056
transform3 inverse,euclid,,,,72606461.0,ns,1175154
transform3 inverse,euclid,,,,72820460.0,ns,1191252
transform3 inverse,euclid,,,,73955757.0,ns,1207350
transform3 inverse,euclid,,,,74796010.0,ns,1223448
transform3 inverse,euclid,,,,75771368.0,ns,1239546
transform3 inverse,euclid,,,,76739076.0,ns,1255644
transform3 inverse,euclid,,,,77789895.0,ns,1271742
transform3 inverse,euclid,,,,78692873.0,ns,1287840
transform3 inverse,euclid,,,,79662330.0,ns,1303938
transform3 inverse,euclid,,,,80674744.0,ns,1320036
transform3 inverse,euclid,,,,81659961.0,ns,1336134
transform3 inverse,euclid,,,,82634149.0,ns,1352232
transform3 inverse,euclid,,,,83587298.0,ns,1368330
transform3 inverse,euclid,,,,84632569.0,ns,1384428
transform3 inverse,euclid,,,,85644551.0,ns,1400526
transform3 inverse,euclid,,,,86592691.0,ns,1416624
transform3 inverse,euclid,,,,87585838.0,ns,1432722
transform3 inverse,euclid,,,,88536680.0,ns,1448820
transform3 inverse,euclid,,,,89527754.0,ns,1464918
transform3 inverse,euclid,,,,90526051.0,ns,1481016
transform3 inverse,euclid,,,,91465141.0,ns,1497114
transform3 inverse,euclid,,,,92549878.0,ns,1513212
transform3 inverse,euclid,,,,93552225.0,ns,1529310
transform3 inverse,euclid,,,,94400290.0,ns,1545408
transform3 inverse,euclid,,,,95778156.0,ns,1561506
transform3 inverse,euclid,,,,96482820.0,ns,1577604
transform3 inverse,euclid,,,,97605230.0,ns,1593702
transform3 inverse,euclid,,,,98366676.0,ns,1609800
