group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform3 inverse,nalgebra,,,,1098792.0,ns,18999
transform3 inverse,nalgebra,,,,2069322.0,ns,37998
transform3 inverse,nalgebra,,,,3046590.0,ns,56997
transform3 inverse,nalgebra,,,,4026430.0,ns,75996
transform3 inverse,nalgebra,,,,5001641.0,ns,94995
transform3 inverse,nalgebra,,,,6001620.0,ns,113994
transform3 inverse,nalgebra,,,,6952649.0,ns,132993
transform3 inverse,nalgebra,,,,8013369.0,ns,151992
transform3 inverse,nalgebra,,,,9034979.0,ns,170991
transform3 inverse,nalgebra,,,,9897186.0,ns,189990
transform3 inverse,nalgebra,,,,10858902.0,ns,208989
transform3 inverse,nalgebra,,,,11844009.0,ns,227988
transform3 inverse,nalgebra,,,,12892157.0,ns,246987
transform3 inverse,nalgebra,,,,13780530.0,ns,265986
transform3 inverse,nalgebra,,,,14840707.0,ns,284985
transform3 inverse,nalgebra,,,,15803786.0,ns,303984
transform3 inverse,nalgebra,,,,16705027.0,ns,322983
transform3 inverse,nalgebra,,,,17793397.0,ns,341982
transform3 inverse,nalgebra,,,,18709879.0,ns,360981
transform3 inverse,nalgebra,,,,19654056.0,ns,379980
transform3 inverse,nalgebra,,,,20691164.0,ns,398979
transform3 inverse,nalgebra,,,,21620710.0,ns,417978
transform3 inverse,nalgebra,,,,22578038.0,ns,436977
transform3 inverse,nalgebra,,,,23553743.0,ns,455976
transform3 inverse,nalgebra,,,,24582971.0,ns,474975
transform3 inverse,nalgebra,,,,25584130.0,ns,493974
transform3 inverse,nalgebra,,,,26533719.0,ns,512973
transform3 inverse,nalgebra,,,,27553002.0,ns,531972
transform3 inverse,nalgebra,,,,28555087.0,ns,550971
transform3 inverse,nalgebra,,,,29415646.0,ns,569970
transform3 inverse,nalgebra,,,,30392575.0,ns,588969
transform3 inverse,nalgebra,,,,31503624.0,ns,607968
transform3 inverse,nalgebra,,,,32344245.0,ns,626967
transform3 inverse,nalgebra,,,,33350301.0,ns,645966
transform3 inverse,nalgebra,,,,34502223.0,ns,664965
transform3 inverse,nalgebra,,,,35258366.0,ns,683964
transform3 inverse,nalgebra,,,,36245892.0,ns,702963
transform3 inverse,nalgebra,,,,37290323.0,ns,721962
transform3 inverse,nalgebra,,,,38196281.0,ns,740961
transform3 inverse,nalgebra,,,,39172049.0,ns,759960
transform3 inverse,nalgebra,,,,40220645.0,ns,778959
transform3 inverse,nalgebra,,,,41193731.0,ns,797958
transform3 inverse,nalgebra,,,,42236858.0,ns,816957
transform3 inverse,nalgebra,,,,43079279.0,ns,835956
transform3 inverse,nalgebra,,,,44191133.0,ns,854955
transform3 inverse,nalgebra,,,,45138701.0,ns,873954
transform3 inverse,nalgebra,,,,46142392.0,ns,892953
transform3 inverse,nalgebra,,,,47068262.0,ns,911952
transform3 inverse,nalgebra,,,,48058908.0,ns,930951
transform3 inverse,nalgebra,,,,49116315.0,ns,949950
transform3 inverse,nalgebra,,,,50025584.0,ns,968949
transform3 inverse,nalgebra,,,,50931539.0,ns,987948
transform3 inverse,nalgebra,,,,52117138.0,ns,1006947
transform3 inverse,nalgebra,,,,52852794.0,ns,1025946
transform3 inverse,nalgebra,,,,53969599.0,ns,1044945
transform3 inverse,nalgebra,,,,54839637.0,ns,1063944
transform3 inverse,nalgebra,,,,55894402.0,ns,1082943
transform3 inverse,nalgebra,,,,56840914.0,ns,1101942
transform3 inverse,nalgebra,,,,57818599.0,ns,1120941
transform3 inverse,nalgebra,,,,58913789.0,ns,1139940
transform3 inverse,nalgebra,,,,59685343.0,ns,1158939
transform3 inverse,nalgebra,,,,60843010.0,ns,1177938
transform3 inverse,nalgebra,,,,61636783.0,ns,1196937
transform3 inverse,nalgebra,,,,62809595.0,ns,1215936
transform3 inverse,nalgebra,,,,63722016.0,ns,1234935
transform3 inverse,nalgebra,,,,64586144.0,ns,1253934
transform3 inverse,nalgebra,,,,65695661.0,ns,1272933
transform3 inverse,nalgebra,,,,66652873.0,ns,1291932
transform3 inverse,nalgebra,,,,67647260.0,ns,1310931
transform3 inverse,nalgebra,,,,68579487.0,ns,1329930
transform3 inverse,nalgebra,,,,69576227.0,ns,1348929
transform3 inverse,nalgebra,,,,70571615.0,ns,1367928
transform3 inverse,nalgebra,,,,71461021.0,ns,1386927
transform3 inverse,nalgebra,,,,72490852.0,ns,1405926
transform3 inverse,nalgebra,,,,73494501.0,ns,1424925
transform3 inverse,nalgebra,,,,74377457.0,ns,1443924
transform3 inverse,nalgebra,,,,76521354.0,ns,1462923
transform3 inverse,nalgebra,,,,76428081.0,ns,1481922
transform3 inverse,nalgebra,,,,77586330.0,ns,1500921
transform3 inverse,nalgebra,,,,78600843.0,ns,1519920
transform3 inverse,nalgebra,,,,79292888.0,ns,1538919
transform3 inverse,nalgebra,,,,80315265.0,ns,1557918
