group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 cross,nalgebra,,,,922797.0,ns,286243
vector3 cross,nalgebra,,,,1847387.0,ns,572486
vector3 cross,nalgebra,,,,2767237.0,ns,858729
vector3 cross,nalgebra,,,,3692464.0,ns,1144972
vector3 cross,nalgebra,,,,4756925.0,ns,1431215
vector3 cross,nalgebra,,,,5540237.0,ns,1717458
vector3 cross,nalgebra,,,,6508401.0,ns,2003701
vector3 cross,nalgebra,,,,7408834.0,ns,2289944
vector3 cross,nalgebra,,,,8331564.0,ns,2576187
vector3 cross,nalgebra,,,,9234565.0,ns,2862430
vector3 cross,nalgebra,,,,10180550.0,ns,3148673
vector3 cross,nalgebra,,,,11080529.0,ns,3434916
vector3 cross,nalgebra,,,,12005125.0,ns,3721159
vector3 cross,nalgebra,,,,12928151.0,ns,4007402
vector3 cross,nalgebra,,,,13850682.0,ns,4293645
vector3 cross,nalgebra,,,,14802414.0,ns,4579888
vector3 cross,nalgebra,,,,15739652.0,ns,4866131
vector3 cross,nalgebra,,,,16621892.0,ns,5152374
vector3 cross,nalgebra,,,,17546540.0,ns,5438617
vector3 cross,nalgebra,,,,18488798.0,ns,5724860
vector3 cross,nalgebra,,,,19392271.0,ns,6011103
vector3 cross,nalgebra,,,,20475033.0,ns,6297346
vector3 cross,nalgebra,,,,21249096.0,ns,6583589
vector3 cross,nalgebra,,,,22163252.0,ns,6869832
vector3 cross,nalgebra,,,,23089103.0,ns,7156075
vector3 cross,nalgebra,,,,24135130.0,ns,7442318
vector3 cross,nalgebra,,,,24994438.0,ns,7728561
vector3 cross,nalgebra,,,,25867439.0,ns,8014804
vector3 cross,nalgebra,,,,26952800.0,ns,8301047
vector3 cross,nalgebra,,,,27805895.0,ns,8587290
vector3 cross,nalgebra,,,,28710899.0,ns,8873533
vector3 cross,nalgebra,,,,29645628.0,ns,9159776
vector3 cross,nalgebra,,,,30500923.0,ns,9446019
vector3 cross,nalgebra,,,,31436920.0,ns,9732262
vector3 cross,nalgebra,,,,32340604.0,ns,10018505
vector3 cross,nalgebra,,,,33266223.0,ns,10304748
vector3 cross,nalgebra,,,,34237335.0,ns,10590991
vector3 cross,nalgebra,,,,35267891.0,ns,10877234
vector3 cross,nalgebra,,,,36037432.0,ns,11163477
vector3 cross,nalgebra,,,,37004023.0,ns,11449720
vector3 cross,nalgebra,,,,37865040.0,ns,11735963
vector3 cross,nalgebra,,,,38929236.0,ns,12022206
vector3 cross,nalgebra,,,,39712667.0,ns,12308449
vector3 cross,nalgebra,,,,40699596.0,ns,12594692
vector3 cross,nalgebra,,,,41594270.0,ns,12880935
vector3 cross,nalgebra,,,,42480239.0,ns,13167178
vector3 cross,nalgebra,,,,43466907.0,ns,13453421
vector3 cross,nalgebra,,,,44326128.0,ns,13739664
vector3 cross,nalgebra,,,,45316124.0,ns,14025907
vector3 cross,nalgebra,,,,46197543.0,ns,14312150
vector3 cross,nalgebra,,,,47141311.0,ns,14598393
vector3 cross,nalgebra,,,,48044322.0,ns,14884636
vector3 cross,nalgebra,,,,48985203.0,ns,15170879
vector3 cross,nalgebra,,,,49904555.0,ns,15457122
vector3 cross,nalgebra,,,,50871044.0,ns,15743365
vector3 cross,nalgebra,,,,51736030.0,ns,16029608
vector3 cross,nalgebra,,,,52702813.0,ns,16315851
vector3 cross,nalgebra,,,,53623843.0,ns,16602094
vector3 cross,nalgebra,,,,54567028.0,ns,16888337
vector3 cross,nalgebra,,,,55442768.0,ns,17174580
vector3 cross,nalgebra,,,,56413238.0,ns,17460823
vector3 cross,nalgebra,,,,57262687.0,ns,17747066
vector3 cross,nalgebra,,,,58260016.0,ns,18033309
vector3 cross,nalgebra,,,,59175042.0,ns,18319552
vector3 cross,nalgebra,,,,60046791.0,ns,18605795
vector3 cross,nalgebra,,,,61020520.0,ns,18892038
vector3 cross,nalgebra,,,,61888326.0,ns,19178281
vector3 cross,nalgebra,,,,62902379.0,ns,19464524
vector3 cross,nalgebra,,,,63783157.0,ns,19750767
vector3 cross,nalgebra,,,,64644512.0,ns,20037010
