group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 dot,cgmath,,,,982291.0,ns,427055
vector3 dot,cgmath,,,,1963046.0,ns,854110
vector3 dot,cgmath,,,,2943905.0,ns,1281165
vector3 dot,cgmath,,,,3995281.0,ns,1708220
vector3 dot,cgmath,,,,4923307.0,ns,2135275
vector3 dot,cgmath,,,,5887678.0,ns,2562330
vector3 dot,cgmath,,,,6890703.0,ns,2989385
vector3 dot,cgmath,,,,7849819.0,ns,3416440
vector3 dot,cgmath,,,,8834207.0,ns,3843495
vector3 dot,cgmath,,,,9819892.0,ns,4270550
vector3 dot,cgmath,,,,10807557.0,ns,4697605
vector3 dot,cgmath,,,,11775108.0,ns,5124660
vector3 dot,cgmath,,,,12808789.0,ns,5551715
vector3 dot,cgmath,,,,13752559.0,ns,5978770
vector3 dot,cgmath,,,,14727865.0,ns,6405825
vector3 dot,cgmath,,,,15703887.0,ns,6832880
vector3 dot,cgmath,,,,16679137.0,ns,7259935
vector3 dot,cgmath,,,,17665924.0,ns,7686990
vector3 dot,cgmath,,,,18741036.0,ns,8114045
vector3 dot,cgmath,,,,19621988.0,ns,8541100
vector3 dot,cgmath,,,,20600362.0,ns,8968155
vector3 dot,cgmath,,,,21581354.0,ns,9395210
vector3 dot,cgmath,,,,22610914.0,ns,9822265
vector3 dot,cgmath,,,,23628397.0,ns,10249320
vector3 dot,cgmath,,,,24521220.0,ns,10676375
vector3 dot,cgmath,,,,25505222.0,ns,11103430
vector3 dot,cgmath,,,,26491044.0,ns,11530485
vector3 dot,cgmath,,,,27574441.0,ns,11957540
vector3 dot,cgmath,,,,28428401.0,ns,12384595
vector3 dot,cgmath,,,,29454205.0,ns,12811650
vector3 dot,cgmath,,,,30515673.0,ns,13238705
vector3 dot,cgmath,,,,31407971.0,ns,13665760
vector3 dot,cgmath,,,,32439124.0,ns,14092815
vector3 dot,cgmath,,,,33661050.0,ns,14519870
vector3 dot,cgmath,,,,34346496.0,ns,14946925
vector3 dot,cgmath,,,,35323110.0,ns,15373980
vector3 dot,cgmath,,,,36411389.0,ns,15801035
vector3 dot,cgmath,,,,37272936.0,ns,16228090
vector3 dot,cgmath,,,,38293742.0,ns,16655145
vector3 dot,cgmath,,,,39349669.0,ns,17082200
vector3 dot,cgmath,,,,40228304.0,ns,17509255
vector3 dot,cgmath,,,,41314464.0,ns,17936310
vector3 dot,cgmath,,,,42334304.0,ns,18363365
vector3 dot,cgmath,,,,43203415.0,ns,18790420
vector3 dot,cgmath,,,,44258190.0,ns,19217475
vector3 dot,cgmath,,,,45168786.0,ns,19644530
vector3 dot,cgmath,,,,46216415.0,ns,20071585
vector3 dot,cgmath,,,,47119989.0,ns,20498640
vector3 dot,cgmath,,,,48141997.0,ns,20925695
vector3 dot,cgmath,,,,49125607.0,ns,21352750
vector3 dot,cgmath,,,,50124844.0,ns,21779805
vector3 dot,cgmath,,,,51013950.0,ns,22206860
vector3 dot,cgmath,,,,52116970.0,ns,22633915
