group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 length,vek,,,,996619.0,ns,420479
vector3 length,vek,,,,1983215.0,ns,840958
vector3 length,vek,,,,2975672.0,ns,1261437
vector3 length,vek,,,,3968546.0,ns,1681916
vector3 length,vek,,,,5062385.0,ns,2102395
vector3 length,vek,,,,5931555.0,ns,2522874
vector3 length,vek,,,,7023893.0,ns,2943353
vector3 length,vek,,,,7998137.0,ns,3363832
vector3 length,vek,,,,8960255.0,ns,3784311
vector3 length,vek,,,,9890299.0,ns,4204790
vector3 length,vek,,,,10918293.0,ns,4625269
vector3 length,vek,,,,11885077.0,ns,5045748
vector3 length,vek,,,,12850655.0,ns,5466227
vector3 length,vek,,,,13837583.0,ns,5886706
vector3 length,vek,,,,14851628.0,ns,6307185
vector3 length,vek,,,,15816093.0,ns,6727664
vector3 length,vek,,,,16900198.0,ns,7148143
vector3 length,vek,,,,17794191.0,ns,7568622
vector3 length,vek,,,,18807139.0,ns,7989101
vector3 length,vek,,,,19794121.0,ns,8409580
vector3 length,vek,,,,20756979.0,ns,8830059
vector3 length,vek,,,,21787970.0,ns,9250538
vector3 length,vek,,,,22775269.0,ns,9671017
vector3 length,vek,,,,23721716.0,ns,10091496
vector3 length,vek,,,,24739347.0,ns,10511975
vector3 length,vek,,,,25743269.0,ns,10932454
vector3 length,vek,,,,26714489.0,ns,11352933
vector3 length,vek,,,,27676869.0,ns,11773412
vector3 length,vek,,,,28684538.0,ns,12193891
vector3 length,vek,,,,29677522.0,ns,12614370
vector3 length,vek,,,,30738228.0,ns,13034849
vector3 length,vek,,,,31750803.0,ns,13455328
vector3 length,vek,,,,32734844.0,ns,13875807
vector3 length,vek,,,,33656312.0,ns,14296286
vector3 length,vek,,,,34609226.0,ns,14716765
vector3 length,vek,,,,35635723.0,ns,15137244
vector3 length,vek,,,,36578208.0,ns,15557723
vector3 length,vek,,,,37614505.0,ns,15978202
vector3 length,vek,,,,38591904.0,ns,16398681
vector3 length,vek,,,,39558231.0,ns,16819160
vector3 length,vek,,,,40547239.0,ns,17239639
vector3 length,vek,,,,41520593.0,ns,17660118
vector3 length,vek,,,,42630203.0,ns,18080597
vector3 length,vek,,,,43528127.0,ns,18501076
vector3 length,vek,,,,44616504.0,ns,18921555
vector3 length,vek,,,,45536731.0,ns,19342034
vector3 length,vek,,,,46492796.0,ns,19762513
vector3 length,vek,,,,47488481.0,ns,20182992
vector3 length,vek,,,,48556799.0,ns,20603471
vector3 length,vek,,,,49490405.0,ns,21023950
vector3 length,vek,,,,50859645.0,ns,21444429
vector3 length,vek,,,,51600523.0,ns,21864908
vector3 length,vek,,,,52447539.0,ns,22285387
vector3 length,vek,,,,53428444.0,ns,22705866
vector3 length,vek,,,,54421340.0,ns,23126345
vector3 length,vek,,,,55400460.0,ns,23546824
vector3 length,vek,,,,56393469.0,ns,23967303
vector3 length,vek,,,,57342219.0,ns,24387782
vector3 length,vek,,,,58384183.0,ns,24808261
vector3 length,vek,,,,59380402.0,ns,25228740
vector3 length,vek,,,,60331280.0,ns,25649219
vector3 length,vek,,,,61355168.0,ns,26069698
vector3 length,vek,,,,62380353.0,ns,26490177
vector3 length,vek,,,,63312003.0,ns,26910656
vector3 length,vek,,,,64307701.0,ns,27331135
vector3 length,vek,,,,65305940.0,ns,27751614
vector3 length,vek,,,,66254972.0,ns,28172093
vector3 length,vek,,,,67328629.0,ns,28592572
vector3 length,vek,,,,68328587.0,ns,29013051
vector3 length,vek,,,,69325829.0,ns,29433530
vector3 length,vek,,,,70260393.0,ns,29854009
vector3 length,vek,,,,71221746.0,ns,30274488
vector3 length,vek,,,,72212524.0,ns,30694967
vector3 length,vek,,,,73196441.0,ns,31115446
vector3 length,vek,,,,74189998.0,ns,31535925
vector3 length,vek,,,,75183151.0,ns,31956404
vector3 length,vek,,,,76238441.0,ns,32376883
vector3 length,vek,,,,77191927.0,ns,32797362
vector3 length,vek,,,,78165330.0,ns,33217841
vector3 length,vek,,,,79173653.0,ns,33638320
vector3 length,vek,,,,80279287.0,ns,34058799
vector3 length,vek,,,,81336455.0,ns,34479278
vector3 length,vek,,,,82107762.0,ns,34899757
vector3 length,vek,,,,83142433.0,ns,35320236
vector3 length,vek,,,,84053251.0,ns,35740715
vector3 length,vek,,,,85093394.0,ns,36161194
vector3 length,vek,,,,86089769.0,ns,36581673
vector3 length,vek,,,,87005869.0,ns,37002152
vector3 length,vek,,,,88082349.0,ns,37422631
vector3 length,vek,,,,89250403.0,ns,37843110
vector3 length,vek,,,,90276366.0,ns,38263589
vector3 length,vek,,,,91087497.0,ns,38684068
vector3 length,vek,,,,92001944.0,ns,39104547
vector3 length,vek,,,,93002388.0,ns,39525026
vector3 length,vek,,,,93991517.0,ns,39945505
vector3 length,vek,,,,94972030.0,ns,40365984
vector3 length,vek,,,,95967498.0,ns,40786463
vector3 length,vek,,,,96928498.0,ns,41206942
vector3 length,vek,,,,97947628.0,ns,41627421
vector3 length,vek,,,,98987740.0,ns,42047900
