group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
euler 2d,pathfinder,10000,10000,elements,1016707.0,ns,101
euler 2d,pathfinder,10000,10000,elements,1981135.0,ns,202
euler 2d,pathfinder,10000,10000,elements,2933876.0,ns,303
euler 2d,pathfinder,10000,10000,elements,3943879.0,ns,404
euler 2d,pathfinder,10000,10000,elements,5194126.0,ns,505
euler 2d,pathfinder,10000,10000,elements,6230906.0,ns,606
euler 2d,pathfinder,10000,10000,elements,7094068.0,ns,707
euler 2d,pathfinder,10000,10000,elements,8297098.0,ns,808
euler 2d,pathfinder,10000,10000,elements,9021072.0,ns,909
euler 2d,pathfinder,10000,10000,elements,10028692.0,ns,1010
euler 2d,pathfinder,10000,10000,elements,10949505.0,ns,1111
euler 2d,pathfinder,10000,10000,elements,11893520.0,ns,1212
euler 2d,pathfinder,10000,10000,elements,12868597.0,ns,1313
euler 2d,pathfinder,10000,10000,elements,13817614.0,ns,1414
euler 2d,pathfinder,10000,10000,elements,14824952.0,ns,1515
euler 2d,pathfinder,10000,10000,elements,15781547.0,ns,1616
euler 2d,pathfinder,10000,10000,elements,16806687.0,ns,1717
euler 2d,pathfinder,10000,10000,elements,17771063.0,ns,1818
euler 2d,pathfinder,10000,10000,elements,18794594.0,ns,1919
euler 2d,pathfinder,10000,10000,elements,19748325.0,ns,2020
euler 2d,pathfinder,10000,10000,elements,20741779.0,ns,2121
euler 2d,pathfinder,10000,10000,elements,21767732.0,ns,2222
euler 2d,pathfinder,10000,10000,elements,22689338.0,ns,2323
euler 2d,pathfinder,10000,10000,elements,23746765.0,ns,2424
euler 2d,pathfinder,10000,10000,elements,24697310.0,ns,2525
euler 2d,pathfinder,10000,10000,elements,25816431.0,ns,2626
euler 2d,pathfinder,10000,10000,elements,26741546.0,ns,2727
euler 2d,pathfinder,10000,10000,elements,27641662.0,ns,2828
euler 2d,pathfinder,10000,10000,elements,28629458.0,ns,2929
euler 2d,pathfinder,10000,10000,elements,29607086.0,ns,3030
euler 2d,pathfinder,10000,10000,elements,30716997.0,ns,3131
euler 2d,pathfinder,10000,10000,elements,31609683.0,ns,3232
euler 2d,pathfinder,10000,10000,elements,32581831.0,ns,3333
euler 2d,pathfinder,10000,10000,elements,33689668.0,ns,3434
euler 2d,pathfinder,10000,10000,elements,35159830.0,ns,3535
euler 2d,pathfinder,10000,10000,elements,35830288.0,ns,3636
euler 2d,pathfinder,10000,10000,elements,36570820.0,ns,3737
euler 2d,pathfinder,10000,10000,elements,37569299.0,ns,3838
euler 2d,pathfinder,10000,10000,elements,38532965.0,ns,3939
euler 2d,pathfinder,10000,10000,elements,39513592.0,ns,4040
euler 2d,pathfinder,10000,10000,elements,40495330.0,ns,4141
euler 2d,pathfinder,10000,10000,elements,41512831.0,ns,4242
euler 2d,pathfinder,10000,10000,elements,42442565.0,ns,4343
euler 2d,pathfinder,10000,10000,elements,43461585.0,ns,4444
euler 2d,pathfinder,10000,10000,elements,44436090.0,ns,4545
euler 2d,pathfinder,10000,10000,elements,45471245.0,ns,4646
euler 2d,pathfinder,10000,10000,elements,46469224.0,ns,4747
euler 2d,pathfinder,10000,10000,elements,47676918.0,ns,4848
euler 2d,pathfinder,10000,10000,elements,48439317.0,ns,4949
euler 2d,pathfinder,10000,10000,elements,50158538.0,ns,5050
euler 2d,pathfinder,10000,10000,elements,50394001.0,ns,5151
euler 2d,pathfinder,10000,10000,elements,51383362.0,ns,5252
euler 2d,pathfinder,10000,10000,elements,52391886.0,ns,5353
euler 2d,pathfinder,10000,10000,elements,53324519.0,ns,5454
euler 2d,pathfinder,10000,10000,elements,54298135.0,ns,5555
euler 2d,pathfinder,10000,10000,elements,55481826.0,ns,5656
euler 2d,pathfinder,10000,10000,elements,56279296.0,ns,5757
euler 2d,pathfinder,10000,10000,elements,57386834.0,ns,5858
euler 2d,pathfinder,10000,10000,elements,58298558.0,ns,5959
euler 2d,pathfinder,10000,10000,elements,59432236.0,ns,6060
euler 2d,pathfinder,10000,10000,elements,61024926.0,ns,6161
euler 2d,pathfinder,10000,10000,elements,61271854.0,ns,6262
euler 2d,pathfinder,10000,10000,elements,62592596.0,ns,6363
euler 2d,pathfinder,10000,10000,elements,63270131.0,ns,6464
euler 2d,pathfinder,10000,10000,elements,64375583.0,ns,6565
euler 2d,pathfinder,10000,10000,elements,65184001.0,ns,6666
euler 2d,pathfinder,10000,10000,elements,66329069.0,ns,6767
euler 2d,pathfinder,10000,10000,elements,67259084.0,ns,6868
euler 2d,pathfinder,10000,10000,elements,68119081.0,ns,6969
euler 2d,pathfinder,10000,10000,elements,69924711.0,ns,7070
euler 2d,pathfinder,10000,10000,elements,70161950.0,ns,7171
euler 2d,pathfinder,10000,10000,elements,71478669.0,ns,7272
euler 2d,pathfinder,10000,10000,elements,72258036.0,ns,7373
euler 2d,pathfinder,10000,10000,elements,73273144.0,ns,7474
euler 2d,pathfinder,10000,10000,elements,74193185.0,ns,7575
euler 2d,pathfinder,10000,10000,elements,75090464.0,ns,7676
euler 2d,pathfinder,10000,10000,elements,76064967.0,ns,7777
euler 2d,pathfinder,10000,10000,elements,77841332.0,ns,7878
euler 2d,pathfinder,10000,10000,elements,78146938.0,ns,7979
euler 2d,pathfinder,10000,10000,elements,79074686.0,ns,8080
euler 2d,pathfinder,10000,10000,elements,80021320.0,ns,8181
euler 2d,pathfinder,10000,10000,elements,80973139.0,ns,8282
euler 2d,pathfinder,10000,10000,elements,82010855.0,ns,8383
euler 2d,pathfinder,10000,10000,elements,82967286.0,ns,8484
euler 2d,pathfinder,10000,10000,elements,84759584.0,ns,8585
euler 2d,pathfinder,10000,10000,elements,85739360.0,ns,8686
euler 2d,pathfinder,10000,10000,elements,86020295.0,ns,8787
euler 2d,pathfinder,10000,10000,elements,86903100.0,ns,8888
euler 2d,pathfinder,10000,10000,elements,87915955.0,ns,8989
euler 2d,pathfinder,10000,10000,elements,88910457.0,ns,9090
euler 2d,pathfinder,10000,10000,elements,90039578.0,ns,9191
euler 2d,pathfinder,10000,10000,elements,91525731.0,ns,9292
euler 2d,pathfinder,10000,10000,elements,92423422.0,ns,9393
euler 2d,pathfinder,10000,10000,elements,93187829.0,ns,9494
euler 2d,pathfinder,10000,10000,elements,93899032.0,ns,9595
euler 2d,pathfinder,10000,10000,elements,95325104.0,ns,9696
euler 2d,pathfinder,10000,10000,elements,96077425.0,ns,9797
euler 2d,pathfinder,10000,10000,elements,96865719.0,ns,9898
euler 2d,pathfinder,10000,10000,elements,98514950.0,ns,9999
euler 2d,pathfinder,10000,10000,elements,98801547.0,ns,10100
