group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul matrix2,nalgebra,,,,989979.0,ns,389368
matrix2 mul matrix2,nalgebra,,,,1978397.0,ns,778736
matrix2 mul matrix2,nalgebra,,,,2967363.0,ns,1168104
matrix2 mul matrix2,nalgebra,,,,4059867.0,ns,1557472
matrix2 mul matrix2,nalgebra,,,,4941171.0,ns,1946840
matrix2 mul matrix2,nalgebra,,,,5928879.0,ns,2336208
matrix2 mul matrix2,nalgebra,,,,6940172.0,ns,2725576
matrix2 mul matrix2,nalgebra,,,,7928840.0,ns,3114944
matrix2 mul matrix2,nalgebra,,,,8895372.0,ns,3504312
matrix2 mul matrix2,nalgebra,,,,9907695.0,ns,3893680
matrix2 mul matrix2,nalgebra,,,,10877112.0,ns,4283048
matrix2 mul matrix2,nalgebra,,,,11882282.0,ns,4672416
matrix2 mul matrix2,nalgebra,,,,12851549.0,ns,5061784
matrix2 mul matrix2,nalgebra,,,,13837367.0,ns,5451152
matrix2 mul matrix2,nalgebra,,,,14849452.0,ns,5840520
matrix2 mul matrix2,nalgebra,,,,15814423.0,ns,6229888
matrix2 mul matrix2,nalgebra,,,,16898742.0,ns,6619256
matrix2 mul matrix2,nalgebra,,,,17796448.0,ns,7008624
matrix2 mul matrix2,nalgebra,,,,18821801.0,ns,7397992
matrix2 mul matrix2,nalgebra,,,,19768530.0,ns,7787360
matrix2 mul matrix2,nalgebra,,,,20878755.0,ns,8176728
matrix2 mul matrix2,nalgebra,,,,21743580.0,ns,8566096
matrix2 mul matrix2,nalgebra,,,,22736067.0,ns,8955464
matrix2 mul matrix2,nalgebra,,,,23721051.0,ns,9344832
matrix2 mul matrix2,nalgebra,,,,24710904.0,ns,9734200
matrix2 mul matrix2,nalgebra,,,,25698346.0,ns,10123568
matrix2 mul matrix2,nalgebra,,,,26692666.0,ns,10512936
matrix2 mul matrix2,nalgebra,,,,27697210.0,ns,10902304
matrix2 mul matrix2,nalgebra,,,,28684702.0,ns,11291672
matrix2 mul matrix2,nalgebra,,,,29870544.0,ns,11681040
matrix2 mul matrix2,nalgebra,,,,30819397.0,ns,12070408
matrix2 mul matrix2,nalgebra,,,,31670630.0,ns,12459776
matrix2 mul matrix2,nalgebra,,,,32639952.0,ns,12849144
matrix2 mul matrix2,nalgebra,,,,33607430.0,ns,13238512
matrix2 mul matrix2,nalgebra,,,,34593674.0,ns,13627880
matrix2 mul matrix2,nalgebra,,,,35581920.0,ns,14017248
matrix2 mul matrix2,nalgebra,,,,36611519.0,ns,14406616
matrix2 mul matrix2,nalgebra,,,,37737999.0,ns,14795984
matrix2 mul matrix2,nalgebra,,,,38647137.0,ns,15185352
matrix2 mul matrix2,nalgebra,,,,39538717.0,ns,15574720
matrix2 mul matrix2,nalgebra,,,,40525507.0,ns,15964088
matrix2 mul matrix2,nalgebra,,,,41513676.0,ns,16353456
matrix2 mul matrix2,nalgebra,,,,42503812.0,ns,16742824
matrix2 mul matrix2,nalgebra,,,,43497295.0,ns,17132192
matrix2 mul matrix2,nalgebra,,,,44478018.0,ns,17521560
matrix2 mul matrix2,nalgebra,,,,45469678.0,ns,17910928
matrix2 mul matrix2,nalgebra,,,,46537007.0,ns,18300296
matrix2 mul matrix2,nalgebra,,,,47508983.0,ns,18689664
matrix2 mul matrix2,nalgebra,,,,48544176.0,ns,19079032
matrix2 mul matrix2,nalgebra,,,,49457141.0,ns,19468400
matrix2 mul matrix2,nalgebra,,,,50409897.0,ns,19857768
matrix2 mul matrix2,nalgebra,,,,51458469.0,ns,20247136
matrix2 mul matrix2,nalgebra,,,,52524346.0,ns,20636504
matrix2 mul matrix2,nalgebra,,,,53453796.0,ns,21025872
matrix2 mul matrix2,nalgebra,,,,54606073.0,ns,21415240
matrix2 mul matrix2,nalgebra,,,,55897125.0,ns,21804608
matrix2 mul matrix2,nalgebra,,,,56703134.0,ns,22193976
matrix2 mul matrix2,nalgebra,,,,57436909.0,ns,22583344
matrix2 mul matrix2,nalgebra,,,,58380132.0,ns,22972712
matrix2 mul matrix2,nalgebra,,,,59366572.0,ns,23362080
matrix2 mul matrix2,nalgebra,,,,60357608.0,ns,23751448
matrix2 mul matrix2,nalgebra,,,,61302454.0,ns,24140816
matrix2 mul matrix2,nalgebra,,,,62266910.0,ns,24530184
matrix2 mul matrix2,nalgebra,,,,63369959.0,ns,24919552
matrix2 mul matrix2,nalgebra,,,,64249510.0,ns,25308920
matrix2 mul matrix2,nalgebra,,,,65257672.0,ns,25698288
matrix2 mul matrix2,nalgebra,,,,66239694.0,ns,26087656
matrix2 mul matrix2,nalgebra,,,,67214936.0,ns,26477024
matrix2 mul matrix2,nalgebra,,,,68197991.0,ns,26866392
matrix2 mul matrix2,nalgebra,,,,69305937.0,ns,27255760
matrix2 mul matrix2,nalgebra,,,,71344484.0,ns,27645128
matrix2 mul matrix2,nalgebra,,,,71357898.0,ns,28034496
matrix2 mul matrix2,nalgebra,,,,72193478.0,ns,28423864
matrix2 mul matrix2,nalgebra,,,,73233430.0,ns,28813232
matrix2 mul matrix2,nalgebra,,,,74177823.0,ns,29202600
matrix2 mul matrix2,nalgebra,,,,75113543.0,ns,29591968
matrix2 mul matrix2,nalgebra,,,,76107488.0,ns,29981336
matrix2 mul matrix2,nalgebra,,,,77098452.0,ns,30370704
matrix2 mul matrix2,nalgebra,,,,78148775.0,ns,30760072
matrix2 mul matrix2,nalgebra,,,,79132933.0,ns,31149440
matrix2 mul matrix2,nalgebra,,,,80063518.0,ns,31538808
matrix2 mul matrix2,nalgebra,,,,81048928.0,ns,31928176
matrix2 mul matrix2,nalgebra,,,,82218936.0,ns,32317544
matrix2 mul matrix2,nalgebra,,,,83401779.0,ns,32706912
matrix2 mul matrix2,nalgebra,,,,84308306.0,ns,33096280
matrix2 mul matrix2,nalgebra,,,,85086044.0,ns,33485648
