group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul matrix2,ultraviolet,,,,1013219.0,ns,333331
matrix2 mul matrix2,ultraviolet,,,,1972040.0,ns,666662
matrix2 mul matrix2,ultraviolet,,,,2983503.0,ns,999993
matrix2 mul matrix2,ultraviolet,,,,4242932.0,ns,1333324
matrix2 mul matrix2,ultraviolet,,,,4932077.0,ns,1666655
matrix2 mul matrix2,ultraviolet,,,,5915213.0,ns,1999986
matrix2 mul matrix2,ultraviolet,,,,6918093.0,ns,2333317
matrix2 mul matrix2,ultraviolet,,,,7888039.0,ns,2666648
matrix2 mul matrix2,ultraviolet,,,,8876581.0,ns,2999979
matrix2 mul matrix2,ultraviolet,,,,9865678.0,ns,3333310
matrix2 mul matrix2,ultraviolet,,,,10843954.0,ns,3666641
matrix2 mul matrix2,ultraviolet,,,,11840049.0,ns,3999972
matrix2 mul matrix2,ultraviolet,,,,12814281.0,ns,4333303
matrix2 mul matrix2,ultraviolet,,,,13801233.0,ns,4666634
matrix2 mul matrix2,ultraviolet,,,,14790148.0,ns,4999965
matrix2 mul matrix2,ultraviolet,,,,15792559.0,ns,5333296
matrix2 mul matrix2,ultraviolet,,,,16759453.0,ns,5666627
matrix2 mul matrix2,ultraviolet,,,,17783908.0,ns,5999958
matrix2 mul matrix2,ultraviolet,,,,18731628.0,ns,6333289
matrix2 mul matrix2,ultraviolet,,,,19713646.0,ns,6666620
matrix2 mul matrix2,ultraviolet,,,,20700955.0,ns,6999951
matrix2 mul matrix2,ultraviolet,,,,21688214.0,ns,7333282
matrix2 mul matrix2,ultraviolet,,,,22672938.0,ns,7666613
matrix2 mul matrix2,ultraviolet,,,,23657134.0,ns,7999944
matrix2 mul matrix2,ultraviolet,,,,24643183.0,ns,8333275
matrix2 mul matrix2,ultraviolet,,,,25652759.0,ns,8666606
matrix2 mul matrix2,ultraviolet,,,,26614943.0,ns,8999937
matrix2 mul matrix2,ultraviolet,,,,27599624.0,ns,9333268
matrix2 mul matrix2,ultraviolet,,,,28588832.0,ns,9666599
matrix2 mul matrix2,ultraviolet,,,,29590000.0,ns,9999930
matrix2 mul matrix2,ultraviolet,,,,30556437.0,ns,10333261
matrix2 mul matrix2,ultraviolet,,,,31689520.0,ns,10666592
matrix2 mul matrix2,ultraviolet,,,,32655375.0,ns,10999923
matrix2 mul matrix2,ultraviolet,,,,33517427.0,ns,11333254
matrix2 mul matrix2,ultraviolet,,,,34520031.0,ns,11666585
matrix2 mul matrix2,ultraviolet,,,,35571176.0,ns,11999916
matrix2 mul matrix2,ultraviolet,,,,36562194.0,ns,12333247
matrix2 mul matrix2,ultraviolet,,,,37477733.0,ns,12666578
matrix2 mul matrix2,ultraviolet,,,,38438803.0,ns,12999909
matrix2 mul matrix2,ultraviolet,,,,39431068.0,ns,13333240
matrix2 mul matrix2,ultraviolet,,,,40430097.0,ns,13666571
matrix2 mul matrix2,ultraviolet,,,,41400103.0,ns,13999902
matrix2 mul matrix2,ultraviolet,,,,42402754.0,ns,14333233
matrix2 mul matrix2,ultraviolet,,,,43369996.0,ns,14666564
matrix2 mul matrix2,ultraviolet,,,,44407515.0,ns,14999895
matrix2 mul matrix2,ultraviolet,,,,45362157.0,ns,15333226
matrix2 mul matrix2,ultraviolet,,,,46353755.0,ns,15666557
matrix2 mul matrix2,ultraviolet,,,,47367800.0,ns,15999888
matrix2 mul matrix2,ultraviolet,,,,48302412.0,ns,16333219
matrix2 mul matrix2,ultraviolet,,,,49288655.0,ns,16666550
matrix2 mul matrix2,ultraviolet,,,,50270544.0,ns,16999881
matrix2 mul matrix2,ultraviolet,,,,51300852.0,ns,17333212
matrix2 mul matrix2,ultraviolet,,,,52370091.0,ns,17666543
matrix2 mul matrix2,ultraviolet,,,,53248933.0,ns,17999874
matrix2 mul matrix2,ultraviolet,,,,54344196.0,ns,18333205
matrix2 mul matrix2,ultraviolet,,,,55637330.0,ns,18666536
matrix2 mul matrix2,ultraviolet,,,,56318326.0,ns,18999867
matrix2 mul matrix2,ultraviolet,,,,57212761.0,ns,19333198
matrix2 mul matrix2,ultraviolet,,,,58238060.0,ns,19666529
matrix2 mul matrix2,ultraviolet,,,,60149292.0,ns,19999860
matrix2 mul matrix2,ultraviolet,,,,61732493.0,ns,20333191
matrix2 mul matrix2,ultraviolet,,,,62570203.0,ns,20666522
