group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul vector2,glam,100,100,elements,1109693.0,ns,4037
matrix2 mul vector2,glam,100,100,elements,2078848.0,ns,8074
matrix2 mul vector2,glam,100,100,elements,3042210.0,ns,12111
matrix2 mul vector2,glam,100,100,elements,4035265.0,ns,16148
matrix2 mul vector2,glam,100,100,elements,5008434.0,ns,20185
matrix2 mul vector2,glam,100,100,elements,6084548.0,ns,24222
matrix2 mul vector2,glam,100,100,elements,6949143.0,ns,28259
matrix2 mul vector2,glam,100,100,elements,7978112.0,ns,32296
matrix2 mul vector2,glam,100,100,elements,8937719.0,ns,36333
matrix2 mul vector2,glam,100,100,elements,10039066.0,ns,40370
matrix2 mul vector2,glam,100,100,elements,10895822.0,ns,44407
matrix2 mul vector2,glam,100,100,elements,11913204.0,ns,48444
matrix2 mul vector2,glam,100,100,elements,12891142.0,ns,52481
matrix2 mul vector2,glam,100,100,elements,14004448.0,ns,56518
matrix2 mul vector2,glam,100,100,elements,15116075.0,ns,60555
matrix2 mul vector2,glam,100,100,elements,15823183.0,ns,64592
matrix2 mul vector2,glam,100,100,elements,16801415.0,ns,68629
matrix2 mul vector2,glam,100,100,elements,17867209.0,ns,72666
matrix2 mul vector2,glam,100,100,elements,18891735.0,ns,76703
matrix2 mul vector2,glam,100,100,elements,19844050.0,ns,80740
matrix2 mul vector2,glam,100,100,elements,20925336.0,ns,84777
matrix2 mul vector2,glam,100,100,elements,21915881.0,ns,88814
matrix2 mul vector2,glam,100,100,elements,22718752.0,ns,92851
matrix2 mul vector2,glam,100,100,elements,23724812.0,ns,96888
matrix2 mul vector2,glam,100,100,elements,24848177.0,ns,100925
matrix2 mul vector2,glam,100,100,elements,25762287.0,ns,104962
matrix2 mul vector2,glam,100,100,elements,26888027.0,ns,108999
matrix2 mul vector2,glam,100,100,elements,27733338.0,ns,113036
matrix2 mul vector2,glam,100,100,elements,29059834.0,ns,117073
matrix2 mul vector2,glam,100,100,elements,29799297.0,ns,121110
matrix2 mul vector2,glam,100,100,elements,30778188.0,ns,125147
matrix2 mul vector2,glam,100,100,elements,31683342.0,ns,129184
matrix2 mul vector2,glam,100,100,elements,32831464.0,ns,133221
matrix2 mul vector2,glam,100,100,elements,36769875.0,ns,137258
matrix2 mul vector2,glam,100,100,elements,34765319.0,ns,141295
matrix2 mul vector2,glam,100,100,elements,35532797.0,ns,145332
matrix2 mul vector2,glam,100,100,elements,36579982.0,ns,149369
matrix2 mul vector2,glam,100,100,elements,37906258.0,ns,153406
matrix2 mul vector2,glam,100,100,elements,38484905.0,ns,157443
matrix2 mul vector2,glam,100,100,elements,39692284.0,ns,161480
matrix2 mul vector2,glam,100,100,elements,40486979.0,ns,165517
matrix2 mul vector2,glam,100,100,elements,41474466.0,ns,169554
matrix2 mul vector2,glam,100,100,elements,42419748.0,ns,173591
matrix2 mul vector2,glam,100,100,elements,43486674.0,ns,177628
matrix2 mul vector2,glam,100,100,elements,45182322.0,ns,181665
matrix2 mul vector2,glam,100,100,elements,45582859.0,ns,185702
matrix2 mul vector2,glam,100,100,elements,46539769.0,ns,189739
matrix2 mul vector2,glam,100,100,elements,47557264.0,ns,193776
matrix2 mul vector2,glam,100,100,elements,48738030.0,ns,197813
matrix2 mul vector2,glam,100,100,elements,49254167.0,ns,201850
matrix2 mul vector2,glam,100,100,elements,50547938.0,ns,205887
matrix2 mul vector2,glam,100,100,elements,51584953.0,ns,209924
matrix2 mul vector2,glam,100,100,elements,52282403.0,ns,213961
matrix2 mul vector2,glam,100,100,elements,53814497.0,ns,217998
matrix2 mul vector2,glam,100,100,elements,54167974.0,ns,222035
matrix2 mul vector2,glam,100,100,elements,55322917.0,ns,226072
matrix2 mul vector2,glam,100,100,elements,56304944.0,ns,230109
matrix2 mul vector2,glam,100,100,elements,57318260.0,ns,234146
matrix2 mul vector2,glam,100,100,elements,58186083.0,ns,238183
matrix2 mul vector2,glam,100,100,elements,59273768.0,ns,242220
matrix2 mul vector2,glam,100,100,elements,60352884.0,ns,246257
matrix2 mul vector2,glam,100,100,elements,61214611.0,ns,250294
matrix2 mul vector2,glam,100,100,elements,62097720.0,ns,254331
matrix2 mul vector2,glam,100,100,elements,63072026.0,ns,258368
matrix2 mul vector2,glam,100,100,elements,64623522.0,ns,262405
matrix2 mul vector2,glam,100,100,elements,65390408.0,ns,266442
matrix2 mul vector2,glam,100,100,elements,66097694.0,ns,270479
matrix2 mul vector2,glam,100,100,elements,66922925.0,ns,274516
matrix2 mul vector2,glam,100,100,elements,68059383.0,ns,278553
matrix2 mul vector2,glam,100,100,elements,69471418.0,ns,282590
matrix2 mul vector2,glam,100,100,elements,70472107.0,ns,286627
matrix2 mul vector2,glam,100,100,elements,71337983.0,ns,290664
matrix2 mul vector2,glam,100,100,elements,72614642.0,ns,294701
matrix2 mul vector2,glam,100,100,elements,73157615.0,ns,298738
matrix2 mul vector2,glam,100,100,elements,74468442.0,ns,302775
matrix2 mul vector2,glam,100,100,elements,75630432.0,ns,306812
matrix2 mul vector2,glam,100,100,elements,76055274.0,ns,310849
matrix2 mul vector2,glam,100,100,elements,77195913.0,ns,314886
matrix2 mul vector2,glam,100,100,elements,78050402.0,ns,318923
matrix2 mul vector2,glam,100,100,elements,79032970.0,ns,322960
matrix2 mul vector2,glam,100,100,elements,80115111.0,ns,326997
matrix2 mul vector2,glam,100,100,elements,81784147.0,ns,331034
matrix2 mul vector2,glam,100,100,elements,82523664.0,ns,335071
matrix2 mul vector2,glam,100,100,elements,83177700.0,ns,339108
matrix2 mul vector2,glam,100,100,elements,84427869.0,ns,343145
matrix2 mul vector2,glam,100,100,elements,85051393.0,ns,347182
matrix2 mul vector2,glam,100,100,elements,86055471.0,ns,351219
matrix2 mul vector2,glam,100,100,elements,87328989.0,ns,355256
matrix2 mul vector2,glam,100,100,elements,88061339.0,ns,359293
matrix2 mul vector2,glam,100,100,elements,88676014.0,ns,363330
matrix2 mul vector2,glam,100,100,elements,89989558.0,ns,367367
matrix2 mul vector2,glam,100,100,elements,91124269.0,ns,371404
matrix2 mul vector2,glam,100,100,elements,91798301.0,ns,375441
matrix2 mul vector2,glam,100,100,elements,92937847.0,ns,379478
matrix2 mul vector2,glam,100,100,elements,94120081.0,ns,383515
matrix2 mul vector2,glam,100,100,elements,94932225.0,ns,387552
matrix2 mul vector2,glam,100,100,elements,95752054.0,ns,391589
matrix2 mul vector2,glam,100,100,elements,96992964.0,ns,395626
matrix2 mul vector2,glam,100,100,elements,98015817.0,ns,399663
matrix2 mul vector2,glam,100,100,elements,98945702.0,ns,403700
