group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 mul vector2,pathfinder,100,100,elements,1125505.0,ns,4547
matrix2 mul vector2,pathfinder,100,100,elements,2108130.0,ns,9094
matrix2 mul vector2,pathfinder,100,100,elements,3103475.0,ns,13641
matrix2 mul vector2,pathfinder,100,100,elements,4128824.0,ns,18188
matrix2 mul vector2,pathfinder,100,100,elements,5090461.0,ns,22735
matrix2 mul vector2,pathfinder,100,100,elements,6060820.0,ns,27282
matrix2 mul vector2,pathfinder,100,100,elements,7100615.0,ns,31829
matrix2 mul vector2,pathfinder,100,100,elements,8055721.0,ns,36376
matrix2 mul vector2,pathfinder,100,100,elements,9068064.0,ns,40923
matrix2 mul vector2,pathfinder,100,100,elements,10054257.0,ns,45470
matrix2 mul vector2,pathfinder,100,100,elements,11139800.0,ns,50017
matrix2 mul vector2,pathfinder,100,100,elements,12070573.0,ns,54564
matrix2 mul vector2,pathfinder,100,100,elements,13002797.0,ns,59111
matrix2 mul vector2,pathfinder,100,100,elements,14059521.0,ns,63658
matrix2 mul vector2,pathfinder,100,100,elements,14999649.0,ns,68205
matrix2 mul vector2,pathfinder,100,100,elements,16019252.0,ns,72752
matrix2 mul vector2,pathfinder,100,100,elements,17015402.0,ns,77299
matrix2 mul vector2,pathfinder,100,100,elements,17958192.0,ns,81846
matrix2 mul vector2,pathfinder,100,100,elements,18947830.0,ns,86393
matrix2 mul vector2,pathfinder,100,100,elements,19904660.0,ns,90940
matrix2 mul vector2,pathfinder,100,100,elements,20907407.0,ns,95487
matrix2 mul vector2,pathfinder,100,100,elements,22056473.0,ns,100034
matrix2 mul vector2,pathfinder,100,100,elements,22870402.0,ns,104581
matrix2 mul vector2,pathfinder,100,100,elements,23946997.0,ns,109128
matrix2 mul vector2,pathfinder,100,100,elements,24932435.0,ns,113675
matrix2 mul vector2,pathfinder,100,100,elements,25858599.0,ns,118222
matrix2 mul vector2,pathfinder,100,100,elements,26945291.0,ns,122769
matrix2 mul vector2,pathfinder,100,100,elements,27881717.0,ns,127316
matrix2 mul vector2,pathfinder,100,100,elements,28867057.0,ns,131863
matrix2 mul vector2,pathfinder,100,100,elements,29848610.0,ns,136410
matrix2 mul vector2,pathfinder,100,100,elements,30983434.0,ns,140957
matrix2 mul vector2,pathfinder,100,100,elements,31965548.0,ns,145504
matrix2 mul vector2,pathfinder,100,100,elements,32890523.0,ns,150051
matrix2 mul vector2,pathfinder,100,100,elements,33928288.0,ns,154598
matrix2 mul vector2,pathfinder,100,100,elements,34806806.0,ns,159145
matrix2 mul vector2,pathfinder,100,100,elements,35807987.0,ns,163692
matrix2 mul vector2,pathfinder,100,100,elements,36725791.0,ns,168239
matrix2 mul vector2,pathfinder,100,100,elements,37733420.0,ns,172786
matrix2 mul vector2,pathfinder,100,100,elements,38746641.0,ns,177333
matrix2 mul vector2,pathfinder,100,100,elements,39715404.0,ns,181880
matrix2 mul vector2,pathfinder,100,100,elements,40680528.0,ns,186427
matrix2 mul vector2,pathfinder,100,100,elements,41866175.0,ns,190974
matrix2 mul vector2,pathfinder,100,100,elements,42729931.0,ns,195521
matrix2 mul vector2,pathfinder,100,100,elements,43639391.0,ns,200068
matrix2 mul vector2,pathfinder,100,100,elements,44693443.0,ns,204615
matrix2 mul vector2,pathfinder,100,100,elements,45659523.0,ns,209162
matrix2 mul vector2,pathfinder,100,100,elements,46661017.0,ns,213709
matrix2 mul vector2,pathfinder,100,100,elements,47609205.0,ns,218256
matrix2 mul vector2,pathfinder,100,100,elements,48729924.0,ns,222803
matrix2 mul vector2,pathfinder,100,100,elements,49601269.0,ns,227350
matrix2 mul vector2,pathfinder,100,100,elements,50500006.0,ns,231897
matrix2 mul vector2,pathfinder,100,100,elements,51656324.0,ns,236444
matrix2 mul vector2,pathfinder,100,100,elements,52539220.0,ns,240991
matrix2 mul vector2,pathfinder,100,100,elements,53578578.0,ns,245538
matrix2 mul vector2,pathfinder,100,100,elements,54565815.0,ns,250085
matrix2 mul vector2,pathfinder,100,100,elements,55786777.0,ns,254632
matrix2 mul vector2,pathfinder,100,100,elements,56610041.0,ns,259179
matrix2 mul vector2,pathfinder,100,100,elements,57668172.0,ns,263726
matrix2 mul vector2,pathfinder,100,100,elements,58608801.0,ns,268273
matrix2 mul vector2,pathfinder,100,100,elements,59638103.0,ns,272820
matrix2 mul vector2,pathfinder,100,100,elements,60624829.0,ns,277367
matrix2 mul vector2,pathfinder,100,100,elements,61817553.0,ns,281914
matrix2 mul vector2,pathfinder,100,100,elements,62699389.0,ns,286461
matrix2 mul vector2,pathfinder,100,100,elements,63439821.0,ns,291008
matrix2 mul vector2,pathfinder,100,100,elements,64511076.0,ns,295555
