group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 return self,static-math,,,,990271.0,ns,381787
matrix2 return self,static-math,,,,1973289.0,ns,763574
matrix2 return self,static-math,,,,2962216.0,ns,1145361
matrix2 return self,static-math,,,,3968283.0,ns,1527148
matrix2 return self,static-math,,,,5230885.0,ns,1908935
matrix2 return self,static-math,,,,5924826.0,ns,2290722
matrix2 return self,static-math,,,,7365145.0,ns,2672509
matrix2 return self,static-math,,,,8081551.0,ns,3054296
matrix2 return self,static-math,,,,9319436.0,ns,3436083
matrix2 return self,static-math,,,,10012525.0,ns,3817870
matrix2 return self,static-math,,,,10918114.0,ns,4199657
matrix2 return self,static-math,,,,11939034.0,ns,4581444
matrix2 return self,static-math,,,,12856869.0,ns,4963231
matrix2 return self,static-math,,,,13842513.0,ns,5345018
matrix2 return self,static-math,,,,14809172.0,ns,5726805
matrix2 return self,static-math,,,,15797420.0,ns,6108592
matrix2 return self,static-math,,,,16782602.0,ns,6490379
matrix2 return self,static-math,,,,17872886.0,ns,6872166
matrix2 return self,static-math,,,,18814878.0,ns,7253953
matrix2 return self,static-math,,,,19764854.0,ns,7635740
matrix2 return self,static-math,,,,20735378.0,ns,8017527
matrix2 return self,static-math,,,,21717930.0,ns,8399314
matrix2 return self,static-math,,,,22808405.0,ns,8781101
matrix2 return self,static-math,,,,23781953.0,ns,9162888
matrix2 return self,static-math,,,,24767912.0,ns,9544675
matrix2 return self,static-math,,,,25667457.0,ns,9926462
matrix2 return self,static-math,,,,26674438.0,ns,10308249
matrix2 return self,static-math,,,,27643799.0,ns,10690036
matrix2 return self,static-math,,,,28628956.0,ns,11071823
matrix2 return self,static-math,,,,29618699.0,ns,11453610
matrix2 return self,static-math,,,,30622268.0,ns,11835397
matrix2 return self,static-math,,,,31632643.0,ns,12217184
matrix2 return self,static-math,,,,32600239.0,ns,12598971
matrix2 return self,static-math,,,,33608002.0,ns,12980758
matrix2 return self,static-math,,,,35077695.0,ns,13362545
matrix2 return self,static-math,,,,35971400.0,ns,13744332
matrix2 return self,static-math,,,,36640170.0,ns,14126119
matrix2 return self,static-math,,,,37511751.0,ns,14507906
matrix2 return self,static-math,,,,38523454.0,ns,14889693
matrix2 return self,static-math,,,,39552249.0,ns,15271480
matrix2 return self,static-math,,,,40480959.0,ns,15653267
matrix2 return self,static-math,,,,41526321.0,ns,16035054
matrix2 return self,static-math,,,,42522922.0,ns,16416841
matrix2 return self,static-math,,,,43458091.0,ns,16798628
matrix2 return self,static-math,,,,44467079.0,ns,17180415
matrix2 return self,static-math,,,,45433800.0,ns,17562202
matrix2 return self,static-math,,,,46654424.0,ns,17943989
matrix2 return self,static-math,,,,47525213.0,ns,18325776
matrix2 return self,static-math,,,,48906232.0,ns,18707563
matrix2 return self,static-math,,,,49850255.0,ns,19089350
matrix2 return self,static-math,,,,50392315.0,ns,19471137
matrix2 return self,static-math,,,,51335628.0,ns,19852924
matrix2 return self,static-math,,,,52322237.0,ns,20234711
matrix2 return self,static-math,,,,53511826.0,ns,20616498
matrix2 return self,static-math,,,,54317356.0,ns,20998285
matrix2 return self,static-math,,,,55287523.0,ns,21380072
matrix2 return self,static-math,,,,56312195.0,ns,21761859
matrix2 return self,static-math,,,,57279764.0,ns,22143646
matrix2 return self,static-math,,,,58246130.0,ns,22525433
matrix2 return self,static-math,,,,59778181.0,ns,22907220
matrix2 return self,static-math,,,,60572569.0,ns,23289007
matrix2 return self,static-math,,,,61229098.0,ns,23670794
