group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 return self,ultraviolet,,,,987058.0,ns,381371
matrix2 return self,ultraviolet,,,,1976952.0,ns,762742
matrix2 return self,ultraviolet,,,,2963865.0,ns,1144113
matrix2 return self,ultraviolet,,,,4032328.0,ns,1525484
matrix2 return self,ultraviolet,,,,5545068.0,ns,1906855
matrix2 return self,ultraviolet,,,,6198274.0,ns,2288226
matrix2 return self,ultraviolet,,,,7259420.0,ns,2669597
matrix2 return self,ultraviolet,,,,8234776.0,ns,3050968
matrix2 return self,ultraviolet,,,,9110755.0,ns,3432339
matrix2 return self,ultraviolet,,,,9948271.0,ns,3813710
matrix2 return self,ultraviolet,,,,10922382.0,ns,4195081
matrix2 return self,ultraviolet,,,,11871890.0,ns,4576452
matrix2 return self,ultraviolet,,,,12838188.0,ns,4957823
matrix2 return self,ultraviolet,,,,13827257.0,ns,5339194
matrix2 return self,ultraviolet,,,,14855132.0,ns,5720565
matrix2 return self,ultraviolet,,,,15841983.0,ns,6101936
matrix2 return self,ultraviolet,,,,16807571.0,ns,6483307
matrix2 return self,ultraviolet,,,,17795218.0,ns,6864678
matrix2 return self,ultraviolet,,,,18785414.0,ns,7246049
matrix2 return self,ultraviolet,,,,19751729.0,ns,7627420
matrix2 return self,ultraviolet,,,,20778031.0,ns,8008791
matrix2 return self,ultraviolet,,,,21751271.0,ns,8390162
matrix2 return self,ultraviolet,,,,22753608.0,ns,8771533
matrix2 return self,ultraviolet,,,,23786449.0,ns,9152904
matrix2 return self,ultraviolet,,,,24712180.0,ns,9534275
matrix2 return self,ultraviolet,,,,25719528.0,ns,9915646
matrix2 return self,ultraviolet,,,,26707318.0,ns,10297017
matrix2 return self,ultraviolet,,,,27651810.0,ns,10678388
matrix2 return self,ultraviolet,,,,28640506.0,ns,11059759
matrix2 return self,ultraviolet,,,,29625986.0,ns,11441130
matrix2 return self,ultraviolet,,,,30724713.0,ns,11822501
matrix2 return self,ultraviolet,,,,31738203.0,ns,12203872
matrix2 return self,ultraviolet,,,,32649945.0,ns,12585243
matrix2 return self,ultraviolet,,,,33579703.0,ns,12966614
matrix2 return self,ultraviolet,,,,35204483.0,ns,13347985
matrix2 return self,ultraviolet,,,,35674068.0,ns,13729356
matrix2 return self,ultraviolet,,,,36562298.0,ns,14110727
matrix2 return self,ultraviolet,,,,37567665.0,ns,14492098
matrix2 return self,ultraviolet,,,,38539481.0,ns,14873469
matrix2 return self,ultraviolet,,,,39587383.0,ns,15254840
matrix2 return self,ultraviolet,,,,40754644.0,ns,15636211
matrix2 return self,ultraviolet,,,,41495268.0,ns,16017582
matrix2 return self,ultraviolet,,,,42548715.0,ns,16398953
matrix2 return self,ultraviolet,,,,43475203.0,ns,16780324
matrix2 return self,ultraviolet,,,,44526602.0,ns,17161695
matrix2 return self,ultraviolet,,,,45472852.0,ns,17543066
matrix2 return self,ultraviolet,,,,46415130.0,ns,17924437
matrix2 return self,ultraviolet,,,,47442224.0,ns,18305808
matrix2 return self,ultraviolet,,,,48561336.0,ns,18687179
matrix2 return self,ultraviolet,,,,50062927.0,ns,19068550
matrix2 return self,ultraviolet,,,,50649235.0,ns,19449921
matrix2 return self,ultraviolet,,,,51515272.0,ns,19831292
matrix2 return self,ultraviolet,,,,52491766.0,ns,20212663
matrix2 return self,ultraviolet,,,,53349157.0,ns,20594034
matrix2 return self,ultraviolet,,,,54379270.0,ns,20975405
matrix2 return self,ultraviolet,,,,55303428.0,ns,21356776
matrix2 return self,ultraviolet,,,,56654429.0,ns,21738147
matrix2 return self,ultraviolet,,,,57319654.0,ns,22119518
matrix2 return self,ultraviolet,,,,58265358.0,ns,22500889
matrix2 return self,ultraviolet,,,,59439041.0,ns,22882260
matrix2 return self,ultraviolet,,,,61021361.0,ns,23263631
matrix2 return self,ultraviolet,,,,61288420.0,ns,23645002
matrix2 return self,ultraviolet,,,,62267433.0,ns,24026373
matrix2 return self,ultraviolet,,,,63282655.0,ns,24407744
matrix2 return self,ultraviolet,,,,64191893.0,ns,24789115
matrix2 return self,ultraviolet,,,,65176901.0,ns,25170486
matrix2 return self,ultraviolet,,,,66167132.0,ns,25551857
matrix2 return self,ultraviolet,,,,67402359.0,ns,25933228
matrix2 return self,ultraviolet,,,,68224476.0,ns,26314599
matrix2 return self,ultraviolet,,,,70261090.0,ns,26695970
matrix2 return self,ultraviolet,,,,70160675.0,ns,27077341
matrix2 return self,ultraviolet,,,,71144615.0,ns,27458712
matrix2 return self,ultraviolet,,,,72115912.0,ns,27840083
matrix2 return self,ultraviolet,,,,73122558.0,ns,28221454
matrix2 return self,ultraviolet,,,,74065693.0,ns,28602825
matrix2 return self,ultraviolet,,,,75055324.0,ns,28984196
matrix2 return self,ultraviolet,,,,76141778.0,ns,29365567
matrix2 return self,ultraviolet,,,,78066761.0,ns,29746938
matrix2 return self,ultraviolet,,,,78103302.0,ns,30128309
matrix2 return self,ultraviolet,,,,79175829.0,ns,30509680
matrix2 return self,ultraviolet,,,,80487180.0,ns,30891051
matrix2 return self,ultraviolet,,,,81936853.0,ns,31272422
matrix2 return self,ultraviolet,,,,82014289.0,ns,31653793
matrix2 return self,ultraviolet,,,,83016684.0,ns,32035164
matrix2 return self,ultraviolet,,,,84646900.0,ns,32416535
matrix2 return self,ultraviolet,,,,85130434.0,ns,32797906
matrix2 return self,ultraviolet,,,,85979744.0,ns,33179277
matrix2 return self,ultraviolet,,,,86901509.0,ns,33560648
matrix2 return self,ultraviolet,,,,87932668.0,ns,33942019
matrix2 return self,ultraviolet,,,,89382747.0,ns,34323390
matrix2 return self,ultraviolet,,,,89926509.0,ns,34704761
matrix2 return self,ultraviolet,,,,91639229.0,ns,35086132
matrix2 return self,ultraviolet,,,,91968294.0,ns,35467503
matrix2 return self,ultraviolet,,,,92911904.0,ns,35848874
matrix2 return self,ultraviolet,,,,94031829.0,ns,36230245
matrix2 return self,ultraviolet,,,,94803818.0,ns,36611616
matrix2 return self,ultraviolet,,,,95904967.0,ns,36992987
matrix2 return self,ultraviolet,,,,96963862.0,ns,37374358
matrix2 return self,ultraviolet,,,,98865211.0,ns,37755729
matrix2 return self,ultraviolet,,,,98964368.0,ns,38137100
