group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix2 transpose,nalgebra,,,,985470.0,ns,422146
matrix2 transpose,nalgebra,,,,1973865.0,ns,844292
matrix2 transpose,nalgebra,,,,2959071.0,ns,1266438
matrix2 transpose,nalgebra,,,,3958424.0,ns,1688584
matrix2 transpose,nalgebra,,,,5210602.0,ns,2110730
matrix2 transpose,nalgebra,,,,5912983.0,ns,2532876
matrix2 transpose,nalgebra,,,,7424473.0,ns,2955022
matrix2 transpose,nalgebra,,,,8127235.0,ns,3377168
matrix2 transpose,nalgebra,,,,9317148.0,ns,3799314
matrix2 transpose,nalgebra,,,,10006790.0,ns,4221460
matrix2 transpose,nalgebra,,,,10946786.0,ns,4643606
matrix2 transpose,nalgebra,,,,11892399.0,ns,5065752
matrix2 transpose,nalgebra,,,,12818983.0,ns,5487898
matrix2 transpose,nalgebra,,,,13803280.0,ns,5910044
matrix2 transpose,nalgebra,,,,14791363.0,ns,6332190
matrix2 transpose,nalgebra,,,,15774762.0,ns,6754336
matrix2 transpose,nalgebra,,,,16760752.0,ns,7176482
matrix2 transpose,nalgebra,,,,17747824.0,ns,7598628
matrix2 transpose,nalgebra,,,,18729846.0,ns,8020774
matrix2 transpose,nalgebra,,,,19718517.0,ns,8442920
matrix2 transpose,nalgebra,,,,20706967.0,ns,8865066
matrix2 transpose,nalgebra,,,,21686533.0,ns,9287212
matrix2 transpose,nalgebra,,,,22784256.0,ns,9709358
matrix2 transpose,nalgebra,,,,23740972.0,ns,10131504
matrix2 transpose,nalgebra,,,,24649331.0,ns,10553650
matrix2 transpose,nalgebra,,,,25637464.0,ns,10975796
matrix2 transpose,nalgebra,,,,26615912.0,ns,11397942
matrix2 transpose,nalgebra,,,,27610179.0,ns,11820088
matrix2 transpose,nalgebra,,,,28588234.0,ns,12242234
matrix2 transpose,nalgebra,,,,29596229.0,ns,12664380
matrix2 transpose,nalgebra,,,,30564247.0,ns,13086526
matrix2 transpose,nalgebra,,,,31543108.0,ns,13508672
matrix2 transpose,nalgebra,,,,32553101.0,ns,13930818
matrix2 transpose,nalgebra,,,,33540284.0,ns,14352964
matrix2 transpose,nalgebra,,,,35035881.0,ns,14775110
matrix2 transpose,nalgebra,,,,35769725.0,ns,15197256
matrix2 transpose,nalgebra,,,,36473851.0,ns,15619402
matrix2 transpose,nalgebra,,,,37507675.0,ns,16041548
matrix2 transpose,nalgebra,,,,38448244.0,ns,16463694
matrix2 transpose,nalgebra,,,,39433500.0,ns,16885840
matrix2 transpose,nalgebra,,,,40608998.0,ns,17307986
matrix2 transpose,nalgebra,,,,41613649.0,ns,17730132
matrix2 transpose,nalgebra,,,,42547659.0,ns,18152278
matrix2 transpose,nalgebra,,,,43401662.0,ns,18574424
