group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 determinant,static-math,,,,988495.0,ns,288120
matrix3 determinant,static-math,,,,1977247.0,ns,576240
matrix3 determinant,static-math,,,,2967619.0,ns,864360
matrix3 determinant,static-math,,,,4094391.0,ns,1152480
matrix3 determinant,static-math,,,,4945750.0,ns,1440600
matrix3 determinant,static-math,,,,5935318.0,ns,1728720
matrix3 determinant,static-math,,,,6944566.0,ns,2016840
matrix3 determinant,static-math,,,,7932688.0,ns,2304960
matrix3 determinant,static-math,,,,8906203.0,ns,2593080
matrix3 determinant,static-math,,,,9912384.0,ns,2881200
matrix3 determinant,static-math,,,,10877985.0,ns,3169320
matrix3 determinant,static-math,,,,11888496.0,ns,3457440
matrix3 determinant,static-math,,,,12882327.0,ns,3745560
matrix3 determinant,static-math,,,,13846220.0,ns,4033680
matrix3 determinant,static-math,,,,14861293.0,ns,4321800
matrix3 determinant,static-math,,,,15825898.0,ns,4609920
matrix3 determinant,static-math,,,,16815568.0,ns,4898040
matrix3 determinant,static-math,,,,17825047.0,ns,5186160
matrix3 determinant,static-math,,,,18793574.0,ns,5474280
matrix3 determinant,static-math,,,,19783318.0,ns,5762400
matrix3 determinant,static-math,,,,20767761.0,ns,6050520
matrix3 determinant,static-math,,,,21757026.0,ns,6338640
matrix3 determinant,static-math,,,,22748901.0,ns,6626760
matrix3 determinant,static-math,,,,23735847.0,ns,6914880
matrix3 determinant,static-math,,,,24923712.0,ns,7203000
matrix3 determinant,static-math,,,,25897313.0,ns,7491120
matrix3 determinant,static-math,,,,26727921.0,ns,7779240
matrix3 determinant,static-math,,,,27810814.0,ns,8067360
matrix3 determinant,static-math,,,,28858786.0,ns,8355480
matrix3 determinant,static-math,,,,29842901.0,ns,8643600
matrix3 determinant,static-math,,,,30740277.0,ns,8931720
matrix3 determinant,static-math,,,,31697563.0,ns,9219840
matrix3 determinant,static-math,,,,32663368.0,ns,9507960
matrix3 determinant,static-math,,,,33723113.0,ns,9796080
matrix3 determinant,static-math,,,,34637223.0,ns,10084200
matrix3 determinant,static-math,,,,35606538.0,ns,10372320
matrix3 determinant,static-math,,,,36589475.0,ns,10660440
matrix3 determinant,static-math,,,,37607094.0,ns,10948560
matrix3 determinant,static-math,,,,38681401.0,ns,11236680
matrix3 determinant,static-math,,,,39589122.0,ns,11524800
matrix3 determinant,static-math,,,,40589347.0,ns,11812920
matrix3 determinant,static-math,,,,41541201.0,ns,12101040
matrix3 determinant,static-math,,,,42569599.0,ns,12389160
matrix3 determinant,static-math,,,,43611836.0,ns,12677280
matrix3 determinant,static-math,,,,44543867.0,ns,12965400
matrix3 determinant,static-math,,,,45540982.0,ns,13253520
matrix3 determinant,static-math,,,,46620518.0,ns,13541640
matrix3 determinant,static-math,,,,47621547.0,ns,13829760
matrix3 determinant,static-math,,,,48630445.0,ns,14117880
matrix3 determinant,static-math,,,,49548810.0,ns,14406000
matrix3 determinant,static-math,,,,50442216.0,ns,14694120
matrix3 determinant,static-math,,,,51489474.0,ns,14982240
matrix3 determinant,static-math,,,,52460991.0,ns,15270360
matrix3 determinant,static-math,,,,53411865.0,ns,15558480
matrix3 determinant,static-math,,,,54394876.0,ns,15846600
matrix3 determinant,static-math,,,,55385483.0,ns,16134720
matrix3 determinant,static-math,,,,56378744.0,ns,16422840
matrix3 determinant,static-math,,,,57363033.0,ns,16710960
matrix3 determinant,static-math,,,,58357086.0,ns,16999080
matrix3 determinant,static-math,,,,59433766.0,ns,17287200
matrix3 determinant,static-math,,,,60975654.0,ns,17575320
matrix3 determinant,static-math,,,,61781340.0,ns,17863440
matrix3 determinant,static-math,,,,62495978.0,ns,18151560
matrix3 determinant,static-math,,,,63381059.0,ns,18439680
matrix3 determinant,static-math,,,,64357825.0,ns,18727800
matrix3 determinant,static-math,,,,65697020.0,ns,19015920
matrix3 determinant,static-math,,,,66355870.0,ns,19304040
matrix3 determinant,static-math,,,,67274424.0,ns,19592160
matrix3 determinant,static-math,,,,68304423.0,ns,19880280
matrix3 determinant,static-math,,,,69342959.0,ns,20168400
matrix3 determinant,static-math,,,,70224573.0,ns,20456520
matrix3 determinant,static-math,,,,71211562.0,ns,20744640
matrix3 determinant,static-math,,,,72204635.0,ns,21032760
matrix3 determinant,static-math,,,,73305750.0,ns,21320880
matrix3 determinant,static-math,,,,74332567.0,ns,21609000
matrix3 determinant,static-math,,,,75164416.0,ns,21897120
matrix3 determinant,static-math,,,,76158129.0,ns,22185240
matrix3 determinant,static-math,,,,78131882.0,ns,22473360
matrix3 determinant,static-math,,,,78244211.0,ns,22761480
matrix3 determinant,static-math,,,,79582311.0,ns,23049600
matrix3 determinant,static-math,,,,80178410.0,ns,23337720
matrix3 determinant,static-math,,,,81286290.0,ns,23625840
matrix3 determinant,static-math,,,,82141798.0,ns,23913960
matrix3 determinant,static-math,,,,83080760.0,ns,24202080
matrix3 determinant,static-math,,,,84072094.0,ns,24490200
matrix3 determinant,static-math,,,,85062032.0,ns,24778320
matrix3 determinant,static-math,,,,86086323.0,ns,25066440
matrix3 determinant,static-math,,,,87041178.0,ns,25354560
matrix3 determinant,static-math,,,,88027755.0,ns,25642680
matrix3 determinant,static-math,,,,89050052.0,ns,25930800
matrix3 determinant,static-math,,,,90123290.0,ns,26218920
matrix3 determinant,static-math,,,,91040046.0,ns,26507040
matrix3 determinant,static-math,,,,92000959.0,ns,26795160
matrix3 determinant,static-math,,,,93076682.0,ns,27083280
matrix3 determinant,static-math,,,,94241236.0,ns,27371400
matrix3 determinant,static-math,,,,94943446.0,ns,27659520
matrix3 determinant,static-math,,,,95935061.0,ns,27947640
matrix3 determinant,static-math,,,,96972706.0,ns,28235760
matrix3 determinant,static-math,,,,97954829.0,ns,28523880
matrix3 determinant,static-math,,,,98905201.0,ns,28812000
