group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 mul vector3,ultraviolet,1,1,elements,988313.0,ns,228507
matrix3 mul vector3,ultraviolet,1,1,elements,1977173.0,ns,457014
matrix3 mul vector3,ultraviolet,1,1,elements,2966652.0,ns,685521
matrix3 mul vector3,ultraviolet,1,1,elements,4057890.0,ns,914028
matrix3 mul vector3,ultraviolet,1,1,elements,4945481.0,ns,1142535
matrix3 mul vector3,ultraviolet,1,1,elements,5932632.0,ns,1371042
matrix3 mul vector3,ultraviolet,1,1,elements,6949255.0,ns,1599549
matrix3 mul vector3,ultraviolet,1,1,elements,7935649.0,ns,1828056
matrix3 mul vector3,ultraviolet,1,1,elements,8902622.0,ns,2056563
matrix3 mul vector3,ultraviolet,1,1,elements,9909310.0,ns,2285070
matrix3 mul vector3,ultraviolet,1,1,elements,10924508.0,ns,2513577
matrix3 mul vector3,ultraviolet,1,1,elements,11863992.0,ns,2742084
matrix3 mul vector3,ultraviolet,1,1,elements,12857140.0,ns,2970591
matrix3 mul vector3,ultraviolet,1,1,elements,13862325.0,ns,3199098
matrix3 mul vector3,ultraviolet,1,1,elements,14854003.0,ns,3427605
matrix3 mul vector3,ultraviolet,1,1,elements,15826797.0,ns,3656112
matrix3 mul vector3,ultraviolet,1,1,elements,16811411.0,ns,3884619
matrix3 mul vector3,ultraviolet,1,1,elements,17824359.0,ns,4113126
matrix3 mul vector3,ultraviolet,1,1,elements,18796753.0,ns,4341633
matrix3 mul vector3,ultraviolet,1,1,elements,19774549.0,ns,4570140
matrix3 mul vector3,ultraviolet,1,1,elements,20760005.0,ns,4798647
matrix3 mul vector3,ultraviolet,1,1,elements,21778806.0,ns,5027154
matrix3 mul vector3,ultraviolet,1,1,elements,22829429.0,ns,5255661
matrix3 mul vector3,ultraviolet,1,1,elements,23730132.0,ns,5484168
matrix3 mul vector3,ultraviolet,1,1,elements,24752995.0,ns,5712675
matrix3 mul vector3,ultraviolet,1,1,elements,25735740.0,ns,5941182
matrix3 mul vector3,ultraviolet,1,1,elements,26714109.0,ns,6169689
matrix3 mul vector3,ultraviolet,1,1,elements,27685947.0,ns,6398196
matrix3 mul vector3,ultraviolet,1,1,elements,28682389.0,ns,6626703
matrix3 mul vector3,ultraviolet,1,1,elements,29672766.0,ns,6855210
matrix3 mul vector3,ultraviolet,1,1,elements,30681055.0,ns,7083717
matrix3 mul vector3,ultraviolet,1,1,elements,31655284.0,ns,7312224
matrix3 mul vector3,ultraviolet,1,1,elements,32656656.0,ns,7540731
matrix3 mul vector3,ultraviolet,1,1,elements,33629998.0,ns,7769238
matrix3 mul vector3,ultraviolet,1,1,elements,34608523.0,ns,7997745
matrix3 mul vector3,ultraviolet,1,1,elements,35588537.0,ns,8226252
matrix3 mul vector3,ultraviolet,1,1,elements,36633316.0,ns,8454759
matrix3 mul vector3,ultraviolet,1,1,elements,37580915.0,ns,8683266
matrix3 mul vector3,ultraviolet,1,1,elements,38639881.0,ns,8911773
matrix3 mul vector3,ultraviolet,1,1,elements,39554152.0,ns,9140280
matrix3 mul vector3,ultraviolet,1,1,elements,40575831.0,ns,9368787
matrix3 mul vector3,ultraviolet,1,1,elements,41532034.0,ns,9597294
matrix3 mul vector3,ultraviolet,1,1,elements,42519995.0,ns,9825801
matrix3 mul vector3,ultraviolet,1,1,elements,43496330.0,ns,10054308
matrix3 mul vector3,ultraviolet,1,1,elements,44525889.0,ns,10282815
matrix3 mul vector3,ultraviolet,1,1,elements,45553882.0,ns,10511322
matrix3 mul vector3,ultraviolet,1,1,elements,46518527.0,ns,10739829
matrix3 mul vector3,ultraviolet,1,1,elements,47469250.0,ns,10968336
matrix3 mul vector3,ultraviolet,1,1,elements,48451367.0,ns,11196843
matrix3 mul vector3,ultraviolet,1,1,elements,49606178.0,ns,11425350
matrix3 mul vector3,ultraviolet,1,1,elements,50501252.0,ns,11653857
matrix3 mul vector3,ultraviolet,1,1,elements,51494303.0,ns,11882364
matrix3 mul vector3,ultraviolet,1,1,elements,52424411.0,ns,12110871
matrix3 mul vector3,ultraviolet,1,1,elements,53388004.0,ns,12339378
matrix3 mul vector3,ultraviolet,1,1,elements,54402196.0,ns,12567885
matrix3 mul vector3,ultraviolet,1,1,elements,55374468.0,ns,12796392
matrix3 mul vector3,ultraviolet,1,1,elements,56416207.0,ns,13024899
matrix3 mul vector3,ultraviolet,1,1,elements,57390397.0,ns,13253406
matrix3 mul vector3,ultraviolet,1,1,elements,58389152.0,ns,13481913
