group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 return self,nalgebra,,,,1105134.0,ns,204440
matrix3 return self,nalgebra,,,,2090984.0,ns,408880
matrix3 return self,nalgebra,,,,3073775.0,ns,613320
matrix3 return self,nalgebra,,,,4193482.0,ns,817760
matrix3 return self,nalgebra,,,,5055719.0,ns,1022200
matrix3 return self,nalgebra,,,,6019106.0,ns,1226640
matrix3 return self,nalgebra,,,,7023913.0,ns,1431080
matrix3 return self,nalgebra,,,,8003434.0,ns,1635520
matrix3 return self,nalgebra,,,,8973128.0,ns,1839960
matrix3 return self,nalgebra,,,,9972877.0,ns,2044400
matrix3 return self,nalgebra,,,,10954088.0,ns,2248840
matrix3 return self,nalgebra,,,,11923825.0,ns,2453280
matrix3 return self,nalgebra,,,,12900398.0,ns,2657720
matrix3 return self,nalgebra,,,,13967115.0,ns,2862160
matrix3 return self,nalgebra,,,,14904876.0,ns,3066600
matrix3 return self,nalgebra,,,,15845852.0,ns,3271040
matrix3 return self,nalgebra,,,,16892500.0,ns,3475480
matrix3 return self,nalgebra,,,,17822284.0,ns,3679920
matrix3 return self,nalgebra,,,,18886770.0,ns,3884360
matrix3 return self,nalgebra,,,,19778069.0,ns,4088800
matrix3 return self,nalgebra,,,,20756315.0,ns,4293240
matrix3 return self,nalgebra,,,,21781622.0,ns,4497680
matrix3 return self,nalgebra,,,,22727604.0,ns,4702120
matrix3 return self,nalgebra,,,,23769080.0,ns,4906560
matrix3 return self,nalgebra,,,,24696030.0,ns,5111000
matrix3 return self,nalgebra,,,,25678516.0,ns,5315440
matrix3 return self,nalgebra,,,,26656014.0,ns,5519880
matrix3 return self,nalgebra,,,,28054974.0,ns,5724320
matrix3 return self,nalgebra,,,,28657458.0,ns,5928760
matrix3 return self,nalgebra,,,,29625159.0,ns,6133200
matrix3 return self,nalgebra,,,,30605432.0,ns,6337640
matrix3 return self,nalgebra,,,,31588721.0,ns,6542080
matrix3 return self,nalgebra,,,,32576385.0,ns,6746520
matrix3 return self,nalgebra,,,,33556370.0,ns,6950960
matrix3 return self,nalgebra,,,,34543756.0,ns,7155400
matrix3 return self,nalgebra,,,,35501515.0,ns,7359840
matrix3 return self,nalgebra,,,,36501175.0,ns,7564280
matrix3 return self,nalgebra,,,,37463372.0,ns,7768720
matrix3 return self,nalgebra,,,,38476189.0,ns,7973160
matrix3 return self,nalgebra,,,,39462846.0,ns,8177600
matrix3 return self,nalgebra,,,,40447652.0,ns,8382040
matrix3 return self,nalgebra,,,,41399861.0,ns,8586480
matrix3 return self,nalgebra,,,,42422422.0,ns,8790920
matrix3 return self,nalgebra,,,,43363312.0,ns,8995360
matrix3 return self,nalgebra,,,,44411939.0,ns,9199800
matrix3 return self,nalgebra,,,,45328036.0,ns,9404240
matrix3 return self,nalgebra,,,,46359925.0,ns,9608680
matrix3 return self,nalgebra,,,,47478682.0,ns,9813120
matrix3 return self,nalgebra,,,,48293777.0,ns,10017560
matrix3 return self,nalgebra,,,,49337649.0,ns,10222000
matrix3 return self,nalgebra,,,,50382967.0,ns,10426440
matrix3 return self,nalgebra,,,,51247971.0,ns,10630880
matrix3 return self,nalgebra,,,,52224345.0,ns,10835320
matrix3 return self,nalgebra,,,,53260091.0,ns,11039760
matrix3 return self,nalgebra,,,,54192896.0,ns,11244200
matrix3 return self,nalgebra,,,,55200567.0,ns,11448640
matrix3 return self,nalgebra,,,,56132594.0,ns,11653080
matrix3 return self,nalgebra,,,,57121847.0,ns,11857520
matrix3 return self,nalgebra,,,,58139483.0,ns,12061960
matrix3 return self,nalgebra,,,,59110787.0,ns,12266400
matrix3 return self,nalgebra,,,,60074163.0,ns,12470840
matrix3 return self,nalgebra,,,,61057737.0,ns,12675280
matrix3 return self,nalgebra,,,,62087621.0,ns,12879720
matrix3 return self,nalgebra,,,,63173068.0,ns,13084160
matrix3 return self,nalgebra,,,,64057038.0,ns,13288600
matrix3 return self,nalgebra,,,,65093976.0,ns,13493040
matrix3 return self,nalgebra,,,,66035774.0,ns,13697480
matrix3 return self,nalgebra,,,,67192459.0,ns,13901920
matrix3 return self,nalgebra,,,,67937396.0,ns,14106360
matrix3 return self,nalgebra,,,,68922814.0,ns,14310800
matrix3 return self,nalgebra,,,,69898909.0,ns,14515240
matrix3 return self,nalgebra,,,,70855982.0,ns,14719680
matrix3 return self,nalgebra,,,,71884600.0,ns,14924120
matrix3 return self,nalgebra,,,,72836380.0,ns,15128560
matrix3 return self,nalgebra,,,,73864776.0,ns,15333000
matrix3 return self,nalgebra,,,,74817357.0,ns,15537440
matrix3 return self,nalgebra,,,,75827763.0,ns,15741880
matrix3 return self,nalgebra,,,,76778428.0,ns,15946320
matrix3 return self,nalgebra,,,,77814990.0,ns,16150760
matrix3 return self,nalgebra,,,,78858961.0,ns,16355200
matrix3 return self,nalgebra,,,,79837619.0,ns,16559640
matrix3 return self,nalgebra,,,,80938399.0,ns,16764080
matrix3 return self,nalgebra,,,,81711116.0,ns,16968520
matrix3 return self,nalgebra,,,,82705494.0,ns,17172960
matrix3 return self,nalgebra,,,,84138828.0,ns,17377400
matrix3 return self,nalgebra,,,,84677064.0,ns,17581840
matrix3 return self,nalgebra,,,,85706886.0,ns,17786280
matrix3 return self,nalgebra,,,,86640458.0,ns,17990720
matrix3 return self,nalgebra,,,,87721283.0,ns,18195160
matrix3 return self,nalgebra,,,,88618867.0,ns,18399600
matrix3 return self,nalgebra,,,,90242444.0,ns,18604040
matrix3 return self,nalgebra,,,,90743964.0,ns,18808480
matrix3 return self,nalgebra,,,,91777602.0,ns,19012920
matrix3 return self,nalgebra,,,,92543359.0,ns,19217360
matrix3 return self,nalgebra,,,,93490777.0,ns,19421800
matrix3 return self,nalgebra,,,,94492826.0,ns,19626240
matrix3 return self,nalgebra,,,,95460084.0,ns,19830680
matrix3 return self,nalgebra,,,,96556973.0,ns,20035120
matrix3 return self,nalgebra,,,,98265134.0,ns,20239560
matrix3 return self,nalgebra,,,,98485932.0,ns,20444000
