group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 return self,vek,,,,1112237.0,ns,204731
matrix3 return self,vek,,,,2098005.0,ns,409462
matrix3 return self,vek,,,,3084334.0,ns,614193
matrix3 return self,vek,,,,4291351.0,ns,818924
matrix3 return self,vek,,,,5059970.0,ns,1023655
matrix3 return self,vek,,,,6046753.0,ns,1228386
matrix3 return self,vek,,,,7039393.0,ns,1433117
matrix3 return self,vek,,,,8034825.0,ns,1637848
matrix3 return self,vek,,,,9011748.0,ns,1842579
matrix3 return self,vek,,,,9998549.0,ns,2047310
matrix3 return self,vek,,,,10976947.0,ns,2252041
matrix3 return self,vek,,,,11970794.0,ns,2456772
matrix3 return self,vek,,,,12981086.0,ns,2661503
matrix3 return self,vek,,,,13945083.0,ns,2866234
matrix3 return self,vek,,,,14934159.0,ns,3070965
matrix3 return self,vek,,,,15940933.0,ns,3275696
matrix3 return self,vek,,,,16909374.0,ns,3480427
matrix3 return self,vek,,,,17978186.0,ns,3685158
matrix3 return self,vek,,,,18899487.0,ns,3889889
matrix3 return self,vek,,,,19884087.0,ns,4094620
matrix3 return self,vek,,,,20841620.0,ns,4299351
matrix3 return self,vek,,,,21845312.0,ns,4504082
matrix3 return self,vek,,,,22831190.0,ns,4708813
matrix3 return self,vek,,,,23824530.0,ns,4913544
matrix3 return self,vek,,,,24806410.0,ns,5118275
matrix3 return self,vek,,,,25793041.0,ns,5323006
matrix3 return self,vek,,,,26798853.0,ns,5527737
matrix3 return self,vek,,,,27774683.0,ns,5732468
matrix3 return self,vek,,,,28780538.0,ns,5937199
matrix3 return self,vek,,,,29746557.0,ns,6141930
matrix3 return self,vek,,,,30734701.0,ns,6346661
matrix3 return self,vek,,,,31725283.0,ns,6551392
matrix3 return self,vek,,,,32745867.0,ns,6756123
matrix3 return self,vek,,,,33702543.0,ns,6960854
matrix3 return self,vek,,,,34679466.0,ns,7165585
matrix3 return self,vek,,,,35665866.0,ns,7370316
matrix3 return self,vek,,,,36838114.0,ns,7575047
matrix3 return self,vek,,,,37681766.0,ns,7779778
matrix3 return self,vek,,,,38828881.0,ns,7984509
matrix3 return self,vek,,,,39622417.0,ns,8189240
matrix3 return self,vek,,,,40702118.0,ns,8393971
matrix3 return self,vek,,,,41624342.0,ns,8598702
matrix3 return self,vek,,,,42576388.0,ns,8803433
matrix3 return self,vek,,,,43546704.0,ns,9008164
matrix3 return self,vek,,,,44544249.0,ns,9212895
matrix3 return self,vek,,,,45529774.0,ns,9417626
matrix3 return self,vek,,,,46496551.0,ns,9622357
matrix3 return self,vek,,,,47528447.0,ns,9827088
matrix3 return self,vek,,,,48496085.0,ns,10031819
matrix3 return self,vek,,,,49486144.0,ns,10236550
matrix3 return self,vek,,,,50466486.0,ns,10441281
matrix3 return self,vek,,,,51560197.0,ns,10646012
matrix3 return self,vek,,,,52443368.0,ns,10850743
matrix3 return self,vek,,,,53450382.0,ns,11055474
matrix3 return self,vek,,,,54391220.0,ns,11260205
matrix3 return self,vek,,,,55376183.0,ns,11464936
matrix3 return self,vek,,,,56380911.0,ns,11669667
matrix3 return self,vek,,,,57401816.0,ns,11874398
matrix3 return self,vek,,,,58508713.0,ns,12079129
matrix3 return self,vek,,,,59410642.0,ns,12283860
matrix3 return self,vek,,,,60504868.0,ns,12488591
matrix3 return self,vek,,,,61336389.0,ns,12693322
matrix3 return self,vek,,,,62323513.0,ns,12898053
matrix3 return self,vek,,,,63296892.0,ns,13102784
matrix3 return self,vek,,,,64382095.0,ns,13307515
matrix3 return self,vek,,,,65339434.0,ns,13512246
matrix3 return self,vek,,,,66358187.0,ns,13716977
matrix3 return self,vek,,,,67253286.0,ns,13921708
matrix3 return self,vek,,,,68273325.0,ns,14126439
matrix3 return self,vek,,,,69219572.0,ns,14331170
matrix3 return self,vek,,,,70248682.0,ns,14535901
matrix3 return self,vek,,,,71366837.0,ns,14740632
matrix3 return self,vek,,,,72255304.0,ns,14945363
matrix3 return self,vek,,,,73214000.0,ns,15150094
matrix3 return self,vek,,,,74179728.0,ns,15354825
matrix3 return self,vek,,,,75546489.0,ns,15559556
matrix3 return self,vek,,,,76180954.0,ns,15764287
matrix3 return self,vek,,,,77092840.0,ns,15969018
matrix3 return self,vek,,,,78119452.0,ns,16173749
matrix3 return self,vek,,,,79104283.0,ns,16378480
matrix3 return self,vek,,,,80060399.0,ns,16583211
matrix3 return self,vek,,,,81096411.0,ns,16787942
matrix3 return self,vek,,,,82101547.0,ns,16992673
matrix3 return self,vek,,,,83078624.0,ns,17197404
matrix3 return self,vek,,,,83993411.0,ns,17402135
matrix3 return self,vek,,,,85031091.0,ns,17606866
matrix3 return self,vek,,,,86028470.0,ns,17811597
matrix3 return self,vek,,,,87089450.0,ns,18016328
matrix3 return self,vek,,,,88280091.0,ns,18221059
matrix3 return self,vek,,,,88937125.0,ns,18425790
matrix3 return self,vek,,,,90043155.0,ns,18630521
matrix3 return self,vek,,,,90976137.0,ns,18835252
matrix3 return self,vek,,,,91931858.0,ns,19039983
matrix3 return self,vek,,,,92971556.0,ns,19244714
matrix3 return self,vek,,,,93894457.0,ns,19449445
matrix3 return self,vek,,,,94885146.0,ns,19654176
matrix3 return self,vek,,,,96094865.0,ns,19858907
matrix3 return self,vek,,,,96897393.0,ns,20063638
matrix3 return self,vek,,,,97958527.0,ns,20268369
matrix3 return self,vek,,,,98831436.0,ns,20473100
