group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 transpose,cgmath,,,,1121837.0,ns,173786
matrix3 transpose,cgmath,,,,2100156.0,ns,347572
matrix3 transpose,cgmath,,,,3085401.0,ns,521358
matrix3 transpose,cgmath,,,,4211353.0,ns,695144
matrix3 transpose,cgmath,,,,5062315.0,ns,868930
matrix3 transpose,cgmath,,,,6047741.0,ns,1042716
matrix3 transpose,cgmath,,,,7058521.0,ns,1216502
matrix3 transpose,cgmath,,,,8030552.0,ns,1390288
matrix3 transpose,cgmath,,,,9014038.0,ns,1564074
matrix3 transpose,cgmath,,,,10028113.0,ns,1737860
matrix3 transpose,cgmath,,,,11006313.0,ns,1911646
matrix3 transpose,cgmath,,,,11981664.0,ns,2085432
matrix3 transpose,cgmath,,,,12960744.0,ns,2259218
matrix3 transpose,cgmath,,,,13969246.0,ns,2433004
matrix3 transpose,cgmath,,,,14931666.0,ns,2606790
matrix3 transpose,cgmath,,,,15949267.0,ns,2780576
matrix3 transpose,cgmath,,,,16920458.0,ns,2954362
matrix3 transpose,cgmath,,,,17923810.0,ns,3128148
matrix3 transpose,cgmath,,,,18878547.0,ns,3301934
matrix3 transpose,cgmath,,,,19886651.0,ns,3475720
matrix3 transpose,cgmath,,,,20860204.0,ns,3649506
matrix3 transpose,cgmath,,,,21900593.0,ns,3823292
matrix3 transpose,cgmath,,,,22861265.0,ns,3997078
matrix3 transpose,cgmath,,,,23853156.0,ns,4170864
matrix3 transpose,cgmath,,,,24826339.0,ns,4344650
matrix3 transpose,cgmath,,,,25805980.0,ns,4518436
matrix3 transpose,cgmath,,,,26806419.0,ns,4692222
matrix3 transpose,cgmath,,,,27891566.0,ns,4866008
matrix3 transpose,cgmath,,,,28783335.0,ns,5039794
matrix3 transpose,cgmath,,,,29777488.0,ns,5213580
matrix3 transpose,cgmath,,,,30751391.0,ns,5387366
matrix3 transpose,cgmath,,,,31712451.0,ns,5561152
matrix3 transpose,cgmath,,,,32746752.0,ns,5734938
matrix3 transpose,cgmath,,,,33783174.0,ns,5908724
matrix3 transpose,cgmath,,,,34722740.0,ns,6082510
matrix3 transpose,cgmath,,,,35693387.0,ns,6256296
matrix3 transpose,cgmath,,,,36740110.0,ns,6430082
matrix3 transpose,cgmath,,,,37753905.0,ns,6603868
matrix3 transpose,cgmath,,,,38627725.0,ns,6777654
matrix3 transpose,cgmath,,,,39645874.0,ns,6951440
matrix3 transpose,cgmath,,,,40592681.0,ns,7125226
matrix3 transpose,cgmath,,,,41618851.0,ns,7299012
matrix3 transpose,cgmath,,,,42632770.0,ns,7472798
matrix3 transpose,cgmath,,,,43589734.0,ns,7646584
