group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix3 transpose,ultraviolet,,,,1039476.0,ns,174174
matrix3 transpose,ultraviolet,,,,1986989.0,ns,348348
matrix3 transpose,ultraviolet,,,,2984748.0,ns,522522
matrix3 transpose,ultraviolet,,,,4100578.0,ns,696696
matrix3 transpose,ultraviolet,,,,4938839.0,ns,870870
matrix3 transpose,ultraviolet,,,,5933917.0,ns,1045044
matrix3 transpose,ultraviolet,,,,6936524.0,ns,1219218
matrix3 transpose,ultraviolet,,,,7902564.0,ns,1393392
matrix3 transpose,ultraviolet,,,,8910919.0,ns,1567566
matrix3 transpose,ultraviolet,,,,9898211.0,ns,1741740
matrix3 transpose,ultraviolet,,,,10863493.0,ns,1915914
matrix3 transpose,ultraviolet,,,,11874710.0,ns,2090088
matrix3 transpose,ultraviolet,,,,12873293.0,ns,2264262
matrix3 transpose,ultraviolet,,,,13828124.0,ns,2438436
matrix3 transpose,ultraviolet,,,,14914369.0,ns,2612610
matrix3 transpose,ultraviolet,,,,15807648.0,ns,2786784
matrix3 transpose,ultraviolet,,,,16812722.0,ns,2960958
matrix3 transpose,ultraviolet,,,,17784204.0,ns,3135132
matrix3 transpose,ultraviolet,,,,18768230.0,ns,3309306
matrix3 transpose,ultraviolet,,,,19758122.0,ns,3483480
matrix3 transpose,ultraviolet,,,,20748015.0,ns,3657654
matrix3 transpose,ultraviolet,,,,21731448.0,ns,3831828
matrix3 transpose,ultraviolet,,,,22720421.0,ns,4006002
matrix3 transpose,ultraviolet,,,,23707347.0,ns,4180176
matrix3 transpose,ultraviolet,,,,24695431.0,ns,4354350
matrix3 transpose,ultraviolet,,,,25677187.0,ns,4528524
matrix3 transpose,ultraviolet,,,,26668349.0,ns,4702698
matrix3 transpose,ultraviolet,,,,27659876.0,ns,4876872
matrix3 transpose,ultraviolet,,,,28650983.0,ns,5051046
matrix3 transpose,ultraviolet,,,,29637901.0,ns,5225220
matrix3 transpose,ultraviolet,,,,30624476.0,ns,5399394
matrix3 transpose,ultraviolet,,,,31614119.0,ns,5573568
matrix3 transpose,ultraviolet,,,,32600683.0,ns,5747742
matrix3 transpose,ultraviolet,,,,33672234.0,ns,5921916
matrix3 transpose,ultraviolet,,,,34566911.0,ns,6096090
matrix3 transpose,ultraviolet,,,,35552883.0,ns,6270264
matrix3 transpose,ultraviolet,,,,36566628.0,ns,6444438
matrix3 transpose,ultraviolet,,,,37577834.0,ns,6618612
matrix3 transpose,ultraviolet,,,,38521373.0,ns,6792786
matrix3 transpose,ultraviolet,,,,39508554.0,ns,6966960
matrix3 transpose,ultraviolet,,,,40496767.0,ns,7141134
matrix3 transpose,ultraviolet,,,,41599012.0,ns,7315308
matrix3 transpose,ultraviolet,,,,43218771.0,ns,7489482
matrix3 transpose,ultraviolet,,,,43701245.0,ns,7663656
matrix3 transpose,ultraviolet,,,,44490681.0,ns,7837830
matrix3 transpose,ultraviolet,,,,45509191.0,ns,8012004
matrix3 transpose,ultraviolet,,,,46505207.0,ns,8186178
matrix3 transpose,ultraviolet,,,,47438098.0,ns,8360352
matrix3 transpose,ultraviolet,,,,48401980.0,ns,8534526
matrix3 transpose,ultraviolet,,,,49401671.0,ns,8708700
matrix3 transpose,ultraviolet,,,,50369840.0,ns,8882874
matrix3 transpose,ultraviolet,,,,51407963.0,ns,9057048
matrix3 transpose,ultraviolet,,,,52372060.0,ns,9231222
matrix3 transpose,ultraviolet,,,,53398864.0,ns,9405396
matrix3 transpose,ultraviolet,,,,54329890.0,ns,9579570
matrix3 transpose,ultraviolet,,,,55357259.0,ns,9753744
matrix3 transpose,ultraviolet,,,,56310165.0,ns,9927918
matrix3 transpose,ultraviolet,,,,57337743.0,ns,10102092
matrix3 transpose,ultraviolet,,,,58276516.0,ns,10276266
matrix3 transpose,ultraviolet,,,,59485928.0,ns,10450440
matrix3 transpose,ultraviolet,,,,60320304.0,ns,10624614
matrix3 transpose,ultraviolet,,,,61468386.0,ns,10798788
matrix3 transpose,ultraviolet,,,,62379399.0,ns,10972962
matrix3 transpose,ultraviolet,,,,63404394.0,ns,11147136
