group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 inverse,nalgebra,,,,1106976.0,ns,15357
matrix4 inverse,nalgebra,,,,2097855.0,ns,30714
matrix4 inverse,nalgebra,,,,3084869.0,ns,46071
matrix4 inverse,nalgebra,,,,4070820.0,ns,61428
matrix4 inverse,nalgebra,,,,5061190.0,ns,76785
matrix4 inverse,nalgebra,,,,6069772.0,ns,92142
matrix4 inverse,nalgebra,,,,7034042.0,ns,107499
matrix4 inverse,nalgebra,,,,8044236.0,ns,122856
matrix4 inverse,nalgebra,,,,9011427.0,ns,138213
matrix4 inverse,nalgebra,,,,10023213.0,ns,153570
matrix4 inverse,nalgebra,,,,11010082.0,ns,168927
matrix4 inverse,nalgebra,,,,11997249.0,ns,184284
matrix4 inverse,nalgebra,,,,12984707.0,ns,199641
matrix4 inverse,nalgebra,,,,13968432.0,ns,214998
matrix4 inverse,nalgebra,,,,14962426.0,ns,230355
matrix4 inverse,nalgebra,,,,15929419.0,ns,245712
matrix4 inverse,nalgebra,,,,16923689.0,ns,261069
matrix4 inverse,nalgebra,,,,17906112.0,ns,276426
matrix4 inverse,nalgebra,,,,18889695.0,ns,291783
matrix4 inverse,nalgebra,,,,19904994.0,ns,307140
matrix4 inverse,nalgebra,,,,20891150.0,ns,322497
matrix4 inverse,nalgebra,,,,21930181.0,ns,337854
matrix4 inverse,nalgebra,,,,22984034.0,ns,353211
matrix4 inverse,nalgebra,,,,23857859.0,ns,368568
matrix4 inverse,nalgebra,,,,24868188.0,ns,383925
matrix4 inverse,nalgebra,,,,25813791.0,ns,399282
matrix4 inverse,nalgebra,,,,26822274.0,ns,414639
matrix4 inverse,nalgebra,,,,27811582.0,ns,429996
matrix4 inverse,nalgebra,,,,28775875.0,ns,445353
matrix4 inverse,nalgebra,,,,29760503.0,ns,460710
matrix4 inverse,nalgebra,,,,30751278.0,ns,476067
matrix4 inverse,nalgebra,,,,31745473.0,ns,491424
matrix4 inverse,nalgebra,,,,32732494.0,ns,506781
matrix4 inverse,nalgebra,,,,33719021.0,ns,522138
matrix4 inverse,nalgebra,,,,34702684.0,ns,537495
matrix4 inverse,nalgebra,,,,35686936.0,ns,552852
matrix4 inverse,nalgebra,,,,36677535.0,ns,568209
matrix4 inverse,nalgebra,,,,37666953.0,ns,583566
matrix4 inverse,nalgebra,,,,38664373.0,ns,598923
matrix4 inverse,nalgebra,,,,39713517.0,ns,614280
matrix4 inverse,nalgebra,,,,40631109.0,ns,629637
matrix4 inverse,nalgebra,,,,41621181.0,ns,644994
matrix4 inverse,nalgebra,,,,42672903.0,ns,660351
matrix4 inverse,nalgebra,,,,43779814.0,ns,675708
matrix4 inverse,nalgebra,,,,44604601.0,ns,691065
matrix4 inverse,nalgebra,,,,45572864.0,ns,706422
matrix4 inverse,nalgebra,,,,46745712.0,ns,721779
matrix4 inverse,nalgebra,,,,47785546.0,ns,737136
matrix4 inverse,nalgebra,,,,48686513.0,ns,752493
matrix4 inverse,nalgebra,,,,49564913.0,ns,767850
matrix4 inverse,nalgebra,,,,50571805.0,ns,783207
matrix4 inverse,nalgebra,,,,51520386.0,ns,798564
matrix4 inverse,nalgebra,,,,52510964.0,ns,813921
matrix4 inverse,nalgebra,,,,53538354.0,ns,829278
matrix4 inverse,nalgebra,,,,54481963.0,ns,844635
matrix4 inverse,nalgebra,,,,55469374.0,ns,859992
matrix4 inverse,nalgebra,,,,56440980.0,ns,875349
matrix4 inverse,nalgebra,,,,57452475.0,ns,890706
matrix4 inverse,nalgebra,,,,58456299.0,ns,906063
matrix4 inverse,nalgebra,,,,59451787.0,ns,921420
matrix4 inverse,nalgebra,,,,60424133.0,ns,936777
matrix4 inverse,nalgebra,,,,61428004.0,ns,952134
matrix4 inverse,nalgebra,,,,62404466.0,ns,967491
matrix4 inverse,nalgebra,,,,63420549.0,ns,982848
matrix4 inverse,nalgebra,,,,64408220.0,ns,998205
matrix4 inverse,nalgebra,,,,65627270.0,ns,1013562
matrix4 inverse,nalgebra,,,,66393229.0,ns,1028919
matrix4 inverse,nalgebra,,,,67416848.0,ns,1044276
matrix4 inverse,nalgebra,,,,68346046.0,ns,1059633
matrix4 inverse,nalgebra,,,,69293423.0,ns,1074990
matrix4 inverse,nalgebra,,,,70276356.0,ns,1090347
matrix4 inverse,nalgebra,,,,71268083.0,ns,1105704
matrix4 inverse,nalgebra,,,,72251256.0,ns,1121061
matrix4 inverse,nalgebra,,,,73252145.0,ns,1136418
matrix4 inverse,nalgebra,,,,74301103.0,ns,1151775
matrix4 inverse,nalgebra,,,,75255341.0,ns,1167132
matrix4 inverse,nalgebra,,,,76256232.0,ns,1182489
matrix4 inverse,nalgebra,,,,77192312.0,ns,1197846
matrix4 inverse,nalgebra,,,,78313227.0,ns,1213203
matrix4 inverse,nalgebra,,,,79368834.0,ns,1228560
matrix4 inverse,nalgebra,,,,80651231.0,ns,1243917
matrix4 inverse,nalgebra,,,,81199711.0,ns,1259274
matrix4 inverse,nalgebra,,,,82243110.0,ns,1274631
matrix4 inverse,nalgebra,,,,83162013.0,ns,1289988
matrix4 inverse,nalgebra,,,,84109862.0,ns,1305345
matrix4 inverse,nalgebra,,,,85160650.0,ns,1320702
matrix4 inverse,nalgebra,,,,86143519.0,ns,1336059
matrix4 inverse,nalgebra,,,,87144435.0,ns,1351416
matrix4 inverse,nalgebra,,,,88065569.0,ns,1366773
matrix4 inverse,nalgebra,,,,89148405.0,ns,1382130
matrix4 inverse,nalgebra,,,,90113940.0,ns,1397487
matrix4 inverse,nalgebra,,,,91138795.0,ns,1412844
matrix4 inverse,nalgebra,,,,92016236.0,ns,1428201
matrix4 inverse,nalgebra,,,,93072891.0,ns,1443558
matrix4 inverse,nalgebra,,,,93986975.0,ns,1458915
matrix4 inverse,nalgebra,,,,94983481.0,ns,1474272
matrix4 inverse,nalgebra,,,,95966840.0,ns,1489629
matrix4 inverse,nalgebra,,,,97030911.0,ns,1504986
matrix4 inverse,nalgebra,,,,98024083.0,ns,1520343
matrix4 inverse,nalgebra,,,,99113131.0,ns,1535700
