group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 inverse,static-math,,,,989773.0,ns,20615
matrix4 inverse,static-math,,,,1980862.0,ns,41230
matrix4 inverse,static-math,,,,2969297.0,ns,61845
matrix4 inverse,static-math,,,,4096342.0,ns,82460
matrix4 inverse,static-math,,,,4994376.0,ns,103075
matrix4 inverse,static-math,,,,5934203.0,ns,123690
matrix4 inverse,static-math,,,,6950026.0,ns,144305
matrix4 inverse,static-math,,,,7946095.0,ns,164920
matrix4 inverse,static-math,,,,8912109.0,ns,185535
matrix4 inverse,static-math,,,,9927912.0,ns,206150
matrix4 inverse,static-math,,,,10906622.0,ns,226765
matrix4 inverse,static-math,,,,11887850.0,ns,247380
matrix4 inverse,static-math,,,,12869940.0,ns,267995
matrix4 inverse,static-math,,,,13875038.0,ns,288610
matrix4 inverse,static-math,,,,14844406.0,ns,309225
matrix4 inverse,static-math,,,,15848237.0,ns,329840
matrix4 inverse,static-math,,,,16839088.0,ns,350455
matrix4 inverse,static-math,,,,17847978.0,ns,371070
matrix4 inverse,static-math,,,,18811432.0,ns,391685
matrix4 inverse,static-math,,,,19796451.0,ns,412300
matrix4 inverse,static-math,,,,20781136.0,ns,432915
matrix4 inverse,static-math,,,,21783506.0,ns,453530
matrix4 inverse,static-math,,,,22807769.0,ns,474145
matrix4 inverse,static-math,,,,23763609.0,ns,494760
matrix4 inverse,static-math,,,,24757133.0,ns,515375
matrix4 inverse,static-math,,,,25746610.0,ns,535990
matrix4 inverse,static-math,,,,26735078.0,ns,556605
matrix4 inverse,static-math,,,,27863714.0,ns,577220
matrix4 inverse,static-math,,,,28707820.0,ns,597835
matrix4 inverse,static-math,,,,29684625.0,ns,618450
matrix4 inverse,static-math,,,,30687437.0,ns,639065
matrix4 inverse,static-math,,,,31683907.0,ns,659680
matrix4 inverse,static-math,,,,32689940.0,ns,680295
matrix4 inverse,static-math,,,,33653315.0,ns,700910
matrix4 inverse,static-math,,,,34641841.0,ns,721525
