group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 mul matrix4,euclid,,,,1121410.0,ns,98379
matrix4 mul matrix4,euclid,,,,2121273.0,ns,196758
matrix4 mul matrix4,euclid,,,,3261628.0,ns,295137
matrix4 mul matrix4,euclid,,,,4117880.0,ns,393516
matrix4 mul matrix4,euclid,,,,5114530.0,ns,491895
matrix4 mul matrix4,euclid,,,,6114693.0,ns,590274
matrix4 mul matrix4,euclid,,,,7107647.0,ns,688653
matrix4 mul matrix4,euclid,,,,8113050.0,ns,787032
matrix4 mul matrix4,euclid,,,,9133947.0,ns,885411
matrix4 mul matrix4,euclid,,,,10112379.0,ns,983790
matrix4 mul matrix4,euclid,,,,11107865.0,ns,1082169
matrix4 mul matrix4,euclid,,,,12124995.0,ns,1180548
matrix4 mul matrix4,euclid,,,,13119706.0,ns,1278927
matrix4 mul matrix4,euclid,,,,14101844.0,ns,1377306
matrix4 mul matrix4,euclid,,,,15121549.0,ns,1475685
matrix4 mul matrix4,euclid,,,,16098881.0,ns,1574064
matrix4 mul matrix4,euclid,,,,17094271.0,ns,1672443
matrix4 mul matrix4,euclid,,,,18092904.0,ns,1770822
matrix4 mul matrix4,euclid,,,,19094555.0,ns,1869201
matrix4 mul matrix4,euclid,,,,20091107.0,ns,1967580
matrix4 mul matrix4,euclid,,,,21115525.0,ns,2065959
matrix4 mul matrix4,euclid,,,,22086372.0,ns,2164338
matrix4 mul matrix4,euclid,,,,23086328.0,ns,2262717
matrix4 mul matrix4,euclid,,,,24087815.0,ns,2361096
matrix4 mul matrix4,euclid,,,,25085902.0,ns,2459475
matrix4 mul matrix4,euclid,,,,26085028.0,ns,2557854
matrix4 mul matrix4,euclid,,,,27080693.0,ns,2656233
matrix4 mul matrix4,euclid,,,,28078315.0,ns,2754612
matrix4 mul matrix4,euclid,,,,29115422.0,ns,2852991
matrix4 mul matrix4,euclid,,,,30115349.0,ns,2951370
matrix4 mul matrix4,euclid,,,,31249427.0,ns,3049749
matrix4 mul matrix4,euclid,,,,32194122.0,ns,3148128
matrix4 mul matrix4,euclid,,,,33130100.0,ns,3246507
matrix4 mul matrix4,euclid,,,,34104437.0,ns,3344886
matrix4 mul matrix4,euclid,,,,35064785.0,ns,3443265
matrix4 mul matrix4,euclid,,,,36067985.0,ns,3541644
matrix4 mul matrix4,euclid,,,,37069718.0,ns,3640023
matrix4 mul matrix4,euclid,,,,38127954.0,ns,3738402
matrix4 mul matrix4,euclid,,,,39064279.0,ns,3836781
matrix4 mul matrix4,euclid,,,,40062093.0,ns,3935160
matrix4 mul matrix4,euclid,,,,41059795.0,ns,4033539
matrix4 mul matrix4,euclid,,,,42058425.0,ns,4131918
matrix4 mul matrix4,euclid,,,,43056799.0,ns,4230297
matrix4 mul matrix4,euclid,,,,44055505.0,ns,4328676
matrix4 mul matrix4,euclid,,,,45082609.0,ns,4427055
matrix4 mul matrix4,euclid,,,,46065907.0,ns,4525434
matrix4 mul matrix4,euclid,,,,47044735.0,ns,4623813
matrix4 mul matrix4,euclid,,,,48109144.0,ns,4722192
matrix4 mul matrix4,euclid,,,,49042713.0,ns,4820571
matrix4 mul matrix4,euclid,,,,50039506.0,ns,4918950
matrix4 mul matrix4,euclid,,,,51045622.0,ns,5017329
matrix4 mul matrix4,euclid,,,,52083654.0,ns,5115708
matrix4 mul matrix4,euclid,,,,53126384.0,ns,5214087
matrix4 mul matrix4,euclid,,,,54077067.0,ns,5312466
matrix4 mul matrix4,euclid,,,,55076988.0,ns,5410845
matrix4 mul matrix4,euclid,,,,56134250.0,ns,5509224
matrix4 mul matrix4,euclid,,,,57176745.0,ns,5607603
matrix4 mul matrix4,euclid,,,,58144801.0,ns,5705982
matrix4 mul matrix4,euclid,,,,59034173.0,ns,5804361
matrix4 mul matrix4,euclid,,,,60026141.0,ns,5902740
matrix4 mul matrix4,euclid,,,,61027803.0,ns,6001119
matrix4 mul matrix4,euclid,,,,62071160.0,ns,6099498
matrix4 mul matrix4,euclid,,,,63026405.0,ns,6197877
matrix4 mul matrix4,euclid,,,,64062491.0,ns,6296256
matrix4 mul matrix4,euclid,,,,65016658.0,ns,6394635
matrix4 mul matrix4,euclid,,,,66137851.0,ns,6493014
matrix4 mul matrix4,euclid,,,,67015203.0,ns,6591393
matrix4 mul matrix4,euclid,,,,68019291.0,ns,6689772
matrix4 mul matrix4,euclid,,,,69095044.0,ns,6788151
matrix4 mul matrix4,euclid,,,,70055815.0,ns,6886530
matrix4 mul matrix4,euclid,,,,71230019.0,ns,6984909
matrix4 mul matrix4,euclid,,,,72031521.0,ns,7083288
matrix4 mul matrix4,euclid,,,,73188886.0,ns,7181667
matrix4 mul matrix4,euclid,,,,74001716.0,ns,7280046
matrix4 mul matrix4,euclid,,,,75003701.0,ns,7378425
matrix4 mul matrix4,euclid,,,,76392233.0,ns,7476804
matrix4 mul matrix4,euclid,,,,77201828.0,ns,7575183
matrix4 mul matrix4,euclid,,,,78079191.0,ns,7673562
matrix4 mul matrix4,euclid,,,,79108048.0,ns,7771941
matrix4 mul matrix4,euclid,,,,80010736.0,ns,7870320
matrix4 mul matrix4,euclid,,,,81032923.0,ns,7968699
