group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 mul vector4,cgmath,100,100,elements,1090520.0,ns,1590
matrix4 mul vector4,cgmath,100,100,elements,2114960.0,ns,3180
matrix4 mul vector4,cgmath,100,100,elements,3100599.0,ns,4770
matrix4 mul vector4,cgmath,100,100,elements,4106300.0,ns,6360
matrix4 mul vector4,cgmath,100,100,elements,5119693.0,ns,7950
matrix4 mul vector4,cgmath,100,100,elements,6103452.0,ns,9540
matrix4 mul vector4,cgmath,100,100,elements,7079686.0,ns,11130
matrix4 mul vector4,cgmath,100,100,elements,8098198.0,ns,12720
matrix4 mul vector4,cgmath,100,100,elements,9067342.0,ns,14310
matrix4 mul vector4,cgmath,100,100,elements,10066369.0,ns,15900
matrix4 mul vector4,cgmath,100,100,elements,11047429.0,ns,17490
matrix4 mul vector4,cgmath,100,100,elements,12062708.0,ns,19080
matrix4 mul vector4,cgmath,100,100,elements,13041688.0,ns,20670
matrix4 mul vector4,cgmath,100,100,elements,13992462.0,ns,22260
matrix4 mul vector4,cgmath,100,100,elements,15050841.0,ns,23850
matrix4 mul vector4,cgmath,100,100,elements,16007438.0,ns,25440
matrix4 mul vector4,cgmath,100,100,elements,16990096.0,ns,27030
matrix4 mul vector4,cgmath,100,100,elements,18006922.0,ns,28620
matrix4 mul vector4,cgmath,100,100,elements,19017586.0,ns,30210
matrix4 mul vector4,cgmath,100,100,elements,20006002.0,ns,31800
matrix4 mul vector4,cgmath,100,100,elements,20885544.0,ns,33390
matrix4 mul vector4,cgmath,100,100,elements,21932493.0,ns,34980
matrix4 mul vector4,cgmath,100,100,elements,22856749.0,ns,36570
matrix4 mul vector4,cgmath,100,100,elements,23853626.0,ns,38160
matrix4 mul vector4,cgmath,100,100,elements,24880199.0,ns,39750
matrix4 mul vector4,cgmath,100,100,elements,25865809.0,ns,41340
matrix4 mul vector4,cgmath,100,100,elements,26910215.0,ns,42930
matrix4 mul vector4,cgmath,100,100,elements,27834556.0,ns,44520
matrix4 mul vector4,cgmath,100,100,elements,28789595.0,ns,46110
matrix4 mul vector4,cgmath,100,100,elements,29846119.0,ns,47700
matrix4 mul vector4,cgmath,100,100,elements,30701279.0,ns,49290
matrix4 mul vector4,cgmath,100,100,elements,31904266.0,ns,50880
matrix4 mul vector4,cgmath,100,100,elements,32970708.0,ns,52470
matrix4 mul vector4,cgmath,100,100,elements,33982161.0,ns,54060
matrix4 mul vector4,cgmath,100,100,elements,34718187.0,ns,55650
matrix4 mul vector4,cgmath,100,100,elements,35804506.0,ns,57240
matrix4 mul vector4,cgmath,100,100,elements,36760094.0,ns,58830
matrix4 mul vector4,cgmath,100,100,elements,37835614.0,ns,60420
matrix4 mul vector4,cgmath,100,100,elements,38754286.0,ns,62010
matrix4 mul vector4,cgmath,100,100,elements,41814127.0,ns,63600
matrix4 mul vector4,cgmath,100,100,elements,40691456.0,ns,65190
matrix4 mul vector4,cgmath,100,100,elements,41861791.0,ns,66780
matrix4 mul vector4,cgmath,100,100,elements,42705313.0,ns,68370
matrix4 mul vector4,cgmath,100,100,elements,43759181.0,ns,69960
matrix4 mul vector4,cgmath,100,100,elements,44635089.0,ns,71550
matrix4 mul vector4,cgmath,100,100,elements,45785354.0,ns,73140
matrix4 mul vector4,cgmath,100,100,elements,46769306.0,ns,74730
matrix4 mul vector4,cgmath,100,100,elements,47569300.0,ns,76320
matrix4 mul vector4,cgmath,100,100,elements,48659489.0,ns,77910
matrix4 mul vector4,cgmath,100,100,elements,49607755.0,ns,79500
matrix4 mul vector4,cgmath,100,100,elements,50591487.0,ns,81090
matrix4 mul vector4,cgmath,100,100,elements,51712165.0,ns,82680
matrix4 mul vector4,cgmath,100,100,elements,52629609.0,ns,84270
matrix4 mul vector4,cgmath,100,100,elements,53579115.0,ns,85860
matrix4 mul vector4,cgmath,100,100,elements,54733419.0,ns,87450
matrix4 mul vector4,cgmath,100,100,elements,55700891.0,ns,89040
matrix4 mul vector4,cgmath,100,100,elements,56448372.0,ns,90630
matrix4 mul vector4,cgmath,100,100,elements,57693994.0,ns,92220
matrix4 mul vector4,cgmath,100,100,elements,58450492.0,ns,93810
matrix4 mul vector4,cgmath,100,100,elements,59565571.0,ns,95400
matrix4 mul vector4,cgmath,100,100,elements,60491094.0,ns,96990
matrix4 mul vector4,cgmath,100,100,elements,61571187.0,ns,98580
matrix4 mul vector4,cgmath,100,100,elements,62383483.0,ns,100170
matrix4 mul vector4,cgmath,100,100,elements,63605788.0,ns,101760
matrix4 mul vector4,cgmath,100,100,elements,64428247.0,ns,103350
matrix4 mul vector4,cgmath,100,100,elements,65516086.0,ns,104940
matrix4 mul vector4,cgmath,100,100,elements,66410943.0,ns,106530
matrix4 mul vector4,cgmath,100,100,elements,67459487.0,ns,108120
matrix4 mul vector4,cgmath,100,100,elements,68461009.0,ns,109710
matrix4 mul vector4,cgmath,100,100,elements,69641233.0,ns,111300
matrix4 mul vector4,cgmath,100,100,elements,70333505.0,ns,112890
matrix4 mul vector4,cgmath,100,100,elements,71187013.0,ns,114480
matrix4 mul vector4,cgmath,100,100,elements,72296228.0,ns,116070
matrix4 mul vector4,cgmath,100,100,elements,73304906.0,ns,117660
matrix4 mul vector4,cgmath,100,100,elements,74326697.0,ns,119250
matrix4 mul vector4,cgmath,100,100,elements,75082596.0,ns,120840
matrix4 mul vector4,cgmath,100,100,elements,76158507.0,ns,122430
matrix4 mul vector4,cgmath,100,100,elements,77401825.0,ns,124020
matrix4 mul vector4,cgmath,100,100,elements,78422238.0,ns,125610
matrix4 mul vector4,cgmath,100,100,elements,79348975.0,ns,127200
matrix4 mul vector4,cgmath,100,100,elements,80392202.0,ns,128790
matrix4 mul vector4,cgmath,100,100,elements,81240806.0,ns,130380
matrix4 mul vector4,cgmath,100,100,elements,82509148.0,ns,131970
matrix4 mul vector4,cgmath,100,100,elements,82939311.0,ns,133560
matrix4 mul vector4,cgmath,100,100,elements,84303304.0,ns,135150
matrix4 mul vector4,cgmath,100,100,elements,84998482.0,ns,136740
matrix4 mul vector4,cgmath,100,100,elements,86081490.0,ns,138330
matrix4 mul vector4,cgmath,100,100,elements,87308424.0,ns,139920
matrix4 mul vector4,cgmath,100,100,elements,88275659.0,ns,141510
matrix4 mul vector4,cgmath,100,100,elements,89187020.0,ns,143100
matrix4 mul vector4,cgmath,100,100,elements,90230458.0,ns,144690
matrix4 mul vector4,cgmath,100,100,elements,90920552.0,ns,146280
matrix4 mul vector4,cgmath,100,100,elements,92302671.0,ns,147870
matrix4 mul vector4,cgmath,100,100,elements,92940390.0,ns,149460
matrix4 mul vector4,cgmath,100,100,elements,93856112.0,ns,151050
matrix4 mul vector4,cgmath,100,100,elements,94929015.0,ns,152640
matrix4 mul vector4,cgmath,100,100,elements,96089378.0,ns,154230
matrix4 mul vector4,cgmath,100,100,elements,96970712.0,ns,155820
matrix4 mul vector4,cgmath,100,100,elements,97920753.0,ns,157410
matrix4 mul vector4,cgmath,100,100,elements,99010727.0,ns,159000
