group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 mul vector4,vek,100,100,elements,989727.0,ns,414
matrix4 mul vector4,vek,100,100,elements,1977652.0,ns,828
matrix4 mul vector4,vek,100,100,elements,2977198.0,ns,1242
matrix4 mul vector4,vek,100,100,elements,3956400.0,ns,1656
matrix4 mul vector4,vek,100,100,elements,5067899.0,ns,2070
matrix4 mul vector4,vek,100,100,elements,5973618.0,ns,2484
matrix4 mul vector4,vek,100,100,elements,7035478.0,ns,2898
matrix4 mul vector4,vek,100,100,elements,7932228.0,ns,3312
matrix4 mul vector4,vek,100,100,elements,8918816.0,ns,3726
matrix4 mul vector4,vek,100,100,elements,9899055.0,ns,4140
matrix4 mul vector4,vek,100,100,elements,10920166.0,ns,4554
matrix4 mul vector4,vek,100,100,elements,11892418.0,ns,4968
matrix4 mul vector4,vek,100,100,elements,12863741.0,ns,5382
matrix4 mul vector4,vek,100,100,elements,13854795.0,ns,5796
matrix4 mul vector4,vek,100,100,elements,14857630.0,ns,6210
matrix4 mul vector4,vek,100,100,elements,15862290.0,ns,6624
matrix4 mul vector4,vek,100,100,elements,16834374.0,ns,7038
matrix4 mul vector4,vek,100,100,elements,17823555.0,ns,7452
matrix4 mul vector4,vek,100,100,elements,18932927.0,ns,7866
matrix4 mul vector4,vek,100,100,elements,19829397.0,ns,8280
matrix4 mul vector4,vek,100,100,elements,20817708.0,ns,8694
matrix4 mul vector4,vek,100,100,elements,21789337.0,ns,9108
matrix4 mul vector4,vek,100,100,elements,22791953.0,ns,9522
matrix4 mul vector4,vek,100,100,elements,23770217.0,ns,9936
matrix4 mul vector4,vek,100,100,elements,24788323.0,ns,10350
matrix4 mul vector4,vek,100,100,elements,25832418.0,ns,10764
matrix4 mul vector4,vek,100,100,elements,26733174.0,ns,11178
matrix4 mul vector4,vek,100,100,elements,27736618.0,ns,11592
matrix4 mul vector4,vek,100,100,elements,28744084.0,ns,12006
matrix4 mul vector4,vek,100,100,elements,29785404.0,ns,12420
matrix4 mul vector4,vek,100,100,elements,30775697.0,ns,12834
matrix4 mul vector4,vek,100,100,elements,31791656.0,ns,13248
matrix4 mul vector4,vek,100,100,elements,32710825.0,ns,13662
matrix4 mul vector4,vek,100,100,elements,33802089.0,ns,14076
matrix4 mul vector4,vek,100,100,elements,34804345.0,ns,14490
matrix4 mul vector4,vek,100,100,elements,35838970.0,ns,14904
matrix4 mul vector4,vek,100,100,elements,36616338.0,ns,15318
matrix4 mul vector4,vek,100,100,elements,37680384.0,ns,15732
matrix4 mul vector4,vek,100,100,elements,38719713.0,ns,16146
matrix4 mul vector4,vek,100,100,elements,39977172.0,ns,16560
matrix4 mul vector4,vek,100,100,elements,40802522.0,ns,16974
matrix4 mul vector4,vek,100,100,elements,41886616.0,ns,17388
matrix4 mul vector4,vek,100,100,elements,42717183.0,ns,17802
matrix4 mul vector4,vek,100,100,elements,43567379.0,ns,18216
matrix4 mul vector4,vek,100,100,elements,44661330.0,ns,18630
matrix4 mul vector4,vek,100,100,elements,45566780.0,ns,19044
matrix4 mul vector4,vek,100,100,elements,46544791.0,ns,19458
matrix4 mul vector4,vek,100,100,elements,47754339.0,ns,19872
matrix4 mul vector4,vek,100,100,elements,48576838.0,ns,20286
matrix4 mul vector4,vek,100,100,elements,49668950.0,ns,20700
matrix4 mul vector4,vek,100,100,elements,50526966.0,ns,21114
matrix4 mul vector4,vek,100,100,elements,51660295.0,ns,21528
matrix4 mul vector4,vek,100,100,elements,52696613.0,ns,21942
matrix4 mul vector4,vek,100,100,elements,53629553.0,ns,22356
matrix4 mul vector4,vek,100,100,elements,54643195.0,ns,22770
matrix4 mul vector4,vek,100,100,elements,55526317.0,ns,23184
matrix4 mul vector4,vek,100,100,elements,56521252.0,ns,23598
matrix4 mul vector4,vek,100,100,elements,57420749.0,ns,24012
matrix4 mul vector4,vek,100,100,elements,58477017.0,ns,24426
matrix4 mul vector4,vek,100,100,elements,59582182.0,ns,24840
matrix4 mul vector4,vek,100,100,elements,60456651.0,ns,25254
matrix4 mul vector4,vek,100,100,elements,61315129.0,ns,25668
matrix4 mul vector4,vek,100,100,elements,62654906.0,ns,26082
matrix4 mul vector4,vek,100,100,elements,63453329.0,ns,26496
matrix4 mul vector4,vek,100,100,elements,64935285.0,ns,26910
matrix4 mul vector4,vek,100,100,elements,65631676.0,ns,27324
matrix4 mul vector4,vek,100,100,elements,66465600.0,ns,27738
matrix4 mul vector4,vek,100,100,elements,67684978.0,ns,28152
matrix4 mul vector4,vek,100,100,elements,68416989.0,ns,28566
matrix4 mul vector4,vek,100,100,elements,69943654.0,ns,28980
matrix4 mul vector4,vek,100,100,elements,70999708.0,ns,29394
matrix4 mul vector4,vek,100,100,elements,71396281.0,ns,29808
matrix4 mul vector4,vek,100,100,elements,72390330.0,ns,30222
matrix4 mul vector4,vek,100,100,elements,73484694.0,ns,30636
matrix4 mul vector4,vek,100,100,elements,74459152.0,ns,31050
matrix4 mul vector4,vek,100,100,elements,75445645.0,ns,31464
matrix4 mul vector4,vek,100,100,elements,76439507.0,ns,31878
matrix4 mul vector4,vek,100,100,elements,77168284.0,ns,32292
matrix4 mul vector4,vek,100,100,elements,78408529.0,ns,32706
matrix4 mul vector4,vek,100,100,elements,79274749.0,ns,33120
matrix4 mul vector4,vek,100,100,elements,80451792.0,ns,33534
matrix4 mul vector4,vek,100,100,elements,81250311.0,ns,33948
matrix4 mul vector4,vek,100,100,elements,82199057.0,ns,34362
matrix4 mul vector4,vek,100,100,elements,83470578.0,ns,34776
matrix4 mul vector4,vek,100,100,elements,84237205.0,ns,35190
matrix4 mul vector4,vek,100,100,elements,85549784.0,ns,35604
matrix4 mul vector4,vek,100,100,elements,86352974.0,ns,36018
matrix4 mul vector4,vek,100,100,elements,87129812.0,ns,36432
matrix4 mul vector4,vek,100,100,elements,88428108.0,ns,36846
matrix4 mul vector4,vek,100,100,elements,89256605.0,ns,37260
matrix4 mul vector4,vek,100,100,elements,90422692.0,ns,37674
matrix4 mul vector4,vek,100,100,elements,91064437.0,ns,38088
matrix4 mul vector4,vek,100,100,elements,92152484.0,ns,38502
matrix4 mul vector4,vek,100,100,elements,93165314.0,ns,38916
matrix4 mul vector4,vek,100,100,elements,100678435.0,ns,39330
matrix4 mul vector4,vek,100,100,elements,95394536.0,ns,39744
matrix4 mul vector4,vek,100,100,elements,96189476.0,ns,40158
matrix4 mul vector4,vek,100,100,elements,97166348.0,ns,40572
matrix4 mul vector4,vek,100,100,elements,98078666.0,ns,40986
matrix4 mul vector4,vek,100,100,elements,99500788.0,ns,41400
