group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 return self,cgmath,,,,1110388.0,ns,138730
matrix4 return self,cgmath,,,,2098418.0,ns,277460
matrix4 return self,cgmath,,,,3085033.0,ns,416190
matrix4 return self,cgmath,,,,4171358.0,ns,554920
matrix4 return self,cgmath,,,,5060187.0,ns,693650
matrix4 return self,cgmath,,,,6060093.0,ns,832380
matrix4 return self,cgmath,,,,7051380.0,ns,971110
matrix4 return self,cgmath,,,,8015694.0,ns,1109840
matrix4 return self,cgmath,,,,9002011.0,ns,1248570
matrix4 return self,cgmath,,,,10005969.0,ns,1387300
matrix4 return self,cgmath,,,,10994231.0,ns,1526030
matrix4 return self,cgmath,,,,11960284.0,ns,1664760
matrix4 return self,cgmath,,,,12962766.0,ns,1803490
matrix4 return self,cgmath,,,,13958282.0,ns,1942220
matrix4 return self,cgmath,,,,14923552.0,ns,2080950
matrix4 return self,cgmath,,,,15932150.0,ns,2219680
matrix4 return self,cgmath,,,,16887134.0,ns,2358410
matrix4 return self,cgmath,,,,17924047.0,ns,2497140
matrix4 return self,cgmath,,,,18913504.0,ns,2635870
matrix4 return self,cgmath,,,,19866552.0,ns,2774600
matrix4 return self,cgmath,,,,20836729.0,ns,2913330
matrix4 return self,cgmath,,,,21844674.0,ns,3052060
matrix4 return self,cgmath,,,,22808821.0,ns,3190790
matrix4 return self,cgmath,,,,23794644.0,ns,3329520
matrix4 return self,cgmath,,,,24785283.0,ns,3468250
matrix4 return self,cgmath,,,,25768292.0,ns,3606980
matrix4 return self,cgmath,,,,26753629.0,ns,3745710
matrix4 return self,cgmath,,,,27741448.0,ns,3884440
matrix4 return self,cgmath,,,,28727332.0,ns,4023170
matrix4 return self,cgmath,,,,29792822.0,ns,4161900
matrix4 return self,cgmath,,,,30734320.0,ns,4300630
matrix4 return self,cgmath,,,,31780453.0,ns,4439360
matrix4 return self,cgmath,,,,32856449.0,ns,4578090
matrix4 return self,cgmath,,,,33831924.0,ns,4716820
matrix4 return self,cgmath,,,,34647709.0,ns,4855550
matrix4 return self,cgmath,,,,35733728.0,ns,4994280
matrix4 return self,cgmath,,,,36656002.0,ns,5133010
matrix4 return self,cgmath,,,,37602215.0,ns,5271740
matrix4 return self,cgmath,,,,38590113.0,ns,5410470
matrix4 return self,cgmath,,,,39579743.0,ns,5549200
matrix4 return self,cgmath,,,,40668412.0,ns,5687930
matrix4 return self,cgmath,,,,41668054.0,ns,5826660
matrix4 return self,cgmath,,,,42571378.0,ns,5965390
matrix4 return self,cgmath,,,,43587809.0,ns,6104120
matrix4 return self,cgmath,,,,44619332.0,ns,6242850
matrix4 return self,cgmath,,,,45575820.0,ns,6381580
matrix4 return self,cgmath,,,,46522555.0,ns,6520310
matrix4 return self,cgmath,,,,47517051.0,ns,6659040
matrix4 return self,cgmath,,,,48488078.0,ns,6797770
matrix4 return self,cgmath,,,,49466215.0,ns,6936500
matrix4 return self,cgmath,,,,50429805.0,ns,7075230
matrix4 return self,cgmath,,,,51433535.0,ns,7213960
matrix4 return self,cgmath,,,,52601115.0,ns,7352690
matrix4 return self,cgmath,,,,53966851.0,ns,7491420
matrix4 return self,cgmath,,,,54984675.0,ns,7630150
matrix4 return self,cgmath,,,,55355994.0,ns,7768880
matrix4 return self,cgmath,,,,56352688.0,ns,7907610
matrix4 return self,cgmath,,,,57568331.0,ns,8046340
matrix4 return self,cgmath,,,,58338500.0,ns,8185070
matrix4 return self,cgmath,,,,59397254.0,ns,8323800
matrix4 return self,cgmath,,,,60305642.0,ns,8462530
matrix4 return self,cgmath,,,,61276552.0,ns,8601260
matrix4 return self,cgmath,,,,62292513.0,ns,8739990
matrix4 return self,cgmath,,,,63309290.0,ns,8878720
matrix4 return self,cgmath,,,,64298092.0,ns,9017450
matrix4 return self,cgmath,,,,65286724.0,ns,9156180
matrix4 return self,cgmath,,,,66212254.0,ns,9294910
matrix4 return self,cgmath,,,,67198338.0,ns,9433640
matrix4 return self,cgmath,,,,68164195.0,ns,9572370
matrix4 return self,cgmath,,,,69205949.0,ns,9711100
matrix4 return self,cgmath,,,,70273947.0,ns,9849830
matrix4 return self,cgmath,,,,71270587.0,ns,9988560
matrix4 return self,cgmath,,,,72160744.0,ns,10127290
matrix4 return self,cgmath,,,,73116461.0,ns,10266020
matrix4 return self,cgmath,,,,74100812.0,ns,10404750
matrix4 return self,cgmath,,,,75083326.0,ns,10543480
matrix4 return self,cgmath,,,,76061216.0,ns,10682210
matrix4 return self,cgmath,,,,77117974.0,ns,10820940
matrix4 return self,cgmath,,,,78315938.0,ns,10959670
matrix4 return self,cgmath,,,,79033734.0,ns,11098400
matrix4 return self,cgmath,,,,80005797.0,ns,11237130
matrix4 return self,cgmath,,,,81035991.0,ns,11375860
matrix4 return self,cgmath,,,,82036595.0,ns,11514590
matrix4 return self,cgmath,,,,83243952.0,ns,11653320
matrix4 return self,cgmath,,,,83955390.0,ns,11792050
matrix4 return self,cgmath,,,,85003530.0,ns,11930780
matrix4 return self,cgmath,,,,86043618.0,ns,12069510
matrix4 return self,cgmath,,,,86927398.0,ns,12208240
matrix4 return self,cgmath,,,,87938586.0,ns,12346970
matrix4 return self,cgmath,,,,89021087.0,ns,12485700
matrix4 return self,cgmath,,,,89943044.0,ns,12624430
