group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 transpose,glam,,,,1113216.0,ns,173093
matrix4 transpose,glam,,,,2106771.0,ns,346186
matrix4 transpose,glam,,,,3095195.0,ns,519279
matrix4 transpose,glam,,,,4082901.0,ns,692372
matrix4 transpose,glam,,,,5070089.0,ns,865465
matrix4 transpose,glam,,,,6083179.0,ns,1038558
matrix4 transpose,glam,,,,7068761.0,ns,1211651
matrix4 transpose,glam,,,,8036119.0,ns,1384744
matrix4 transpose,glam,,,,9031003.0,ns,1557837
matrix4 transpose,glam,,,,10031124.0,ns,1730930
matrix4 transpose,glam,,,,11021820.0,ns,1904023
matrix4 transpose,glam,,,,11994434.0,ns,2077116
matrix4 transpose,glam,,,,12982210.0,ns,2250209
matrix4 transpose,glam,,,,13993148.0,ns,2423302
matrix4 transpose,glam,,,,14963414.0,ns,2596395
matrix4 transpose,glam,,,,15966614.0,ns,2769488
matrix4 transpose,glam,,,,16937709.0,ns,2942581
matrix4 transpose,glam,,,,17975442.0,ns,3115674
matrix4 transpose,glam,,,,18921290.0,ns,3288767
matrix4 transpose,glam,,,,19909737.0,ns,3461860
matrix4 transpose,glam,,,,20946499.0,ns,3634953
matrix4 transpose,glam,,,,21891337.0,ns,3808046
matrix4 transpose,glam,,,,22872417.0,ns,3981139
matrix4 transpose,glam,,,,24330381.0,ns,4154232
matrix4 transpose,glam,,,,24915909.0,ns,4327325
matrix4 transpose,glam,,,,25848564.0,ns,4500418
matrix4 transpose,glam,,,,26867404.0,ns,4673511
matrix4 transpose,glam,,,,27970120.0,ns,4846604
matrix4 transpose,glam,,,,28830067.0,ns,5019697
matrix4 transpose,glam,,,,29830410.0,ns,5192790
matrix4 transpose,glam,,,,30971601.0,ns,5365883
matrix4 transpose,glam,,,,32088176.0,ns,5538976
matrix4 transpose,glam,,,,32848061.0,ns,5712069
matrix4 transpose,glam,,,,33774294.0,ns,5885162
matrix4 transpose,glam,,,,34745895.0,ns,6058255
matrix4 transpose,glam,,,,35814832.0,ns,6231348
matrix4 transpose,glam,,,,36828461.0,ns,6404441
matrix4 transpose,glam,,,,37732623.0,ns,6577534
matrix4 transpose,glam,,,,38717134.0,ns,6750627
matrix4 transpose,glam,,,,39705422.0,ns,6923720
matrix4 transpose,glam,,,,40730210.0,ns,7096813
matrix4 transpose,glam,,,,42003925.0,ns,7269906
matrix4 transpose,glam,,,,42878300.0,ns,7442999
matrix4 transpose,glam,,,,43663783.0,ns,7616092
matrix4 transpose,glam,,,,44626329.0,ns,7789185
matrix4 transpose,glam,,,,45625814.0,ns,7962278
matrix4 transpose,glam,,,,46625403.0,ns,8135371
matrix4 transpose,glam,,,,47594098.0,ns,8308464
matrix4 transpose,glam,,,,48775635.0,ns,8481557
matrix4 transpose,glam,,,,49753767.0,ns,8654650
matrix4 transpose,glam,,,,50609896.0,ns,8827743
matrix4 transpose,glam,,,,51629096.0,ns,9000836
matrix4 transpose,glam,,,,52610084.0,ns,9173929
matrix4 transpose,glam,,,,53570665.0,ns,9347022
matrix4 transpose,glam,,,,54524306.0,ns,9520115
matrix4 transpose,glam,,,,55550317.0,ns,9693208
matrix4 transpose,glam,,,,56552454.0,ns,9866301
matrix4 transpose,glam,,,,57505568.0,ns,10039394
matrix4 transpose,glam,,,,58511144.0,ns,10212487
matrix4 transpose,glam,,,,59550761.0,ns,10385580
matrix4 transpose,glam,,,,60541208.0,ns,10558673
matrix4 transpose,glam,,,,61476049.0,ns,10731766
matrix4 transpose,glam,,,,62478885.0,ns,10904859
matrix4 transpose,glam,,,,63460714.0,ns,11077952
matrix4 transpose,glam,,,,64411845.0,ns,11251045
matrix4 transpose,glam,,,,65493392.0,ns,11424138
matrix4 transpose,glam,,,,66611266.0,ns,11597231
matrix4 transpose,glam,,,,67473968.0,ns,11770324
matrix4 transpose,glam,,,,68476054.0,ns,11943417
matrix4 transpose,glam,,,,69405321.0,ns,12116510
matrix4 transpose,glam,,,,70359736.0,ns,12289603
matrix4 transpose,glam,,,,71342837.0,ns,12462696
matrix4 transpose,glam,,,,72334102.0,ns,12635789
matrix4 transpose,glam,,,,73316772.0,ns,12808882
matrix4 transpose,glam,,,,74415845.0,ns,12981975
matrix4 transpose,glam,,,,75424064.0,ns,13155068
matrix4 transpose,glam,,,,76317619.0,ns,13328161
matrix4 transpose,glam,,,,77269793.0,ns,13501254
matrix4 transpose,glam,,,,78278684.0,ns,13674347
matrix4 transpose,glam,,,,79362638.0,ns,13847440
matrix4 transpose,glam,,,,80265851.0,ns,14020533
matrix4 transpose,glam,,,,81352632.0,ns,14193626
matrix4 transpose,glam,,,,82324741.0,ns,14366719
matrix4 transpose,glam,,,,83223753.0,ns,14539812
matrix4 transpose,glam,,,,84259880.0,ns,14712905
matrix4 transpose,glam,,,,85252196.0,ns,14885998
matrix4 transpose,glam,,,,86227047.0,ns,15059091
matrix4 transpose,glam,,,,87342770.0,ns,15232184
matrix4 transpose,glam,,,,88253951.0,ns,15405277
matrix4 transpose,glam,,,,89202751.0,ns,15578370
matrix4 transpose,glam,,,,90216807.0,ns,15751463
matrix4 transpose,glam,,,,91164865.0,ns,15924556
matrix4 transpose,glam,,,,92144576.0,ns,16097649
matrix4 transpose,glam,,,,93232941.0,ns,16270742
matrix4 transpose,glam,,,,94101687.0,ns,16443835
matrix4 transpose,glam,,,,95144730.0,ns,16616928
matrix4 transpose,glam,,,,96298012.0,ns,16790021
matrix4 transpose,glam,,,,97141163.0,ns,16963114
matrix4 transpose,glam,,,,98337799.0,ns,17136207
matrix4 transpose,glam,,,,99055550.0,ns,17309300
