group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 transpose,ultraviolet,,,,988281.0,ns,96998
matrix4 transpose,ultraviolet,,,,1977221.0,ns,193996
matrix4 transpose,ultraviolet,,,,2963395.0,ns,290994
matrix4 transpose,ultraviolet,,,,4096283.0,ns,387992
matrix4 transpose,ultraviolet,,,,4940375.0,ns,484990
matrix4 transpose,ultraviolet,,,,5929859.0,ns,581988
matrix4 transpose,ultraviolet,,,,6944417.0,ns,678986
matrix4 transpose,ultraviolet,,,,7907482.0,ns,775984
matrix4 transpose,ultraviolet,,,,8895530.0,ns,872982
matrix4 transpose,ultraviolet,,,,9901275.0,ns,969980
matrix4 transpose,ultraviolet,,,,10867663.0,ns,1066978
matrix4 transpose,ultraviolet,,,,11858122.0,ns,1163976
matrix4 transpose,ultraviolet,,,,12866609.0,ns,1260974
matrix4 transpose,ultraviolet,,,,13908723.0,ns,1357972
matrix4 transpose,ultraviolet,,,,14959514.0,ns,1454970
matrix4 transpose,ultraviolet,,,,15842345.0,ns,1551968
matrix4 transpose,ultraviolet,,,,16885688.0,ns,1648966
matrix4 transpose,ultraviolet,,,,17901966.0,ns,1745964
matrix4 transpose,ultraviolet,,,,19164232.0,ns,1842962
matrix4 transpose,ultraviolet,,,,19791647.0,ns,1939960
matrix4 transpose,ultraviolet,,,,20750439.0,ns,2036958
matrix4 transpose,ultraviolet,,,,21871218.0,ns,2133956
matrix4 transpose,ultraviolet,,,,22847238.0,ns,2230954
matrix4 transpose,ultraviolet,,,,23864192.0,ns,2327952
matrix4 transpose,ultraviolet,,,,24897182.0,ns,2424950
matrix4 transpose,ultraviolet,,,,25825725.0,ns,2521948
matrix4 transpose,ultraviolet,,,,26846586.0,ns,2618946
matrix4 transpose,ultraviolet,,,,27813997.0,ns,2715944
matrix4 transpose,ultraviolet,,,,28806865.0,ns,2812942
matrix4 transpose,ultraviolet,,,,29799667.0,ns,2909940
matrix4 transpose,ultraviolet,,,,30797986.0,ns,3006938
matrix4 transpose,ultraviolet,,,,31782704.0,ns,3103936
matrix4 transpose,ultraviolet,,,,32780183.0,ns,3200934
matrix4 transpose,ultraviolet,,,,33778692.0,ns,3297932
matrix4 transpose,ultraviolet,,,,34762614.0,ns,3394930
matrix4 transpose,ultraviolet,,,,35763216.0,ns,3491928
matrix4 transpose,ultraviolet,,,,36758012.0,ns,3588926
matrix4 transpose,ultraviolet,,,,37745646.0,ns,3685924
matrix4 transpose,ultraviolet,,,,38777741.0,ns,3782922
matrix4 transpose,ultraviolet,,,,39799257.0,ns,3879920
matrix4 transpose,ultraviolet,,,,40985250.0,ns,3976918
matrix4 transpose,ultraviolet,,,,41744506.0,ns,4073916
matrix4 transpose,ultraviolet,,,,42814421.0,ns,4170914
matrix4 transpose,ultraviolet,,,,43715086.0,ns,4267912
matrix4 transpose,ultraviolet,,,,44704649.0,ns,4364910
matrix4 transpose,ultraviolet,,,,45695929.0,ns,4461908
matrix4 transpose,ultraviolet,,,,46756449.0,ns,4558906
matrix4 transpose,ultraviolet,,,,47825790.0,ns,4655904
matrix4 transpose,ultraviolet,,,,48709095.0,ns,4752902
matrix4 transpose,ultraviolet,,,,49430459.0,ns,4849900
matrix4 transpose,ultraviolet,,,,50408926.0,ns,4946898
matrix4 transpose,ultraviolet,,,,51655140.0,ns,5043896
matrix4 transpose,ultraviolet,,,,52832293.0,ns,5140894
matrix4 transpose,ultraviolet,,,,53645849.0,ns,5237892
matrix4 transpose,ultraviolet,,,,54633862.0,ns,5334890
matrix4 transpose,ultraviolet,,,,55671446.0,ns,5431888
matrix4 transpose,ultraviolet,,,,56621472.0,ns,5528886
matrix4 transpose,ultraviolet,,,,57613200.0,ns,5625884
matrix4 transpose,ultraviolet,,,,58614188.0,ns,5722882
matrix4 transpose,ultraviolet,,,,59418529.0,ns,5819880
matrix4 transpose,ultraviolet,,,,60358255.0,ns,5916878
matrix4 transpose,ultraviolet,,,,61276952.0,ns,6013876
matrix4 transpose,ultraviolet,,,,62347441.0,ns,6110874
matrix4 transpose,ultraviolet,,,,63613013.0,ns,6207872
matrix4 transpose,ultraviolet,,,,64650868.0,ns,6304870
matrix4 transpose,ultraviolet,,,,65763944.0,ns,6401868
matrix4 transpose,ultraviolet,,,,66574547.0,ns,6498866
matrix4 transpose,ultraviolet,,,,67616502.0,ns,6595864
matrix4 transpose,ultraviolet,,,,68549774.0,ns,6692862
matrix4 transpose,ultraviolet,,,,69536944.0,ns,6789860
matrix4 transpose,ultraviolet,,,,70650212.0,ns,6886858
matrix4 transpose,ultraviolet,,,,71523634.0,ns,6983856
matrix4 transpose,ultraviolet,,,,72520118.0,ns,7080854
matrix4 transpose,ultraviolet,,,,73562820.0,ns,7177852
matrix4 transpose,ultraviolet,,,,74606781.0,ns,7274850
matrix4 transpose,ultraviolet,,,,75531314.0,ns,7371848
matrix4 transpose,ultraviolet,,,,76485770.0,ns,7468846
matrix4 transpose,ultraviolet,,,,77481879.0,ns,7565844
matrix4 transpose,ultraviolet,,,,78342692.0,ns,7662842
matrix4 transpose,ultraviolet,,,,79103811.0,ns,7759840
matrix4 transpose,ultraviolet,,,,80572694.0,ns,7856838
matrix4 transpose,ultraviolet,,,,81260236.0,ns,7953836
matrix4 transpose,ultraviolet,,,,82144626.0,ns,8050834
matrix4 transpose,ultraviolet,,,,83348946.0,ns,8147832
matrix4 transpose,ultraviolet,,,,84046887.0,ns,8244830
matrix4 transpose,ultraviolet,,,,85204785.0,ns,8341828
matrix4 transpose,ultraviolet,,,,86330978.0,ns,8438826
matrix4 transpose,ultraviolet,,,,87044839.0,ns,8535824
matrix4 transpose,ultraviolet,,,,88607995.0,ns,8632822
matrix4 transpose,ultraviolet,,,,89398799.0,ns,8729820
matrix4 transpose,ultraviolet,,,,90446206.0,ns,8826818
matrix4 transpose,ultraviolet,,,,91550186.0,ns,8923816
matrix4 transpose,ultraviolet,,,,92448097.0,ns,9020814
matrix4 transpose,ultraviolet,,,,93378254.0,ns,9117812
matrix4 transpose,ultraviolet,,,,94371499.0,ns,9214810
matrix4 transpose,ultraviolet,,,,95369424.0,ns,9311808
matrix4 transpose,ultraviolet,,,,96356852.0,ns,9408806
matrix4 transpose,ultraviolet,,,,97665487.0,ns,9505804
matrix4 transpose,ultraviolet,,,,98551908.0,ns,9602802
matrix4 transpose,ultraviolet,,,,99344596.0,ns,9699800
