group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 transpose,vek,,,,1110982.0,ns,96965
matrix4 transpose,vek,,,,2097223.0,ns,193930
matrix4 transpose,vek,,,,3080884.0,ns,290895
matrix4 transpose,vek,,,,4066234.0,ns,387860
matrix4 transpose,vek,,,,5057795.0,ns,484825
matrix4 transpose,vek,,,,6060876.0,ns,581790
matrix4 transpose,vek,,,,7022398.0,ns,678755
matrix4 transpose,vek,,,,8010432.0,ns,775720
matrix4 transpose,vek,,,,9017428.0,ns,872685
matrix4 transpose,vek,,,,10034907.0,ns,969650
matrix4 transpose,vek,,,,11026489.0,ns,1066615
matrix4 transpose,vek,,,,12003490.0,ns,1163580
matrix4 transpose,vek,,,,12960540.0,ns,1260545
matrix4 transpose,vek,,,,13949663.0,ns,1357510
matrix4 transpose,vek,,,,14936489.0,ns,1454475
matrix4 transpose,vek,,,,15893968.0,ns,1551440
matrix4 transpose,vek,,,,16931479.0,ns,1648405
matrix4 transpose,vek,,,,17898470.0,ns,1745370
matrix4 transpose,vek,,,,18874001.0,ns,1842335
matrix4 transpose,vek,,,,19852811.0,ns,1939300
matrix4 transpose,vek,,,,20828294.0,ns,2036265
matrix4 transpose,vek,,,,21825466.0,ns,2133230
matrix4 transpose,vek,,,,22816106.0,ns,2230195
matrix4 transpose,vek,,,,23811863.0,ns,2327160
matrix4 transpose,vek,,,,24769437.0,ns,2424125
matrix4 transpose,vek,,,,25756936.0,ns,2521090
matrix4 transpose,vek,,,,26754709.0,ns,2618055
matrix4 transpose,vek,,,,27751459.0,ns,2715020
matrix4 transpose,vek,,,,28715880.0,ns,2811985
matrix4 transpose,vek,,,,29749595.0,ns,2908950
matrix4 transpose,vek,,,,30696682.0,ns,3005915
matrix4 transpose,vek,,,,31678914.0,ns,3102880
matrix4 transpose,vek,,,,32657133.0,ns,3199845
matrix4 transpose,vek,,,,33692605.0,ns,3296810
matrix4 transpose,vek,,,,34667009.0,ns,3393775
matrix4 transpose,vek,,,,35770313.0,ns,3490740
matrix4 transpose,vek,,,,36628274.0,ns,3587705
matrix4 transpose,vek,,,,37600313.0,ns,3684670
matrix4 transpose,vek,,,,38570619.0,ns,3781635
matrix4 transpose,vek,,,,39561705.0,ns,3878600
matrix4 transpose,vek,,,,40565989.0,ns,3975565
matrix4 transpose,vek,,,,41693139.0,ns,4072530
matrix4 transpose,vek,,,,42537480.0,ns,4169495
matrix4 transpose,vek,,,,43578506.0,ns,4266460
matrix4 transpose,vek,,,,44515724.0,ns,4363425
matrix4 transpose,vek,,,,45472224.0,ns,4460390
matrix4 transpose,vek,,,,46484909.0,ns,4557355
matrix4 transpose,vek,,,,47539137.0,ns,4654320
matrix4 transpose,vek,,,,48474143.0,ns,4751285
matrix4 transpose,vek,,,,49528251.0,ns,4848250
matrix4 transpose,vek,,,,50416693.0,ns,4945215
matrix4 transpose,vek,,,,51393779.0,ns,5042180
matrix4 transpose,vek,,,,52382409.0,ns,5139145
matrix4 transpose,vek,,,,53366550.0,ns,5236110
matrix4 transpose,vek,,,,54810786.0,ns,5333075
matrix4 transpose,vek,,,,55359038.0,ns,5430040
matrix4 transpose,vek,,,,56343379.0,ns,5527005
matrix4 transpose,vek,,,,57332719.0,ns,5623970
matrix4 transpose,vek,,,,58305269.0,ns,5720935
matrix4 transpose,vek,,,,59286886.0,ns,5817900
matrix4 transpose,vek,,,,60404182.0,ns,5914865
matrix4 transpose,vek,,,,61377142.0,ns,6011830
matrix4 transpose,vek,,,,62285595.0,ns,6108795
matrix4 transpose,vek,,,,63259177.0,ns,6205760
matrix4 transpose,vek,,,,64273070.0,ns,6302725
matrix4 transpose,vek,,,,65401547.0,ns,6399690
matrix4 transpose,vek,,,,66227436.0,ns,6496655
