group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rotation3 mul rotation3,glam,,,,1113487.0,ns,297101
rotation3 mul rotation3,glam,,,,2104460.0,ns,594202
rotation3 mul rotation3,glam,,,,3105840.0,ns,891303
rotation3 mul rotation3,glam,,,,4082635.0,ns,1188404
rotation3 mul rotation3,glam,,,,5071498.0,ns,1485505
rotation3 mul rotation3,glam,,,,6098388.0,ns,1782606
rotation3 mul rotation3,glam,,,,7047148.0,ns,2079707
rotation3 mul rotation3,glam,,,,8034867.0,ns,2376808
rotation3 mul rotation3,glam,,,,9020400.0,ns,2673909
rotation3 mul rotation3,glam,,,,10045151.0,ns,2971010
rotation3 mul rotation3,glam,,,,11022409.0,ns,3268111
rotation3 mul rotation3,glam,,,,12008898.0,ns,3565212
rotation3 mul rotation3,glam,,,,12980719.0,ns,3862313
rotation3 mul rotation3,glam,,,,13992492.0,ns,4159414
rotation3 mul rotation3,glam,,,,14945685.0,ns,4456515
rotation3 mul rotation3,glam,,,,15963107.0,ns,4753616
rotation3 mul rotation3,glam,,,,16928259.0,ns,5050717
rotation3 mul rotation3,glam,,,,17912900.0,ns,5347818
rotation3 mul rotation3,glam,,,,18902334.0,ns,5644919
rotation3 mul rotation3,glam,,,,19892329.0,ns,5942020
rotation3 mul rotation3,glam,,,,20888869.0,ns,6239121
rotation3 mul rotation3,glam,,,,21865521.0,ns,6536222
rotation3 mul rotation3,glam,,,,22873340.0,ns,6833323
rotation3 mul rotation3,glam,,,,23851812.0,ns,7130424
rotation3 mul rotation3,glam,,,,24819817.0,ns,7427525
rotation3 mul rotation3,glam,,,,25831143.0,ns,7724626
rotation3 mul rotation3,glam,,,,26866465.0,ns,8021727
rotation3 mul rotation3,glam,,,,27799160.0,ns,8318828
rotation3 mul rotation3,glam,,,,28848797.0,ns,8615929
rotation3 mul rotation3,glam,,,,29753194.0,ns,8913030
rotation3 mul rotation3,glam,,,,30756084.0,ns,9210131
rotation3 mul rotation3,glam,,,,31769535.0,ns,9507232
rotation3 mul rotation3,glam,,,,32800987.0,ns,9804333
rotation3 mul rotation3,glam,,,,33723851.0,ns,10101434
rotation3 mul rotation3,glam,,,,34767861.0,ns,10398535
rotation3 mul rotation3,glam,,,,35760146.0,ns,10695636
rotation3 mul rotation3,glam,,,,36710657.0,ns,10992737
rotation3 mul rotation3,glam,,,,37683779.0,ns,11289838
rotation3 mul rotation3,glam,,,,38663611.0,ns,11586939
rotation3 mul rotation3,glam,,,,39707032.0,ns,11884040
rotation3 mul rotation3,glam,,,,40667211.0,ns,12181141
rotation3 mul rotation3,glam,,,,41649315.0,ns,12478242
rotation3 mul rotation3,glam,,,,42626358.0,ns,12775343
rotation3 mul rotation3,glam,,,,43916052.0,ns,13072444
rotation3 mul rotation3,glam,,,,44723981.0,ns,13369545
rotation3 mul rotation3,glam,,,,45736641.0,ns,13666646
rotation3 mul rotation3,glam,,,,46606408.0,ns,13963747
rotation3 mul rotation3,glam,,,,49377488.0,ns,14260848
rotation3 mul rotation3,glam,,,,48986264.0,ns,14557949
rotation3 mul rotation3,glam,,,,49662540.0,ns,14855050
rotation3 mul rotation3,glam,,,,50562301.0,ns,15152151
rotation3 mul rotation3,glam,,,,51544541.0,ns,15449252
rotation3 mul rotation3,glam,,,,52775840.0,ns,15746353
rotation3 mul rotation3,glam,,,,53910978.0,ns,16043454
rotation3 mul rotation3,glam,,,,54760895.0,ns,16340555
rotation3 mul rotation3,glam,,,,55553996.0,ns,16637656
rotation3 mul rotation3,glam,,,,56518113.0,ns,16934757
rotation3 mul rotation3,glam,,,,57511151.0,ns,17231858
rotation3 mul rotation3,glam,,,,58474343.0,ns,17528959
rotation3 mul rotation3,glam,,,,59414995.0,ns,17826060
rotation3 mul rotation3,glam,,,,61961080.0,ns,18123161
rotation3 mul rotation3,glam,,,,61451897.0,ns,18420262
rotation3 mul rotation3,glam,,,,62510385.0,ns,18717363
rotation3 mul rotation3,glam,,,,63465876.0,ns,19014464
rotation3 mul rotation3,glam,,,,64368394.0,ns,19311565
rotation3 mul rotation3,glam,,,,65339271.0,ns,19608666
rotation3 mul rotation3,glam,,,,66618286.0,ns,19905767
rotation3 mul rotation3,glam,,,,67392067.0,ns,20202868
rotation3 mul rotation3,glam,,,,68461263.0,ns,20499969
rotation3 mul rotation3,glam,,,,69332363.0,ns,20797070
rotation3 mul rotation3,glam,,,,70301924.0,ns,21094171
rotation3 mul rotation3,glam,,,,71374313.0,ns,21391272
rotation3 mul rotation3,glam,,,,72398008.0,ns,21688373
rotation3 mul rotation3,glam,,,,73399515.0,ns,21985474
rotation3 mul rotation3,glam,,,,74802223.0,ns,22282575
rotation3 mul rotation3,glam,,,,75609250.0,ns,22579676
rotation3 mul rotation3,glam,,,,76525171.0,ns,22876777
rotation3 mul rotation3,glam,,,,77793317.0,ns,23173878
rotation3 mul rotation3,glam,,,,79080337.0,ns,23470979
rotation3 mul rotation3,glam,,,,79472898.0,ns,23768080
rotation3 mul rotation3,glam,,,,80228360.0,ns,24065181
rotation3 mul rotation3,glam,,,,81172601.0,ns,24362282
rotation3 mul rotation3,glam,,,,82636354.0,ns,24659383
rotation3 mul rotation3,glam,,,,83253733.0,ns,24956484
rotation3 mul rotation3,glam,,,,84188665.0,ns,25253585
rotation3 mul rotation3,glam,,,,85141182.0,ns,25550686
rotation3 mul rotation3,glam,,,,86258943.0,ns,25847787
rotation3 mul rotation3,glam,,,,87256526.0,ns,26144888
rotation3 mul rotation3,glam,,,,88162722.0,ns,26441989
rotation3 mul rotation3,glam,,,,89158363.0,ns,26739090
rotation3 mul rotation3,glam,,,,90070644.0,ns,27036191
rotation3 mul rotation3,glam,,,,91065712.0,ns,27333292
rotation3 mul rotation3,glam,,,,92194079.0,ns,27630393
rotation3 mul rotation3,glam,,,,93057781.0,ns,27927494
rotation3 mul rotation3,glam,,,,94089796.0,ns,28224595
rotation3 mul rotation3,glam,,,,95059762.0,ns,28521696
rotation3 mul rotation3,glam,,,,96156798.0,ns,28818797
rotation3 mul rotation3,glam,,,,98292199.0,ns,29115898
rotation3 mul rotation3,glam,,,,98101697.0,ns,29412999
rotation3 mul rotation3,glam,,,,99205163.0,ns,29710100
