group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rotation3 mul vector3,cgmath,,1,elements,1115865.0,ns,146243
rotation3 mul vector3,cgmath,,1,elements,2102165.0,ns,292486
rotation3 mul vector3,cgmath,,1,elements,3100782.0,ns,438729
rotation3 mul vector3,cgmath,,1,elements,4200368.0,ns,584972
rotation3 mul vector3,cgmath,,1,elements,5068442.0,ns,731215
rotation3 mul vector3,cgmath,,1,elements,6076934.0,ns,877458
rotation3 mul vector3,cgmath,,1,elements,7041876.0,ns,1023701
rotation3 mul vector3,cgmath,,1,elements,8034339.0,ns,1169944
rotation3 mul vector3,cgmath,,1,elements,9127686.0,ns,1316187
rotation3 mul vector3,cgmath,,1,elements,10091742.0,ns,1462430
rotation3 mul vector3,cgmath,,1,elements,11015677.0,ns,1608673
rotation3 mul vector3,cgmath,,1,elements,11986878.0,ns,1754916
rotation3 mul vector3,cgmath,,1,elements,12995798.0,ns,1901159
rotation3 mul vector3,cgmath,,1,elements,13958116.0,ns,2047402
rotation3 mul vector3,cgmath,,1,elements,15009627.0,ns,2193645
rotation3 mul vector3,cgmath,,1,elements,15942504.0,ns,2339888
rotation3 mul vector3,cgmath,,1,elements,16969980.0,ns,2486131
rotation3 mul vector3,cgmath,,1,elements,18029752.0,ns,2632374
rotation3 mul vector3,cgmath,,1,elements,18926826.0,ns,2778617
rotation3 mul vector3,cgmath,,1,elements,19894696.0,ns,2924860
rotation3 mul vector3,cgmath,,1,elements,20901049.0,ns,3071103
rotation3 mul vector3,cgmath,,1,elements,21871222.0,ns,3217346
rotation3 mul vector3,cgmath,,1,elements,22877631.0,ns,3363589
rotation3 mul vector3,cgmath,,1,elements,23867308.0,ns,3509832
rotation3 mul vector3,cgmath,,1,elements,24866174.0,ns,3656075
rotation3 mul vector3,cgmath,,1,elements,25852624.0,ns,3802318
rotation3 mul vector3,cgmath,,1,elements,26819501.0,ns,3948561
rotation3 mul vector3,cgmath,,1,elements,27819703.0,ns,4094804
rotation3 mul vector3,cgmath,,1,elements,28808842.0,ns,4241047
rotation3 mul vector3,cgmath,,1,elements,29774268.0,ns,4387290
rotation3 mul vector3,cgmath,,1,elements,30794827.0,ns,4533533
rotation3 mul vector3,cgmath,,1,elements,31776506.0,ns,4679776
rotation3 mul vector3,cgmath,,1,elements,32744826.0,ns,4826019
rotation3 mul vector3,cgmath,,1,elements,33732085.0,ns,4972262
rotation3 mul vector3,cgmath,,1,elements,34740221.0,ns,5118505
rotation3 mul vector3,cgmath,,1,elements,35708588.0,ns,5264748
rotation3 mul vector3,cgmath,,1,elements,36737918.0,ns,5410991
rotation3 mul vector3,cgmath,,1,elements,37706064.0,ns,5557234
rotation3 mul vector3,cgmath,,1,elements,38693605.0,ns,5703477
rotation3 mul vector3,cgmath,,1,elements,39662170.0,ns,5849720
rotation3 mul vector3,cgmath,,1,elements,40654186.0,ns,5995963
rotation3 mul vector3,cgmath,,1,elements,41636615.0,ns,6142206
rotation3 mul vector3,cgmath,,1,elements,42638776.0,ns,6288449
rotation3 mul vector3,cgmath,,1,elements,43678891.0,ns,6434692
rotation3 mul vector3,cgmath,,1,elements,44665227.0,ns,6580935
rotation3 mul vector3,cgmath,,1,elements,46752223.0,ns,6727178
rotation3 mul vector3,cgmath,,1,elements,46945258.0,ns,6873421
rotation3 mul vector3,cgmath,,1,elements,47867491.0,ns,7019664
rotation3 mul vector3,cgmath,,1,elements,48595895.0,ns,7165907
rotation3 mul vector3,cgmath,,1,elements,49590227.0,ns,7312150
rotation3 mul vector3,cgmath,,1,elements,50616973.0,ns,7458393
rotation3 mul vector3,cgmath,,1,elements,51550504.0,ns,7604636
rotation3 mul vector3,cgmath,,1,elements,52511170.0,ns,7750879
rotation3 mul vector3,cgmath,,1,elements,53499628.0,ns,7897122
rotation3 mul vector3,cgmath,,1,elements,54522945.0,ns,8043365
rotation3 mul vector3,cgmath,,1,elements,55474582.0,ns,8189608
rotation3 mul vector3,cgmath,,1,elements,56467669.0,ns,8335851
