group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rotation3 mul vector3,nalgebra,,1,elements,1114279.0,ns,141632
rotation3 mul vector3,nalgebra,,1,elements,2102581.0,ns,283264
rotation3 mul vector3,nalgebra,,1,elements,3087981.0,ns,424896
rotation3 mul vector3,nalgebra,,1,elements,4215614.0,ns,566528
rotation3 mul vector3,nalgebra,,1,elements,5062616.0,ns,708160
rotation3 mul vector3,nalgebra,,1,elements,6050286.0,ns,849792
rotation3 mul vector3,nalgebra,,1,elements,7036322.0,ns,991424
rotation3 mul vector3,nalgebra,,1,elements,8042754.0,ns,1133056
rotation3 mul vector3,nalgebra,,1,elements,9010873.0,ns,1274688
rotation3 mul vector3,nalgebra,,1,elements,10016917.0,ns,1416320
rotation3 mul vector3,nalgebra,,1,elements,11005918.0,ns,1557952
rotation3 mul vector3,nalgebra,,1,elements,11974134.0,ns,1699584
rotation3 mul vector3,nalgebra,,1,elements,12963020.0,ns,1841216
rotation3 mul vector3,nalgebra,,1,elements,13967908.0,ns,1982848
rotation3 mul vector3,nalgebra,,1,elements,14936564.0,ns,2124480
rotation3 mul vector3,nalgebra,,1,elements,16016074.0,ns,2266112
rotation3 mul vector3,nalgebra,,1,elements,16930556.0,ns,2407744
rotation3 mul vector3,nalgebra,,1,elements,17894458.0,ns,2549376
rotation3 mul vector3,nalgebra,,1,elements,18910463.0,ns,2691008
rotation3 mul vector3,nalgebra,,1,elements,19875976.0,ns,2832640
rotation3 mul vector3,nalgebra,,1,elements,20860148.0,ns,2974272
rotation3 mul vector3,nalgebra,,1,elements,21887524.0,ns,3115904
rotation3 mul vector3,nalgebra,,1,elements,22835434.0,ns,3257536
rotation3 mul vector3,nalgebra,,1,elements,23821075.0,ns,3399168
rotation3 mul vector3,nalgebra,,1,elements,24814844.0,ns,3540800
rotation3 mul vector3,nalgebra,,1,elements,25796813.0,ns,3682432
rotation3 mul vector3,nalgebra,,1,elements,26791437.0,ns,3824064
rotation3 mul vector3,nalgebra,,1,elements,27770041.0,ns,3965696
rotation3 mul vector3,nalgebra,,1,elements,28813891.0,ns,4107328
rotation3 mul vector3,nalgebra,,1,elements,29790145.0,ns,4248960
rotation3 mul vector3,nalgebra,,1,elements,30755439.0,ns,4390592
rotation3 mul vector3,nalgebra,,1,elements,31764891.0,ns,4532224
rotation3 mul vector3,nalgebra,,1,elements,32867506.0,ns,4673856
rotation3 mul vector3,nalgebra,,1,elements,33853155.0,ns,4815488
rotation3 mul vector3,nalgebra,,1,elements,34841225.0,ns,4957120
rotation3 mul vector3,nalgebra,,1,elements,35733778.0,ns,5098752
rotation3 mul vector3,nalgebra,,1,elements,36676663.0,ns,5240384
rotation3 mul vector3,nalgebra,,1,elements,37688118.0,ns,5382016
rotation3 mul vector3,nalgebra,,1,elements,38695850.0,ns,5523648
rotation3 mul vector3,nalgebra,,1,elements,39724272.0,ns,5665280
rotation3 mul vector3,nalgebra,,1,elements,40629250.0,ns,5806912
rotation3 mul vector3,nalgebra,,1,elements,41599718.0,ns,5948544
rotation3 mul vector3,nalgebra,,1,elements,42582747.0,ns,6090176
rotation3 mul vector3,nalgebra,,1,elements,43586830.0,ns,6231808
rotation3 mul vector3,nalgebra,,1,elements,44556357.0,ns,6373440
rotation3 mul vector3,nalgebra,,1,elements,45568479.0,ns,6515072
rotation3 mul vector3,nalgebra,,1,elements,46577278.0,ns,6656704
rotation3 mul vector3,nalgebra,,1,elements,47630114.0,ns,6798336
rotation3 mul vector3,nalgebra,,1,elements,48510368.0,ns,6939968
rotation3 mul vector3,nalgebra,,1,elements,49495407.0,ns,7081600
rotation3 mul vector3,nalgebra,,1,elements,50494620.0,ns,7223232
rotation3 mul vector3,nalgebra,,1,elements,51517624.0,ns,7364864
rotation3 mul vector3,nalgebra,,1,elements,52459235.0,ns,7506496
rotation3 mul vector3,nalgebra,,1,elements,53739961.0,ns,7648128
rotation3 mul vector3,nalgebra,,1,elements,54975092.0,ns,7789760
rotation3 mul vector3,nalgebra,,1,elements,55567926.0,ns,7931392
rotation3 mul vector3,nalgebra,,1,elements,56466169.0,ns,8073024
rotation3 mul vector3,nalgebra,,1,elements,57393891.0,ns,8214656
rotation3 mul vector3,nalgebra,,1,elements,58404896.0,ns,8356288
rotation3 mul vector3,nalgebra,,1,elements,59392474.0,ns,8497920
rotation3 mul vector3,nalgebra,,1,elements,60354094.0,ns,8639552
rotation3 mul vector3,nalgebra,,1,elements,61341003.0,ns,8781184
rotation3 mul vector3,nalgebra,,1,elements,62372063.0,ns,8922816
rotation3 mul vector3,nalgebra,,1,elements,63322120.0,ns,9064448
rotation3 mul vector3,nalgebra,,1,elements,64347639.0,ns,9206080
rotation3 mul vector3,nalgebra,,1,elements,65309212.0,ns,9347712
rotation3 mul vector3,nalgebra,,1,elements,66433093.0,ns,9489344
rotation3 mul vector3,nalgebra,,1,elements,67317226.0,ns,9630976
rotation3 mul vector3,nalgebra,,1,elements,68255270.0,ns,9772608
rotation3 mul vector3,nalgebra,,1,elements,69570101.0,ns,9914240
rotation3 mul vector3,nalgebra,,1,elements,70269755.0,ns,10055872
rotation3 mul vector3,nalgebra,,1,elements,71359076.0,ns,10197504
rotation3 mul vector3,nalgebra,,1,elements,72228581.0,ns,10339136
rotation3 mul vector3,nalgebra,,1,elements,73247969.0,ns,10480768
rotation3 mul vector3,nalgebra,,1,elements,74394690.0,ns,10622400
rotation3 mul vector3,nalgebra,,1,elements,75209760.0,ns,10764032
rotation3 mul vector3,nalgebra,,1,elements,76152337.0,ns,10905664
rotation3 mul vector3,nalgebra,,1,elements,77145035.0,ns,11047296
