group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rotation3 mul vector3,ultraviolet,,1,elements,1114306.0,ns,73301
rotation3 mul vector3,ultraviolet,,1,elements,2101600.0,ns,146602
rotation3 mul vector3,ultraviolet,,1,elements,3092228.0,ns,219903
rotation3 mul vector3,ultraviolet,,1,elements,4080722.0,ns,293204
rotation3 mul vector3,ultraviolet,,1,elements,5066711.0,ns,366505
rotation3 mul vector3,ultraviolet,,1,elements,6078091.0,ns,439806
rotation3 mul vector3,ultraviolet,,1,elements,7045800.0,ns,513107
rotation3 mul vector3,ultraviolet,,1,elements,8034195.0,ns,586408
rotation3 mul vector3,ultraviolet,,1,elements,9043297.0,ns,659709
rotation3 mul vector3,ultraviolet,,1,elements,10040328.0,ns,733010
rotation3 mul vector3,ultraviolet,,1,elements,11001927.0,ns,806311
rotation3 mul vector3,ultraviolet,,1,elements,12008099.0,ns,879612
rotation3 mul vector3,ultraviolet,,1,elements,12977202.0,ns,952913
rotation3 mul vector3,ultraviolet,,1,elements,13966040.0,ns,1026214
rotation3 mul vector3,ultraviolet,,1,elements,14973248.0,ns,1099515
rotation3 mul vector3,ultraviolet,,1,elements,15947755.0,ns,1172816
rotation3 mul vector3,ultraviolet,,1,elements,16950730.0,ns,1246117
rotation3 mul vector3,ultraviolet,,1,elements,17920928.0,ns,1319418
rotation3 mul vector3,ultraviolet,,1,elements,18951875.0,ns,1392719
rotation3 mul vector3,ultraviolet,,1,elements,19895775.0,ns,1466020
rotation3 mul vector3,ultraviolet,,1,elements,20884413.0,ns,1539321
rotation3 mul vector3,ultraviolet,,1,elements,21874925.0,ns,1612622
rotation3 mul vector3,ultraviolet,,1,elements,22863492.0,ns,1685923
rotation3 mul vector3,ultraviolet,,1,elements,23851074.0,ns,1759224
rotation3 mul vector3,ultraviolet,,1,elements,24844234.0,ns,1832525
rotation3 mul vector3,ultraviolet,,1,elements,25829040.0,ns,1905826
rotation3 mul vector3,ultraviolet,,1,elements,26818259.0,ns,1979127
rotation3 mul vector3,ultraviolet,,1,elements,27807241.0,ns,2052428
rotation3 mul vector3,ultraviolet,,1,elements,28795227.0,ns,2125729
rotation3 mul vector3,ultraviolet,,1,elements,29803730.0,ns,2199030
rotation3 mul vector3,ultraviolet,,1,elements,30774239.0,ns,2272331
rotation3 mul vector3,ultraviolet,,1,elements,31778041.0,ns,2345632
rotation3 mul vector3,ultraviolet,,1,elements,32753472.0,ns,2418933
rotation3 mul vector3,ultraviolet,,1,elements,33744496.0,ns,2492234
rotation3 mul vector3,ultraviolet,,1,elements,34723715.0,ns,2565535
rotation3 mul vector3,ultraviolet,,1,elements,35714523.0,ns,2638836
rotation3 mul vector3,ultraviolet,,1,elements,36704795.0,ns,2712137
rotation3 mul vector3,ultraviolet,,1,elements,37694802.0,ns,2785438
rotation3 mul vector3,ultraviolet,,1,elements,38859785.0,ns,2858739
rotation3 mul vector3,ultraviolet,,1,elements,39752924.0,ns,2932040
rotation3 mul vector3,ultraviolet,,1,elements,40724641.0,ns,3005341
rotation3 mul vector3,ultraviolet,,1,elements,41710377.0,ns,3078642
rotation3 mul vector3,ultraviolet,,1,elements,42721727.0,ns,3151943
rotation3 mul vector3,ultraviolet,,1,elements,43667292.0,ns,3225244
rotation3 mul vector3,ultraviolet,,1,elements,44634368.0,ns,3298545
rotation3 mul vector3,ultraviolet,,1,elements,45645570.0,ns,3371846
rotation3 mul vector3,ultraviolet,,1,elements,46672709.0,ns,3445147
rotation3 mul vector3,ultraviolet,,1,elements,47730130.0,ns,3518448
rotation3 mul vector3,ultraviolet,,1,elements,48627693.0,ns,3591749
rotation3 mul vector3,ultraviolet,,1,elements,49554399.0,ns,3665050
rotation3 mul vector3,ultraviolet,,1,elements,50565234.0,ns,3738351
rotation3 mul vector3,ultraviolet,,1,elements,51533057.0,ns,3811652
rotation3 mul vector3,ultraviolet,,1,elements,52541891.0,ns,3884953
rotation3 mul vector3,ultraviolet,,1,elements,53562185.0,ns,3958254
rotation3 mul vector3,ultraviolet,,1,elements,54557316.0,ns,4031555
rotation3 mul vector3,ultraviolet,,1,elements,55541218.0,ns,4104856
rotation3 mul vector3,ultraviolet,,1,elements,56476694.0,ns,4178157
rotation3 mul vector3,ultraviolet,,1,elements,57466652.0,ns,4251458
rotation3 mul vector3,ultraviolet,,1,elements,58489008.0,ns,4324759
rotation3 mul vector3,ultraviolet,,1,elements,59768034.0,ns,4398060
rotation3 mul vector3,ultraviolet,,1,elements,60492013.0,ns,4471361
rotation3 mul vector3,ultraviolet,,1,elements,61517382.0,ns,4544662
rotation3 mul vector3,ultraviolet,,1,elements,62464790.0,ns,4617963
rotation3 mul vector3,ultraviolet,,1,elements,63491148.0,ns,4691264
rotation3 mul vector3,ultraviolet,,1,elements,64441358.0,ns,4764565
rotation3 mul vector3,ultraviolet,,1,elements,65410497.0,ns,4837866
rotation3 mul vector3,ultraviolet,,1,elements,66379712.0,ns,4911167
rotation3 mul vector3,ultraviolet,,1,elements,67347176.0,ns,4984468
rotation3 mul vector3,ultraviolet,,1,elements,68335375.0,ns,5057769
rotation3 mul vector3,ultraviolet,,1,elements,69410292.0,ns,5131070
rotation3 mul vector3,ultraviolet,,1,elements,70389928.0,ns,5204371
rotation3 mul vector3,ultraviolet,,1,elements,71325132.0,ns,5277672
rotation3 mul vector3,ultraviolet,,1,elements,72291396.0,ns,5350973
rotation3 mul vector3,ultraviolet,,1,elements,73343368.0,ns,5424274
rotation3 mul vector3,ultraviolet,,1,elements,74337795.0,ns,5497575
rotation3 mul vector3,ultraviolet,,1,elements,75263023.0,ns,5570876
rotation3 mul vector3,ultraviolet,,1,elements,76465617.0,ns,5644177
rotation3 mul vector3,ultraviolet,,1,elements,77282018.0,ns,5717478
rotation3 mul vector3,ultraviolet,,1,elements,78380336.0,ns,5790779
rotation3 mul vector3,ultraviolet,,1,elements,79212479.0,ns,5864080
rotation3 mul vector3,ultraviolet,,1,elements,80201949.0,ns,5937381
rotation3 mul vector3,ultraviolet,,1,elements,81189253.0,ns,6010682
rotation3 mul vector3,ultraviolet,,1,elements,82241096.0,ns,6083983
rotation3 mul vector3,ultraviolet,,1,elements,83210103.0,ns,6157284
rotation3 mul vector3,ultraviolet,,1,elements,84199019.0,ns,6230585
rotation3 mul vector3,ultraviolet,,1,elements,85145219.0,ns,6303886
rotation3 mul vector3,ultraviolet,,1,elements,87427829.0,ns,6377187
rotation3 mul vector3,ultraviolet,,1,elements,87197847.0,ns,6450488
rotation3 mul vector3,ultraviolet,,1,elements,88175995.0,ns,6523789
rotation3 mul vector3,ultraviolet,,1,elements,89181867.0,ns,6597090
rotation3 mul vector3,ultraviolet,,1,elements,90124163.0,ns,6670391
rotation3 mul vector3,ultraviolet,,1,elements,91076334.0,ns,6743692
rotation3 mul vector3,ultraviolet,,1,elements,92065134.0,ns,6816993
rotation3 mul vector3,ultraviolet,,1,elements,93076792.0,ns,6890294
rotation3 mul vector3,ultraviolet,,1,elements,94055043.0,ns,6963595
rotation3 mul vector3,ultraviolet,,1,elements,95072173.0,ns,7036896
rotation3 mul vector3,ultraviolet,,1,elements,96125262.0,ns,7110197
rotation3 mul vector3,ultraviolet,,1,elements,97191007.0,ns,7183498
rotation3 mul vector3,ultraviolet,,1,elements,98075649.0,ns,7256799
rotation3 mul vector3,ultraviolet,,1,elements,99048422.0,ns,7330100
